Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2000;04;Großbritannien;Europa ohne Deutschland;Ausland;1009;1826
2000;04;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;875;2345
2000;04;afrikanische Länder;Sonst. Ausland;Ausland;36;57
2000;04;USA;Amerika;Ausland;1370;3188
2000;04;Kanada;Amerika;Ausland;122;289
2000;04;amerik. Länder (o.USA, Kanada);Amerika;Ausland;196;395
2000;04;China;Asien;Ausland;34;43
2000;04;Japan;Asien;Ausland;2134;3242
2000;04;asiatische Länder (o.China, Japan);Asien;Ausland;282;528
2000;04;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;128;183
2000;04;Ausländer ohne Angabe;Sonst. Ausland;Ausland;95;241
2000;05;Deutschland;Deutschland;Deutschland;105117;229851
2000;05;Belgien;Europa ohne Deutschland;Ausland;496;914
2000;05;Dänemark;Europa ohne Deutschland;Ausland;560;684
2000;05;Frankreich;Europa ohne Deutschland;Ausland;737;1441
2000;05;Italien;Europa ohne Deutschland;Ausland;951;1741
2000;05;Niederlande;Europa ohne Deutschland;Ausland;598;1326
2000;05;Österreich;Europa ohne Deutschland;Ausland;1141;2730
2000;05;Polen;Europa ohne Deutschland;Ausland;230;506
2000;05;Schweden;Europa ohne Deutschland;Ausland;582;768
2000;05;Schweiz;Europa ohne Deutschland;Ausland;2292;5373
2000;05;Russland;Europa ohne Deutschland;Ausland;413;873
2000;05;Spanien;Europa ohne Deutschland;Ausland;200;380
2000;05;Tschechische Republik;Europa ohne Deutschland;Ausland;152;347
2000;05;Großbritannien;Europa ohne Deutschland;Ausland;1416;2810
2000;05;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;696;1750
2000;05;afrikanische Länder;Sonst. Ausland;Ausland;201;345
2000;05;USA;Amerika;Ausland;3228;6513
2000;05;Kanada;Amerika;Ausland;248;545
2000;05;amerik. Länder (o.USA, Kanada);Amerika;Ausland;562;922
2000;05;China;Asien;Ausland;104;154
2000;05;Japan;Asien;Ausland;3030;4495
2000;05;asiatische Länder (o.China, Japan);Asien;Ausland;599;1140
2000;05;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;282;543
2000;05;Ausländer ohne Angabe;Sonst. Ausland;Ausland;266;497
2000;06;Deutschland;Deutschland;Deutschland;97738;214816
2000;06;Belgien;Europa ohne Deutschland;Ausland;557;1142
2000;06;Dänemark;Europa ohne Deutschland;Ausland;670;1208
2000;06;Frankreich;Europa ohne Deutschland;Ausland;822;1593
2000;06;Italien;Europa ohne Deutschland;Ausland;662;1283
2000;06;Niederlande;Europa ohne Deutschland;Ausland;960;2529
2000;06;Österreich;Europa ohne Deutschland;Ausland;1402;3141
2000;06;Polen;Europa ohne Deutschland;Ausland;247;528
2000;06;Schweden;Europa ohne Deutschland;Ausland;574;856
2000;06;Schweiz;Europa ohne Deutschland;Ausland;1627;3964
2000;06;Russland;Europa ohne Deutschland;Ausland;425;673
2000;06;Spanien;Europa ohne Deutschland;Ausland;301;553
2000;06;Tschechische Republik;Europa ohne Deutschland;Ausland;160;346
2000;06;Großbritannien;Europa ohne Deutschland;Ausland;1813;3526
2000;06;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1117;2747
2000;06;afrikanische Länder;Sonst. Ausland;Ausland;124;279
2000;06;USA;Amerika;Ausland;3853;8379
2000;06;Kanada;Amerika;Ausland;223;500
2000;06;amerik. Länder (o.USA, Kanada);Amerika;Ausland;332;631
2000;06;China;Asien;Ausland;75;109
2000;06;Japan;Asien;Ausland;2877;4603
2000;06;asiatische Länder (o.China, Japan);Asien;Ausland;506;877
2000;06;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;280;494
2000;06;Ausländer ohne Angabe;Sonst. Ausland;Ausland;247;424
2000;07;Deutschland;Deutschland;Deutschland;84240;185752
2000;07;Belgien;Europa ohne Deutschland;Ausland;656;1190
2000;07;Dänemark;Europa ohne Deutschland;Ausland;784;1410
2000;07;Frankreich;Europa ohne Deutschland;Ausland;776;1439
2000;07;Italien;Europa ohne Deutschland;Ausland;1284;1914
2000;07;Niederlande;Europa ohne Deutschland;Ausland;877;2053
2000;07;Österreich;Europa ohne Deutschland;Ausland;920;1859
2000;07;Polen;Europa ohne Deutschland;Ausland;236;446
2000;07;Schweden;Europa ohne Deutschland;Ausland;1104;1287
2000;07;Schweiz;Europa ohne Deutschland;Ausland;2004;4304
2000;07;Russland;Europa ohne Deutschland;Ausland;942;1823
2000;07;Spanien;Europa ohne Deutschland;Ausland;637;999
2000;07;Tschechische Republik;Europa ohne Deutschland;Ausland;117;205
2000;07;Großbritannien;Europa ohne Deutschland;Ausland;1730;3149
2000;07;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1292;2251
2000;07;afrikanische Länder;Sonst. Ausland;Ausland;116;279
2000;07;USA;Amerika;Ausland;3541;7025
2000;07;Kanada;Amerika;Ausland;811;1413
2000;07;amerik. Länder (o.USA, Kanada);Amerika;Ausland;546;925
2000;07;China;Asien;Ausland;48;99
2000;07;Japan;Asien;Ausland;2643;4553
2000;07;asiatische Länder (o.China, Japan);Asien;Ausland;965;1692
2000;07;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;319;611
2000;07;Ausländer ohne Angabe;Sonst. Ausland;Ausland;119;210
2000;08;Deutschland;Deutschland;Deutschland;83539;182613
2000;08;Belgien;Europa ohne Deutschland;Ausland;741;1250
2000;08;Dänemark;Europa ohne Deutschland;Ausland;728;1137
2000;08;Frankreich;Europa ohne Deutschland;Ausland;1069;1999
2000;08;Italien;Europa ohne Deutschland;Ausland;3774;5580
2000;08;Niederlande;Europa ohne Deutschland;Ausland;1061;2168
2000;08;Österreich;Europa ohne Deutschland;Ausland;1105;2372
2000;08;Polen;Europa ohne Deutschland;Ausland;234;370
2000;08;Schweden;Europa ohne Deutschland;Ausland;927;1207
2000;08;Schweiz;Europa ohne Deutschland;Ausland;1788;4421
2000;08;Russland;Europa ohne Deutschland;Ausland;1057;1505
