Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2002;10;Ausländer ohne Angabe;Sonst. Ausland;Ausland;276;483
2002;11;Deutschland;Deutschland;Deutschland;59987;118744
2002;11;Belgien;Europa ohne Deutschland;Ausland;148;262
2002;11;Dänemark;Europa ohne Deutschland;Ausland;64;132
2002;11;Frankreich;Europa ohne Deutschland;Ausland;318;761
2002;11;Italien;Europa ohne Deutschland;Ausland;313;676
2002;11;Niederlande;Europa ohne Deutschland;Ausland;380;1046
2002;11;Österreich;Europa ohne Deutschland;Ausland;463;1027
2002;11;Polen;Europa ohne Deutschland;Ausland;243;373
2002;11;Schweden;Europa ohne Deutschland;Ausland;125;347
2002;11;Schweiz;Europa ohne Deutschland;Ausland;615;1670
2002;11;Russland;Europa ohne Deutschland;Ausland;142;398
2002;11;Spanien;Europa ohne Deutschland;Ausland;115;227
2002;11;Tschechische Republik;Europa ohne Deutschland;Ausland;397;1511
2002;11;Großbritannien;Europa ohne Deutschland;Ausland;448;1362
2002;11;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;926;2360
2002;11;afrikanische Länder;Sonst. Ausland;Ausland;23;50
2002;11;USA;Amerika;Ausland;984;3187
2002;11;Kanada;Amerika;Ausland;87;208
2002;11;amerik. Länder (o.USA, Kanada);Amerika;Ausland;83;213
2002;11;China;Asien;Ausland;93;167
2002;11;Japan;Asien;Ausland;672;1393
2002;11;asiatische Länder (o.China, Japan);Asien;Ausland;440;880
2002;11;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;69;148
2002;11;Ausländer ohne Angabe;Sonst. Ausland;Ausland;316;563
2002;12;Deutschland;Deutschland;Deutschland;71092;144804
2002;12;Belgien;Europa ohne Deutschland;Ausland;220;373
2002;12;Dänemark;Europa ohne Deutschland;Ausland;69;159
2002;12;Frankreich;Europa ohne Deutschland;Ausland;367;777
2002;12;Italien;Europa ohne Deutschland;Ausland;318;569
2002;12;Niederlande;Europa ohne Deutschland;Ausland;476;1076
2002;12;Österreich;Europa ohne Deutschland;Ausland;547;1334
2002;12;Polen;Europa ohne Deutschland;Ausland;186;252
2002;12;Schweden;Europa ohne Deutschland;Ausland;69;118
2002;12;Schweiz;Europa ohne Deutschland;Ausland;1045;2643
2002;12;Russland;Europa ohne Deutschland;Ausland;199;964
2002;12;Spanien;Europa ohne Deutschland;Ausland;143;211
2002;12;Tschechische Republik;Europa ohne Deutschland;Ausland;133;379
2002;12;Großbritannien;Europa ohne Deutschland;Ausland;630;1516
2002;12;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;535;1261
2002;12;afrikanische Länder;Sonst. Ausland;Ausland;23;80
2002;12;USA;Amerika;Ausland;880;2500
2002;12;Kanada;Amerika;Ausland;70;146
2002;12;amerik. Länder (o.USA, Kanada);Amerika;Ausland;132;281
2002;12;China;Asien;Ausland;55;69
2002;12;Japan;Asien;Ausland;1342;2662
2002;12;asiatische Länder (o.China, Japan);Asien;Ausland;236;556
2002;12;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;119;269
2002;12;Ausländer ohne Angabe;Sonst. Ausland;Ausland;253;519
2003;01;Deutschland;Deutschland;Deutschland;32144;66084
2003;01;Belgien;Europa ohne Deutschland;Ausland;201;580
2003;01;Dänemark;Europa ohne Deutschland;Ausland;70;144
2003;01;Frankreich;Europa ohne Deutschland;Ausland;191;458
2003;01;Italien;Europa ohne Deutschland;Ausland;475;1138
2003;01;Niederlande;Europa ohne Deutschland;Ausland;305;566
2003;01;Österreich;Europa ohne Deutschland;Ausland;272;572
2003;01;Polen;Europa ohne Deutschland;Ausland;158;235
2003;01;Schweden;Europa ohne Deutschland;Ausland;35;61
2003;01;Schweiz;Europa ohne Deutschland;Ausland;284;689
2003;01;Russland;Europa ohne Deutschland;Ausland;256;550
2003;01;Spanien;Europa ohne Deutschland;Ausland;70;227
2003;01;Tschechische Republik;Europa ohne Deutschland;Ausland;225;754
2003;01;Großbritannien;Europa ohne Deutschland;Ausland;335;832
2003;01;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;655;1151
2003;01;afrikanische Länder;Sonst. Ausland;Ausland;13;43
2003;01;USA;Amerika;Ausland;669;2469
2003;01;Kanada;Amerika;Ausland;66;99
2003;01;amerik. Länder (o.USA, Kanada);Amerika;Ausland;172;435
2003;01;China;Asien;Ausland;58;98
2003;01;Japan;Asien;Ausland;554;966
2003;01;asiatische Länder (o.China, Japan);Asien;Ausland;205;413
2003;01;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;114;161
2003;01;Ausländer ohne Angabe;Sonst. Ausland;Ausland;72;183
2003;02;Deutschland;Deutschland;Deutschland;39289;76980
2003;02;Belgien;Europa ohne Deutschland;Ausland;118;203
2003;02;Dänemark;Europa ohne Deutschland;Ausland;94;149
2003;02;Frankreich;Europa ohne Deutschland;Ausland;309;562
2003;02;Italien;Europa ohne Deutschland;Ausland;225;473
2003;02;Niederlande;Europa ohne Deutschland;Ausland;548;859
2003;02;Österreich;Europa ohne Deutschland;Ausland;387;980
2003;02;Polen;Europa ohne Deutschland;Ausland;217;361
2003;02;Schweden;Europa ohne Deutschland;Ausland;77;115
2003;02;Schweiz;Europa ohne Deutschland;Ausland;530;1482
2003;02;Russland;Europa ohne Deutschland;Ausland;110;323
2003;02;Spanien;Europa ohne Deutschland;Ausland;109;295
2003;02;Tschechische Republik;Europa ohne Deutschland;Ausland;137;420
2003;02;Großbritannien;Europa ohne Deutschland;Ausland;475;906
2003;02;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;383;962
2003;02;afrikanische Länder;Sonst. Ausland;Ausland;25;44
2003;02;USA;Amerika;Ausland;964;2223
2003;02;Kanada;Amerika;Ausland;48;92
2003;02;amerik. Länder (o.USA, Kanada);Amerika;Ausland;45;98
2003;02;China;Asien;Ausland;52;113
2003;02;Japan;Asien;Ausland;628;1054
2003;02;asiatische Länder (o.China, Japan);Asien;Ausland;187;384
2003;02;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;79;141
2003;02;Ausländer ohne Angabe;Sonst. Ausland;Ausland;63;108
2003;03;Deutschland;Deutschland;Deutschland;61503;129206
2003;03;Belgien;Europa ohne Deutschland;Ausland;260;378
2003;03;Dänemark;Europa ohne Deutschland;Ausland;193;373
2003;03;Frankreich;Europa ohne Deutschland;Ausland;520;932
2003;03;Italien;Europa ohne Deutschland;Ausland;556;943
2003;03;Niederlande;Europa ohne Deutschland;Ausland;499;1033
2003;03;Österreich;Europa ohne Deutschland;Ausland;620;1380
2003;03;Polen;Europa ohne Deutschland;Ausland;198;357
2003;03;Schweden;Europa ohne Deutschland;Ausland;111;168
2003;03;Schweiz;Europa ohne Deutschland;Ausland;549;1241
2003;03;Russland;Europa ohne Deutschland;Ausland;229;640
2003;03;Spanien;Europa ohne Deutschland;Ausland;144;398
2003;03;Tschechische Republik;Europa ohne Deutschland;Ausland;289;1023
2003;03;Großbritannien;Europa ohne Deutschland;Ausland;573;1449
2003;03;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;756;1674
2003;03;afrikanische Länder;Sonst. Ausland;Ausland;67;289
2003;03;USA;Amerika;Ausland;1371;3027
2003;03;Kanada;Amerika;Ausland;112;197
2003;03;amerik. Länder (o.USA, Kanada);Amerika;Ausland;86;161
2003;03;China;Asien;Ausland;67;245
2003;03;Japan;Asien;Ausland;1152;1807
2003;03;asiatische Länder (o.China, Japan);Asien;Ausland;286;536
2003;03;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;114;184
2003;03;Ausländer ohne Angabe;Sonst. Ausland;Ausland;102;183
2003;04;Deutschland;Deutschland;Deutschland;71137;155587
2003;04;Belgien;Europa ohne Deutschland;Ausland;308;590
2003;04;Dänemark;Europa ohne Deutschland;Ausland;366;870
2003;04;Frankreich;Europa ohne Deutschland;Ausland;657;1247
2003;04;Italien;Europa ohne Deutschland;Ausland;1016;1641
2003;04;Niederlande;Europa ohne Deutschland;Ausland;535;1165
2003;04;Österreich;Europa ohne Deutschland;Ausland;969;2274
2003;04;Polen;Europa ohne Deutschland;Ausland;199;272
2003;04;Schweden;Europa ohne Deutschland;Ausland;701;888
2003;04;Schweiz;Europa ohne Deutschland;Ausland;1065;2355
2003;04;Russland;Europa ohne Deutschland;Ausland;202;680
2003;04;Spanien;Europa ohne Deutschland;Ausland;358;756
2003;04;Tschechische Republik;Europa ohne Deutschland;Ausland;181;519
2003;04;Großbritannien;Europa ohne Deutschland;Ausland;791;1612
2003;04;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;809;1532
2003;04;afrikanische Länder;Sonst. Ausland;Ausland;43;100
2003;04;USA;Amerika;Ausland;1172;2573
2003;04;Kanada;Amerika;Ausland;138;272
2003;04;amerik. Länder (o.USA, Kanada);Amerika;Ausland;175;325
2003;04;China;Asien;Ausland;83;125
2003;04;Japan;Asien;Ausland;1593;2311
2003;04;asiatische Länder (o.China, Japan);Asien;Ausland;314;738
2003;04;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;121;245
2003;04;Ausländer ohne Angabe;Sonst. Ausland;Ausland;100;205
2003;05;Deutschland;Deutschland;Deutschland;103736;234460
2003;05;Belgien;Europa ohne Deutschland;Ausland;448;824
2003;05;Dänemark;Europa ohne Deutschland;Ausland;271;568
2003;05;Frankreich;Europa ohne Deutschland;Ausland;863;1650
2003;05;Italien;Europa ohne Deutschland;Ausland;960;1578
2003;05;Niederlande;Europa ohne Deutschland;Ausland;1144;3132
2003;05;Österreich;Europa ohne Deutschland;Ausland;1261;2907
2003;05;Polen;Europa ohne Deutschland;Ausland;377;594
2003;05;Schweden;Europa ohne Deutschland;Ausland;615;889
2003;05;Schweiz;Europa ohne Deutschland;Ausland;1544;4284
2003;05;Russland;Europa ohne Deutschland;Ausland;365;1554
2003;05;Spanien;Europa ohne Deutschland;Ausland;277;750
2003;05;Tschechische Republik;Europa ohne Deutschland;Ausland;330;627
2003;05;Großbritannien;Europa ohne Deutschland;Ausland;1151;2611
2003;05;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;942;2012
2003;05;afrikanische Länder;Sonst. Ausland;Ausland;73;136
2003;05;USA;Amerika;Ausland;2084;4991
2003;05;Kanada;Amerika;Ausland;184;431
2003;05;amerik. Länder (o.USA, Kanada);Amerika;Ausland;237;603
2003;05;China;Asien;Ausland;53;97
2003;05;Japan;Asien;Ausland;1757;2711
2003;05;asiatische Länder (o.China, Japan);Asien;Ausland;572;1263
2003;05;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;209;439
2003;05;Ausländer ohne Angabe;Sonst. Ausland;Ausland;138;273
2003;06;Deutschland;Deutschland;Deutschland;89634;198051
2003;06;Belgien;Europa ohne Deutschland;Ausland;591;1127
2003;06;Dänemark;Europa ohne Deutschland;Ausland;616;762
2003;06;Frankreich;Europa ohne Deutschland;Ausland;949;1735
2003;06;Italien;Europa ohne Deutschland;Ausland;1009;1590
2003;06;Niederlande;Europa ohne Deutschland;Ausland;1051;2807
2003;06;Österreich;Europa ohne Deutschland;Ausland;1067;2247
2003;06;Polen;Europa ohne Deutschland;Ausland;250;448
2003;06;Schweden;Europa ohne Deutschland;Ausland;521;627
2003;06;Schweiz;Europa ohne Deutschland;Ausland;1487;3321
2003;06;Russland;Europa ohne Deutschland;Ausland;242;814
2003;06;Spanien;Europa ohne Deutschland;Ausland;298;713
2003;06;Tschechische Republik;Europa ohne Deutschland;Ausland;200;437
2003;06;Großbritannien;Europa ohne Deutschland;Ausland;1356;2551
2003;06;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1129;2174
2003;06;afrikanische Länder;Sonst. Ausland;Ausland;72;127
2003;06;USA;Amerika;Ausland;2467;5329
2003;06;Kanada;Amerika;Ausland;217;445
2003;06;amerik. Länder (o.USA, Kanada);Amerika;Ausland;289;569
2003;06;China;Asien;Ausland;36;62
2003;06;Japan;Asien;Ausland;2123;3103
2003;06;asiatische Länder (o.China, Japan);Asien;Ausland;838;1381
2003;06;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;171;271
2003;06;Ausländer ohne Angabe;Sonst. Ausland;Ausland;169;302
2003;07;Deutschland;Deutschland;Deutschland;81041;180332
2003;07;Belgien;Europa ohne Deutschland;Ausland;502;841
2003;07;Dänemark;Europa ohne Deutschland;Ausland;889;1267
2003;07;Frankreich;Europa ohne Deutschland;Ausland;968;1831
2003;07;Italien;Europa ohne Deutschland;Ausland;1550;2743
2003;07;Niederlande;Europa ohne Deutschland;Ausland;1419;3241
2003;07;Österreich;Europa ohne Deutschland;Ausland;1386;2770
2003;07;Polen;Europa ohne Deutschland;Ausland;300;474
2003;07;Schweden;Europa ohne Deutschland;Ausland;1307;1502
2003;07;Schweiz;Europa ohne Deutschland;Ausland;1852;4273
2003;07;Russland;Europa ohne Deutschland;Ausland;175;445
2003;07;Spanien;Europa ohne Deutschland;Ausland;631;1132
2003;07;Tschechische Republik;Europa ohne Deutschland;Ausland;240;543
2003;07;Großbritannien;Europa ohne Deutschland;Ausland;1332;3216
2003;07;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1944;3285
2003;07;afrikanische Länder;Sonst. Ausland;Ausland;153;315
2003;07;USA;Amerika;Ausland;1875;4282
2003;07;Kanada;Amerika;Ausland;250;495
2003;07;amerik. Länder (o.USA, Kanada);Amerika;Ausland;317;548
2003;07;China;Asien;Ausland;84;131
2003;07;Japan;Asien;Ausland;1934;3299
2003;07;asiatische Länder (o.China, Japan);Asien;Ausland;889;1650
2003;07;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;317;558
2003;07;Ausländer ohne Angabe;Sonst. Ausland;Ausland;152;245
2003;08;Deutschland;Deutschland;Deutschland;87978;196022
2003;08;Belgien;Europa ohne Deutschland;Ausland;513;1047
2003;08;Dänemark;Europa ohne Deutschland;Ausland;688;932
2003;08;Frankreich;Europa ohne Deutschland;Ausland;1228;2348
2003;08;Italien;Europa ohne Deutschland;Ausland;5476;9198
2003;08;Niederlande;Europa ohne Deutschland;Ausland;1234;2596
2003;08;Österreich;Europa ohne Deutschland;Ausland;1482;2880
2003;08;Polen;Europa ohne Deutschland;Ausland;336;452
2003;08;Schweden;Europa ohne Deutschland;Ausland;685;930
2003;08;Schweiz;Europa ohne Deutschland;Ausland;1894;4679
2003;08;Russland;Europa ohne Deutschland;Ausland;424;804
2003;08;Spanien;Europa ohne Deutschland;Ausland;1422;2301
2003;08;Tschechische Republik;Europa ohne Deutschland;Ausland;175;369
2003;08;Großbritannien;Europa ohne Deutschland;Ausland;1223;2639
2003;08;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1818;3925
2003;08;afrikanische Länder;Sonst. Ausland;Ausland;80;132
2003;08;USA;Amerika;Ausland;1835;3934
2003;08;Kanada;Amerika;Ausland;145;311
2003;08;amerik. Länder (o.USA, Kanada);Amerika;Ausland;340;525
2003;08;China;Asien;Ausland;74;186
2003;08;Japan;Asien;Ausland;2417;4125
2003;08;asiatische Länder (o.China, Japan);Asien;Ausland;1082;1687
2003;08;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;232;395
2003;08;Ausländer ohne Angabe;Sonst. Ausland;Ausland;154;245
2003;09;Deutschland;Deutschland;Deutschland;99722;222205
2003;09;Belgien;Europa ohne Deutschland;Ausland;513;1012
2003;09;Dänemark;Europa ohne Deutschland;Ausland;627;919
2003;09;Frankreich;Europa ohne Deutschland;Ausland;1081;2310
2003;09;Italien;Europa ohne Deutschland;Ausland;1334;2449
2003;09;Niederlande;Europa ohne Deutschland;Ausland;905;2466
2003;09;Österreich;Europa ohne Deutschland;Ausland;1255;2611
2003;09;Polen;Europa ohne Deutschland;Ausland;285;563
2003;09;Schweden;Europa ohne Deutschland;Ausland;920;1284
2003;09;Schweiz;Europa ohne Deutschland;Ausland;1971;5242
2003;09;Russland;Europa ohne Deutschland;Ausland;198;592
2003;09;Spanien;Europa ohne Deutschland;Ausland;648;1324
2003;09;Tschechische Republik;Europa ohne Deutschland;Ausland;227;608
2003;09;Großbritannien;Europa ohne Deutschland;Ausland;2021;4409
2003;09;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1301;3272
2003;09;afrikanische Länder;Sonst. Ausland;Ausland;99;271
2003;09;USA;Amerika;Ausland;2601;6030
2003;09;Kanada;Amerika;Ausland;237;457
2003;09;amerik. Länder (o.USA, Kanada);Amerika;Ausland;564;1020
2003;09;China;Asien;Ausland;129;308
2003;09;Japan;Asien;Ausland;3450;5262
2003;09;asiatische Länder (o.China, Japan);Asien;Ausland;826;1668
2003;09;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;310;629
2003;09;Ausländer ohne Angabe;Sonst. Ausland;Ausland;193;298
2003;10;Deutschland;Deutschland;Deutschland;99717;215214
2003;10;Belgien;Europa ohne Deutschland;Ausland;318;585
2003;10;Dänemark;Europa ohne Deutschland;Ausland;410;678
2003;10;Frankreich;Europa ohne Deutschland;Ausland;675;1300
2003;10;Italien;Europa ohne Deutschland;Ausland;803;1314
2003;10;Niederlande;Europa ohne Deutschland;Ausland;909;2004
2003;10;Österreich;Europa ohne Deutschland;Ausland;952;2146
2003;10;Polen;Europa ohne Deutschland;Ausland;261;558
2003;10;Schweden;Europa ohne Deutschland;Ausland;437;660
2003;10;Schweiz;Europa ohne Deutschland;Ausland;1439;3464
2003;10;Russland;Europa ohne Deutschland;Ausland;252;533
2003;10;Spanien;Europa ohne Deutschland;Ausland;252;447
2003;10;Tschechische Republik;Europa ohne Deutschland;Ausland;257;554
2003;10;Großbritannien;Europa ohne Deutschland;Ausland;1136;2274
2003;10;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1009;2248
2003;10;afrikanische Länder;Sonst. Ausland;Ausland;125;481
2003;10;USA;Amerika;Ausland;2072;4914
2003;10;Kanada;Amerika;Ausland;179;362
2003;10;amerik. Länder (o.USA, Kanada);Amerika;Ausland;296;576
2003;10;China;Asien;Ausland;81;218
2003;10;Japan;Asien;Ausland;3624;5570
2003;10;asiatische Länder (o.China, Japan);Asien;Ausland;702;1412
2003;10;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;240;443
2003;10;Ausländer ohne Angabe;Sonst. Ausland;Ausland;157;273
2003;11;Deutschland;Deutschland;Deutschland;77002;150141
2003;11;Belgien;Europa ohne Deutschland;Ausland;197;455
2003;11;Dänemark;Europa ohne Deutschland;Ausland;90;157
2003;11;Frankreich;Europa ohne Deutschland;Ausland;497;949
2003;11;Italien;Europa ohne Deutschland;Ausland;497;894
2003;11;Niederlande;Europa ohne Deutschland;Ausland;599;1182
2003;11;Österreich;Europa ohne Deutschland;Ausland;690;1488
2003;11;Polen;Europa ohne Deutschland;Ausland;335;649
2003;11;Schweden;Europa ohne Deutschland;Ausland;105;233
2003;11;Schweiz;Europa ohne Deutschland;Ausland;961;2137
2003;11;Russland;Europa ohne Deutschland;Ausland;617;1206
2003;11;Spanien;Europa ohne Deutschland;Ausland;174;407
2003;11;Tschechische Republik;Europa ohne Deutschland;Ausland;325;628
2003;11;Großbritannien;Europa ohne Deutschland;Ausland;739;1611
2003;11;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;835;2066
2003;11;afrikanische Länder;Sonst. Ausland;Ausland;50;152
2003;11;USA;Amerika;Ausland;1304;3133
2003;11;Kanada;Amerika;Ausland;122;253
2003;11;amerik. Länder (o.USA, Kanada);Amerika;Ausland;128;193
2003;11;China;Asien;Ausland;169;364
2003;11;Japan;Asien;Ausland;1560;2559
2003;11;asiatische Länder (o.China, Japan);Asien;Ausland;375;939
2003;11;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;113;191
2003;11;Ausländer ohne Angabe;Sonst. Ausland;Ausland;161;336
2003;12;Deutschland;Deutschland;Deutschland;92603;187127
2003;12;Belgien;Europa ohne Deutschland;Ausland;190;341
2003;12;Dänemark;Europa ohne Deutschland;Ausland;122;174
2003;12;Frankreich;Europa ohne Deutschland;Ausland;428;790
2003;12;Italien;Europa ohne Deutschland;Ausland;656;1159
2003;12;Niederlande;Europa ohne Deutschland;Ausland;579;1327
2003;12;Österreich;Europa ohne Deutschland;Ausland;772;1830
2003;12;Polen;Europa ohne Deutschland;Ausland;163;292
2003;12;Schweden;Europa ohne Deutschland;Ausland;74;147
2003;12;Schweiz;Europa ohne Deutschland;Ausland;1431;4098
2003;12;Russland;Europa ohne Deutschland;Ausland;252;499
2003;12;Spanien;Europa ohne Deutschland;Ausland;130;320
2003;12;Tschechische Republik;Europa ohne Deutschland;Ausland;240;480
2003;12;Großbritannien;Europa ohne Deutschland;Ausland;800;1752
2003;12;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;632;1589
2003;12;afrikanische Länder;Sonst. Ausland;Ausland;54;118
2003;12;USA;Amerika;Ausland;1174;2536
2003;12;Kanada;Amerika;Ausland;62;219
2003;12;amerik. Länder (o.USA, Kanada);Amerika;Ausland;99;225
2003;12;China;Asien;Ausland;123;430
2003;12;Japan;Asien;Ausland;2118;3411
2003;12;asiatische Länder (o.China, Japan);Asien;Ausland;185;412
2003;12;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;225;371
2003;12;Ausländer ohne Angabe;Sonst. Ausland;Ausland;89;209
2004;01;Deutschland;Deutschland;Deutschland;41399;85500
2004;01;Belgien;Europa ohne Deutschland;Ausland;112;194
2004;01;Dänemark;Europa ohne Deutschland;Ausland;56;83
2004;01;Frankreich;Europa ohne Deutschland;Ausland;302;822
2004;01;Italien;Europa ohne Deutschland;Ausland;349;676
2004;01;Niederlande;Europa ohne Deutschland;Ausland;342;730
2004;01;Österreich;Europa ohne Deutschland;Ausland;491;1034
2004;01;Polen;Europa ohne Deutschland;Ausland;269;487
2004;01;Schweden;Europa ohne Deutschland;Ausland;54;104
2004;01;Schweiz;Europa ohne Deutschland;Ausland;399;924
2004;01;Russland;Europa ohne Deutschland;Ausland;261;495
2004;01;Spanien;Europa ohne Deutschland;Ausland;106;228
2004;01;Tschechische Republik;Europa ohne Deutschland;Ausland;237;597
2004;01;Großbritannien;Europa ohne Deutschland;Ausland;614;1165
2004;01;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;529;1066
2004;01;afrikanische Länder;Sonst. Ausland;Ausland;26;135
2004;01;USA;Amerika;Ausland;842;2190
2004;01;Kanada;Amerika;Ausland;53;87
2004;01;amerik. Länder (o.USA, Kanada);Amerika;Ausland;141;246
2004;01;China;Asien;Ausland;20;52
2004;01;Japan;Asien;Ausland;1239;1919
2004;01;asiatische Länder (o.China, Japan);Asien;Ausland;221;454
2004;01;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;129;296
2004;01;Ausländer ohne Angabe;Sonst. Ausland;Ausland;102;153
2004;02;Deutschland;Deutschland;Deutschland;45494;90537
2004;02;Belgien;Europa ohne Deutschland;Ausland;188;252
2004;02;Dänemark;Europa ohne Deutschland;Ausland;78;98
2004;02;Frankreich;Europa ohne Deutschland;Ausland;350;1072
2004;02;Italien;Europa ohne Deutschland;Ausland;406;699
2004;02;Niederlande;Europa ohne Deutschland;Ausland;746;1367
2004;02;Österreich;Europa ohne Deutschland;Ausland;328;707
2004;02;Polen;Europa ohne Deutschland;Ausland;347;510
2004;02;Schweden;Europa ohne Deutschland;Ausland;68;98
2004;02;Schweiz;Europa ohne Deutschland;Ausland;1311;3527
2004;02;Russland;Europa ohne Deutschland;Ausland;121;256
2004;02;Spanien;Europa ohne Deutschland;Ausland;146;296
2004;02;Tschechische Republik;Europa ohne Deutschland;Ausland;193;348
2004;02;Großbritannien;Europa ohne Deutschland;Ausland;466;1057
2004;02;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;599;1247
2004;02;afrikanische Länder;Sonst. Ausland;Ausland;47;195
2004;02;USA;Amerika;Ausland;812;2293
2004;02;Kanada;Amerika;Ausland;79;180
2004;02;amerik. Länder (o.USA, Kanada);Amerika;Ausland;122;191
2004;02;China;Asien;Ausland;64;138
2004;02;Japan;Asien;Ausland;1061;1664
2004;02;asiatische Länder (o.China, Japan);Asien;Ausland;172;431
2004;02;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;57;128
2004;02;Ausländer ohne Angabe;Sonst. Ausland;Ausland;102;226
2004;03;Deutschland;Deutschland;Deutschland;68836;141118
2004;03;Belgien;Europa ohne Deutschland;Ausland;217;350
2004;03;Dänemark;Europa ohne Deutschland;Ausland;318;668
2004;03;Frankreich;Europa ohne Deutschland;Ausland;682;1039
2004;03;Italien;Europa ohne Deutschland;Ausland;583;1006
2004;03;Niederlande;Europa ohne Deutschland;Ausland;585;1256
2004;03;Österreich;Europa ohne Deutschland;Ausland;692;1488
2004;03;Polen;Europa ohne Deutschland;Ausland;276;702
2004;03;Schweden;Europa ohne Deutschland;Ausland;248;599
2004;03;Schweiz;Europa ohne Deutschland;Ausland;640;1431
2004;03;Russland;Europa ohne Deutschland;Ausland;313;531
2004;03;Spanien;Europa ohne Deutschland;Ausland;131;319
2004;03;Tschechische Republik;Europa ohne Deutschland;Ausland;189;403
2004;03;Großbritannien;Europa ohne Deutschland;Ausland;803;1610
2004;03;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;980;2648
2004;03;afrikanische Länder;Sonst. Ausland;Ausland;79;250
2004;03;USA;Amerika;Ausland;1419;3692
2004;03;Kanada;Amerika;Ausland;125;280
2004;03;amerik. Länder (o.USA, Kanada);Amerika;Ausland;146;316
2004;03;China;Asien;Ausland;53;146
2004;03;Japan;Asien;Ausland;1264;2092
2004;03;asiatische Länder (o.China, Japan);Asien;Ausland;262;668
2004;03;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;66;195
2004;03;Ausländer ohne Angabe;Sonst. Ausland;Ausland;179;298
2004;04;Deutschland;Deutschland;Deutschland;82439;179016
2004;04;Belgien;Europa ohne Deutschland;Ausland;479;1088
2004;04;Dänemark;Europa ohne Deutschland;Ausland;388;922
2004;04;Frankreich;Europa ohne Deutschland;Ausland;786;1510
2004;04;Italien;Europa ohne Deutschland;Ausland;981;1448
2004;04;Niederlande;Europa ohne Deutschland;Ausland;729;1757
2004;04;Österreich;Europa ohne Deutschland;Ausland;1202;2712
2004;04;Polen;Europa ohne Deutschland;Ausland;361;744
2004;04;Schweden;Europa ohne Deutschland;Ausland;918;1361
2004;04;Schweiz;Europa ohne Deutschland;Ausland;1215;3122
2004;04;Russland;Europa ohne Deutschland;Ausland;219;511
2004;04;Spanien;Europa ohne Deutschland;Ausland;506;789
2004;04;Tschechische Republik;Europa ohne Deutschland;Ausland;198;385
2004;04;Großbritannien;Europa ohne Deutschland;Ausland;950;1910
2004;04;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;942;1974
2004;04;afrikanische Länder;Sonst. Ausland;Ausland;52;190
2004;04;USA;Amerika;Ausland;1532;3581
2004;04;Kanada;Amerika;Ausland;195;423
2004;04;amerik. Länder (o.USA, Kanada);Amerika;Ausland;217;370
2004;04;China;Asien;Ausland;98;324
2004;04;Japan;Asien;Ausland;1899;2894
2004;04;asiatische Länder (o.China, Japan);Asien;Ausland;449;976
2004;04;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;205;363
