Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;242
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;241
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;215
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;191
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;169
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;177
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;163
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;121
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;140
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;102
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;113
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;112
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;95
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;102
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;106
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;109
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;88
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;131
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;251
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;466
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;579
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;660
