Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2051
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;795
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;1156
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;15835
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1356
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;6049
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7851
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;265
2019;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;207
2019;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2002
2019;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;598
2019;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;705
2019;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;9542
2019;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;816
2019;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;2443
2019;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8177
2019;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;252
2019;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;176
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5806
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1017
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Ausländer;426
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;22580
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1072
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Ausländer;3572
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;3798
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;89
2019;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Ausländer;120
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2053
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;219
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Ausländer;72
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;8526
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;288
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Ausländer;776
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;845
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;25
2019;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Ausländer;24
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4069
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Deutsche mit Migrationshintergrund;518
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Ausländer;213
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;15330
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Deutsche mit Migrationshintergrund;537
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Ausländer;1380
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;2863
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Deutsche mit Migrationshintergrund;80
2019;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Ausländer;56
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4668
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Deutsche mit Migrationshintergrund;415
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Ausländer;108
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16459
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Deutsche mit Migrationshintergrund;433
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Ausländer;911
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;5623
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Deutsche mit Migrationshintergrund;100
2019;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Ausländer;53
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5321
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Deutsche mit Migrationshintergrund;463
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Ausländer;108
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16598
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Deutsche mit Migrationshintergrund;426
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Ausländer;610
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7713
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Deutsche mit Migrationshintergrund;87
2019;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Ausländer;39
2019;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5836
