Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geborene
2018;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;54
2018;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;57
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;84
2018;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;160
2018;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;173
2018;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;88
2018;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;349
2018;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;115
2018;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;114
2018;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;191
2018;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;39
2018;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;196
2018;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;151
2018;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;57
2018;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;95
2018;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;165
2018;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;143
2018;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;36
2018;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;41
