Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;754;377;377
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;306;204;102
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;85;65;20
2014;StB 0 Altstadt;02 Johannstadt;1 Kind;552;276;276
2014;StB 0 Altstadt;02 Johannstadt;2 Kinder;309;206;103
2014;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;95;72;23
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;1346;673;673
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;788;526;263
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;230;174;56
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;492;246;246
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;258;172;86
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;85;65;20
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;1090;545;545
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;594;396;198
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;253;194;59
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;1180;590;590
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;635;424;212
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;249;191;58
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;752;376;376
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;435;290;145
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;128;97;31
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;794;397;397
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;510;340;170
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;138;105;33
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;1594;797;797
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;831;554;277
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;212;161;51
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;1512;756;756
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;804;536;268
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;145;111;34
2014;StB 6 Leuben;10 StB Leuben;1 Kind;1546;773;773
2014;StB 6 Leuben;10 StB Leuben;2 Kinder;773;516;258
2014;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;205;157;48
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;906;453;453
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;639;426;213
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;379;293;86
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;936;468;468
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;567;378;189
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;164;126;38
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;588;294;294
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;378;252;126
