Jahr;Quartal;Insolvenzverfahren (insgesamt);darunter eröffnete Verfahren;Einzelunternehmen;Personengesellschaften;Gesellschaften mbH;Aktiengesellschaften, KGaA;Private Company Limited by Shares (Ltd);sonstige Rechtsformen;C Verarbeitendes Gewerbe;F Baugewerbe;"G Handel; Instandhaltung und Reparatur von Kfz";H Verkehr und Lagerei;I Gastgewerbe;J Information und Kommunikation;K Erbringung von Finanz- und Versicherungsdienstleistungen;L Grundstücks- und Wohnungswesen;M Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;N Erbringung von sonstigen wirtschaftlichen Dienstleistungen;Q Gesundheits- und Sozialwesen;R Kunst, Unterhaltung und Erholung;S Erbringung von sonstigen Dienstleistungen;Übrige Wirtschaftsbereiche (A, B, D, E, P)
2022;1. Quartal;26;17;11;1;13;0;-;1;1;6;4;1;1;1;2;0;3;2;0;1;2;2
2022;2. Quartal;20;14;9;2;8;0;-;1;1;2;4;3;4;0;1;0;1;2;0;0;1;1
2022;3. Quartal;25;21;11;0;14;0;-;0;1;4;5;1;2;3;1;0;3;3;1;0;0;1
2022;4. Quartal;19;16;8;2;9;0;-;0;3;1;5;1;2;0;3;0;0;2;0;2;0;0
2023;1. Quartal;24;20;11;1;10;2;-;0;1;2;4;1;3;0;1;0;4;2;3;2;1;0
2023;2. Quartal;29;25;18;0;11;0;-;0;2;5;3;1;3;1;1;1;5;3;0;0;2;2
2023;3. Quartal;31;28;16;0;14;0;-;1;0;10;5;1;3;0;0;0;2;5;0;0;2;3
2023;4. Quartal;29;21;9;0;19;0;-;1;0;11;5;0;5;0;1;1;1;3;0;0;0;2
2024;1. Quartal;57;48;22;2;28;1;-;4;5;8;11;2;2;5;3;1;7;4;2;0;4;3
2024;2. Quartal;38;33;10;4;20;1;-;3;3;3;5;1;4;1;1;0;8;3;1;5;2;1
2024;3. Quartal;39;30;16;0;23;0;-;0;2;2;6;2;6;4;1;1;5;5;0;1;2;2
2024;4. Quartal;39;28;15;0;23;0;-;1;2;2;7;2;3;4;0;0;5;5;3;4;1;1
2025;1. Quartal;26;15;5;1;20;0;-;0;4;6;4;1;1;1;0;0;5;2;1;0;1;0
2025;2. Quartal;40;32;15;1;24;0;-;0;6;5;6;1;7;1;1;0;6;3;0;2;1;1
2025;3. Quartal;43;34;16;1;24;0;-;2;2;7;5;4;9;2;1;0;4;3;1;0;4;1
2025;4. Quartal;44;40;17;3;24;0;-;0;5;2;11;0;5;2;1;1;8;2;3;0;3;1
2026;1. Quartal;33;18;8;0;24;0;-;1;3;6;4;0;4;2;1;0;6;3;2;0;0;2
