Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;185
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;192
2024;StB 0 Altstadt;02 Johannstadt;männlich;115
2024;StB 0 Altstadt;02 Johannstadt;weiblich;122
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;184
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;169
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;70
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;54
2024;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;106
2024;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;100
2024;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;117
2024;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;110
2024;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;79
2024;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;78
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;75
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;81
2024;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;209
2024;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;188
2024;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;119
2024;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;96
2024;StB 6 Leuben;10 StB Leuben;männlich;94
2024;StB 6 Leuben;10 StB Leuben;weiblich;114
2024;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;94
2024;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;91
2024;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;122
2024;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;107
2024;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;115
2024;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;99
2024;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;81
2024;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;72
2024;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;172
2024;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;175
2024;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;74
2024;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;78
2024;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;80
2024;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;72
