Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2025;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;21311;3955
2025;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;134604;6029
2025;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;214690;4618
2025;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;515501;6040
2025;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;759277;4497
2025;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2041493;4452
2025;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;16976;3374
2025;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;83625;3759
2025;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;93028;2057
2025;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;131762;1607
2025;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;79774;482
2025;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;38214;136
2025;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;9394;1794
2025;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;76545;3336
2025;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;109509;2343
2025;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;330480;3869
2025;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;733191;4244
2025;02 Johannstadt;Deutsche;20 Jahre und mehr;2293312;5220
2025;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;5291;1046
2025;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;37065;1673
2025;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;47499;1035
2025;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;88441;1074
2025;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;68148;398
2025;02 Johannstadt;Ausländer;20 Jahre und mehr;29685;97
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;18929;3379
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;151616;6620
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;200532;4238
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;641775;7390
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1381194;8036
2025;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;1553447;4440
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;6940;1526
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;41841;1893
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;41498;919
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;71830;836
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;73410;434
2025;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;38520;133
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;18538;3530
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;138181;6012
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;223981;4759
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;697950;8020
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;1381937;7996
2025;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1750079;4801
2025;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;3638;751
2025;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;23508;1022
