Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2014;02;1886;1373;687;686;33883;1373;1243;0;-;513;192;321;93713;93526;92762;45238;47524;764;69881;22881;187;-;10,9;10,9;6,4;4,6;0;0;92871
2014;03;2345;1663;835;828;40640;1663;1495;0;-;682;201;481;122491;121801;121416;61378;60038;385;86474;34942;690;-;13,4;13,4;5,9;7,5;0;0;121550
2014;04;2305;1687;842;845;40095;1687;1448;0;-;618;152;466;125088;124805;124234;61492;62742;571;78846;45388;283;-;10,8;10,8;6,9;3,9;0;0;124343
2014;05;2692;1975;988;987;50015;1974;1767;1;-;717;192;525;158159;157822;156365;75899;80466;1457;94016;62349;337;-;15,9;15,9;9,3;6,5;0;0,2;156526
2014;06;2969;2145;1077;1068;53285;2145;1887;0;-;824;242;582;177184;176832;174545;88583;85962;2287;91833;82712;352;-;17;17;6,9;10,1;0;0;174715
2014;07;2959;2147;1070;1077;53917;2143;1905;4;-;812;188;624;167541;167234;164217;78764;85453;3017;85135;79082;307;-;18,4;18,4;8,3;10,2;0;0;164402
2014;08;2747;2043;1021;1022;51316;2043;1814;0;-;704;180;524;178062;177761;175686;90034;85652;2075;78944;96742;301;-;13,9;13,9;10,4;3,6;0;0;175826
2014;09;3062;2432;1216;1216;60118;2432;2189;0;-;630;184;446;200272;199962;197803;97899;99904;2159;99586;98217;310;-;15,4;14,1;9,9;4,2;1,3;0;197944
2014;10;3184;2499;1254;1245;59534;2499;2188;0;-;685;183;502;196792;196275;194830;101053;93777;1445;100280;94550;517;-;10,4;10,4;5,6;4,8;0;0;194934
2014;11;2429;1975;994;981;44704;1975;1788;0;-;454;145;309;134488;134178;133164;70199;62965;1014;92895;40269;310;-;13,8;13,8;8,5;5,4;0;0;133302
2014;12;2095;1733;868;865;38987;1730;1561;3;-;362;119;243;115298;115049;114511;57995;56516;538;87734;26777;249;-;12,1;12,1;7,8;4,3;0;0;114632
2015;01;2063;1720;861;859;37732;1719;1517;1;-;343;148;195;91300;91148;91134;44529;46605;14;69923;21211;152;-;12;12;7,5;4,5;0;0;91254
2015;02;2001;1598;796;802;37099;1597;1480;1;-;403;129;274;94649;94516;94371;46747;47624;145;70397;23974;133;-;12,8;12,8;7,3;5,5;0;0;94499
2015;03;2456;1895;949;946;42339;1895;1660;0;-;561;191;370;119810;119552;119378;59569;59809;174;88696;30682;258;-;11,4;11,4;7,5;3,9;0;0;119492
2015;04;2285;1749;876;873;43230;1748;1552;1;-;536;131;405;131104;130866;130482;65612;64870;384;88300;42182;238;-;13;13;6,6;6,4;0;0;130612
2015;05;2881;2046;1022;1024;49706;2043;1717;3;-;835;228;607;161962;161444;160415;77545;82870;1029;94111;66304;518;-;24,7;24,7;15,9;8,8;0;0;160662
2015;06;2888;2094;1049;1045;52505;2094;1816;0;-;794;238;556;170269;169755;168295;84718;83577;1460;94564;73731;514;-;15,1;15,1;6,4;8,7;0;0;168446
2015;07;2942;2092;1048;1044;53734;2091;1822;1;-;850;231;619;173601;173102;171538;83332;88206;1564;89254;82284;499;-;16,3;16,3;8;8,3;0;0;171701
2015;08;2749;1987;997;990;51875;1987;1772;0;-;762;210;552;172518;172212;171951;87781;84170;261;81465;90486;306;-;12,6;12,6;6,4;6,2;0;0;172077
2015;09;3019;2325;1163;1162;54595;2324;1826;1;-;694;190;504;186392;186044;185547;92658;92889;497;101359;84188;348;-;13,8;13,8;6,9;6,9;0;0;185685
2015;10;2649;2098;1058;1040;56224;2097;1874;1;-;551;181;370;187111;186924;185972;96624;89348;952;101076;84896;187;-;18;18;11,3;6,7;0;0;186152
2015;11;2253;1759;880;879;44039;1755;1517;4;-;494;188;306;120795;120541;120305;62111;58194;236;86545;33760;254;-;17,2;17,2;8,3;8,9;0;0;120477
2015;12;2011;1587;794;793;42465;1587;1431;0;-;424;136;288;116960;116759;116178;58524;57654;581;88570;27608;201;-;15,5;15,5;7,2;8,3;0;0;116333
2016;01;2054;1610;805;805;41249;1609;1399;1;-;444;107;337;92793;92668;92349;45171;47178;319;70094;22255;125;11,3;11,3;11,3;6,1;5,1;0;0;92462
2016;02;2067;1524;765;759;42590;1524;1452;0;-;543;172;371;102858;102763;102028;50550;51478;735;77709;24319;95;20,7;20,7;20,7;8,7;11,9;0;0;102235
2016;03;2332;1662;832;830;44715;1662;1528;0;-;670;158;512;121497;121279;120789;60354;60435;490;87941;32848;218;18,5;18,5;18,5;10,6;7,9;0;0;120974
2016;04;2554;1733;867;866;43434;1732;1504;1;-;821;214;607;124044;123700;123503;62756;60747;197;89623;33880;344;19,7;19,7;19,7;10,5;9,1;0;0;123700
2016;05;2799;2022;1011;1011;51150;2022;1725;0;-;777;149;628;150781;150420;149890;73182;76708;530;90989;58901;361;20,6;20,6;20,6;9,8;10,8;0;0;150096
2016;06;2874;2173;1090;1083;55404;2172;1845;1;-;701;171;530;165756;165397;164654;79827;84827;743;97069;67585;359;22,6;22,6;22,6;10,6;12;0;0;164880
2016;07;2710;1993;997;996;52940;1993;1781;0;-;717;150;567;160292;159989;159708;81516;78192;281;84567;75141;303;22,6;22,6;22,6;14,4;8,2;0;0;159934
2016;08;2858;2007;1002;1005;51642;2005;1767;2;-;851;210;641;149031;148721;148618;73878;74740;103;78231;70387;310;21,2;21,1;21,1;12,6;8,5;0;0,1;148830
2016;09;3126;2184;1091;1093;55728;2184;1872;0;-;942;215;727;178622;178051;177391;87697;89694;660;102502;74889;571;17,9;17,9;17,9;9,5;8,4;0;0;177570
2016;10;2515;2015;1014;1001;54006;2015;1811;0;-;500;197;303;175607;175409;174815;91190;83625;594;99599;75216;198;15,3;15,3;15,3;9,2;6,1;0;0;174968
2016;11;2153;1777;889;888;44278;1776;1567;1;-;376;169;207;126105;125902;124350;62978;61372;1552;89392;34958;203;16,1;16,1;16,1;9;7,1;0;0;124511
2016;12;2338;1718;859;859;41040;1717;1447;1;-;620;157;463;120494;120377;119913;60439;59474;464;89652;30261;117;15,3;15,3;15,3;8,7;6,6;0;0;120066
2017;01;1872;1546;775;771;40667;1545;1433;1;-;326;113;213;99788;99685;99567;48333;51234;118;74567;25000;103;16,9;16,9;16,9;8,9;8,1;0;0;99736
2017;02;2020;1578;793;785;39625;1578;1365;0;-;442;155;287;106795;106682;106544;53419;53125;138;77250;29294;113;21,1;21,1;21,1;11,5;9,6;0;0;106755
2017;03;2639;1988;1020;968;46984;1987;1680;1;-;651;143;508;145173;145011;144656;75596;69060;355;97425;47231;162;29,5;23,5;23,5;11,9;11,6;0;6;144951
2017;04;2415;1747;872;875;45111;1746;1535;1;-;668;141;527;138429;138202;137475;68440;69035;727;86253;51222;227;29,4;19,7;19,7;9,8;9,9;0;9,8;137769
2017;05;3002;2104;1051;1053;51176;2103;1721;1;-;898;204;694;161407;161094;160642;78620;82022;452;98868;61774;313;42,4;32,5;32,5;15,9;16,6;0;9,9;161066
2017;06;2798;1833;919;914;48403;1829;1543;4;-;965;180;785;158597;158192;157952;77095;80857;240;91071;66881;405;135,3;135,3;45,3;22,1;23,2;90;0;158406
2017;07;2701;1912;957;955;50636;1911;1626;1;-;789;136;653;161031;160671;160245;81683;78562;426;80300;79945;360;19,6;19,6;19,6;11,5;8,1;0;0;160441
2017;08;2730;1884;944;940;47720;1881;1540;3;-;846;191;655;146983;146693;146637;72780;73857;56;72665;73972;290;44,9;44,9;19,6;7,5;12,1;25,4;0;146833
2017;09;2650;1956;977;979;51517;1954;1628;2;-;694;192;502;178361;178146;177874;87612;90262;272;98379;79495;215;24,4;24,4;21,5;8,1;13,4;2,8;0;178089
2017;10;2491;1853;930;923;51070;1847;1627;6;-;638;189;449;169809;169625;169201;88401;80800;424;90609;78592;184;19,7;19,7;19,7;9,6;10,1;0;0;169398
2017;11;2036;1602;801;801;40486;1598;1421;4;-;434;141;293;127169;126967;126812;65401;61411;155;84982;41830;202;19;19;19;9,8;9,2;0;0;127002
2017;12;1862;1499;749;750;37685;1496;1275;3;-;363;123;240;115735;115595;114967;58228;56739;628;79615;35352;140;52,3;52,3;21,3;13;8,3;31;0;115180
2018;01;1790;1457;730;727;36295;1457;1259;0;-;333;105;228;97190;97081;96871;47492;49379;210;70148;26723;109;16,4;16,4;16,4;7,5;8,8;0;0;97035
2018;02;1918;1454;725;729;36988;1452;1258;2;-;464;143;321;103729;103640;103640;50465;53175;0;71961;31679;89;37,6;37,6;37,6;7;30,6;0;0;104016
2018;03;2210;1716;854;862;43443;1714;1499;2;-;494;141;353;135275;135153;135153;66711;68442;0;86768;48385;122;14,7;14,7;14,7;8,4;6,3;0;0;135300
2018;04;2642;1725;863;862;40416;1723;1470;2;-;917;177;740;135044;134656;134354;67339;67015;302;82828;51526;388;18,6;18,6;18,6;6,2;12,4;0;0;134540
2018;05;2998;2058;1025;1033;48916;2055;1664;3;-;940;296;644;153579;153155;152654;74093;78561;501;76914;75740;424;24,2;24,2;24,2;10;14,1;0;0;152896
2018;06;2843;1960;979;981;50036;1960;1699;0;-;883;268;615;167629;167301;167105;83309;83796;196;79355;87750;328;15,2;15,1;15,1;4,3;10,7;0;0,1;167257
2018;07;2996;2090;1047;1043;52681;2087;1820;3;-;906;133;773;172858;172405;172043;83493;88550;362;72776;99267;453;16,4;16,4;16,4;5,6;10,8;0;0;172207
2018;08;3020;2063;1032;1031;52510;2062;1808;1;-;957;213;744;161934;161508;161317;82142;79175;191;67385;93932;426;24;24;24;6,5;17,4;0;0;161557
2018;09;2926;2128;1061;1067;54974;2128;1849;0;-;798;238;560;188920;188589;188100;92184;95916;489;82503;105597;331;22,1;21,3;19,9;6,7;13,2;1,4;0,7;188299
2018;10;2893;2217;1114;1103;58711;2212;1966;5;-;676;162;514;196067;195752;195041;102019;93022;711;81243;113798;315;62,3;62,3;57,4;9,3;48,1;4,9;0;195615
2018;11;2238;1782;893;889;48133;1780;1532;2;-;456;122;334;129792;129604;129185;67048;62137;419;86101;43084;188;19,7;19,7;19,7;9;10,7;0;0;129382
2018;12;1799;1482;739;743;42689;1480;1370;2;-;317;122;195;120158;120069;120069;59596;60473;0;81318;38751;89;18,1;18,1;18,1;10,4;7,7;0;0;120250
2019;01;2046;1574;789;785;41036;1573;1324;1;-;472;135;337;96326;96212;96079;47785;48294;133;63050;33029;114;15,7;15,7;15,7;8,4;7,3;0;0;96236
2019;02;2032;1445;721;724;36842;1442;1187;3;-;587;220;367;91172;90954;90869;43726;47143;85;67340;23529;218;20,7;20,7;13,7;6;7,7;6,9;0;91006
2019;03;2167;1534;768;766;40871;1534;1342;0;-;633;192;441;115365;115215;115111;58359;56752;104;84667;30444;150;15,1;15,1;15,1;7,5;7,6;0;0;115262
2019;04;2341;1600;800;800;38541;1600;1319;0;-;741;205;536;117654;117318;117184;57530;59654;134;78457;38727;336;16;16;16;9,3;6,7;0;0;117344
2019;05;2715;1917;958;959;44337;1916;1468;1;-;798;235;563;144830;144580;144580;71073;73507;0;87221;57359;250;19,8;19,8;19,8;9,6;10,1;0;0;144778
2019;06;2724;1749;876;873;44979;1749;1458;0;-;975;226;749;152915;152489;152222;75739;76483;267;81017;71205;426;17,5;17,4;17,4;8,3;9,1;0;0,1;152397
2019;07;2606;1882;939;943;50030;1878;1558;4;-;724;180;544;167535;167295;167126;82114;85012;169;79807;87319;240;24;24;24;12,5;11,5;0;0;167366
2019;08;2624;1799;902;897;47506;1799;1556;0;-;825;198;627;149700;149335;149173;75618;73555;162;71518;77655;365;15,6;15,6;15,6;6,3;9,2;0;0;149329
2019;09;2802;1967;981;986;49594;1964;1600;3;-;835;229;606;168704;168383;168121;83250;84871;262;86119;82002;321;28,7;28,7;28,7;12,4;16,3;0;0;168408
2019;10;2493;1905;955;950;50075;1905;1603;0;-;588;128;460;161803;161516;161117;83479;77638;399;83588;77529;287;17,7;17,7;17,7;9,4;8,3;0;0;161294
2019;11;1988;1559;780;779;42010;1558;1343;1;-;429;140;289;117467;117221;116727;60088;56639;494;76716;40011;246;18;17,7;17,7;5,2;12,5;0;0,3;116907
2019;12;2045;1506;752;754;40484;1505;1295;1;-;539;118;421;115313;115157;114353;57190;57163;804;75035;39318;156;15,9;15,9;15,9;4,6;11,3;0;0;114512
2020;01;1875;1465;734;731;39947;1465;1306;0;-;410;138;272;92276;92114;91733;45164;46569;381;60329;31404;162;17,5;17,5;15,4;7,3;8,1;2,1;0;91887
2020;02;1858;1454;727;727;39684;1454;1275;0;-;404;185;219;98925;98773;98588;49100;49488;185;61010;37578;152;12,1;12,1;12,1;5,5;6,6;0;0;98709
2020;03;1378;942;473;469;21894;942;712;0;-;436;152;284;44410;44339;44178;23514;20664;161;25972;18206;71;4,9;4,9;4,9;2,3;2,6;0;0;44227
2020;04;448;48;24;24;148;48;0;0;-;400;119;281;70;25;25;15;10;0;12;13;45;0;0;0;0;0;0;0;25
2020;05;676;73;37;36;153;73;0;0;-;603;190;413;278;105;105;51;54;0;95;10;173;0;0;0;0;0;0;0;105
2020;06;953;268;134;134;2530;267;70;1;-;685;267;418;4027;3901;3901;2017;1884;0;3867;34;126;0,6;0,6;0,6;0,4;0,1;0;0;3907
2020;07;1506;625;312;313;11884;625;385;0;-;881;246;635;25698;25457;25320;10485;14835;137;12435;12885;241;2,1;2,1;2,1;0,9;1,1;0;0;25341
2020;08;1529;779;389;390;17471;779;551;0;-;750;170;580;40671;40363;40265;21516;18749;98;14517;25748;308;4;4;4;1,8;2,3;0;0;40305
2020;09;1682;827;413;414;17862;827;560;0;-;855;232;623;34987;34671;33821;16371;17450;850;17259;16562;316;3;3;3;1,3;1,7;0;0;33851
2020;10;1430;833;416;417;16114;829;515;4;-;597;169;428;33423;33219;32856;17056;15800;363;15561;17295;204;8;8;8;4,2;3,9;0;0;32936
2020;11;1113;501;256;245;4623;498;161;3;-;612;184;428;6748;6540;6396;3449;2947;144;4067;2329;208;2,2;2,2;2,2;1,1;1,1;0;0;6418
2020;12;705;235;117;118;2985;235;110;0;-;470;127;343;4138;4061;4026;1982;2044;35;3722;304;77;1,3;1,3;1,3;0,4;0,8;0;0;4039
2021;01;451;119;61;58;1701;119;67;0;-;332;160;172;2555;2478;2378;1248;1130;100;2212;166;77;1;1;1;0,2;0,8;0;0;2388
2021;02;500;98;49;49;1115;98;44;0;-;402;151;251;1651;1558;1558;758;800;0;1453;105;93;0,9;0,9;0,9;0,3;0,6;0;0;1567
2021;03;828;150;75;75;1348;150;50;0;-;678;215;463;2329;2213;2203;1017;1186;10;2124;79;116;0,8;0,8;0,8;0,3;0,5;0;0;2211
2021;04;909;264;134;130;2921;264;110;0;-;645;194;451;3986;3820;3820;1892;1928;0;3579;241;166;1,4;1,4;1,4;0,8;0,6;0;0;3834
2021;05;1106;339;169;170;4413;337;155;2;-;767;248;519;8809;8555;8555;3794;4761;0;4631;3924;254;0,9;0,9;0,9;0,2;0,7;0;0;8564
2021;06;1327;508;254;254;7084;508;231;0;-;819;270;549;18730;18387;18387;8670;9717;0;7755;10632;343;1;1;1;0,3;0,7;0;0;18397
2021;07;1647;715;359;356;14721;715;469;0;-;932;268;664;41054;40675;40564;18553;22011;111;13129;27435;379;1,1;1,1;1,1;0,3;0,7;0;0;40575
2021;08;1503;735;368;367;17086;735;547;0;-;768;150;618;54734;54352;54137;27723;26414;215;15872;38265;382;1,3;1,3;1,3;0,5;0,8;0;0;54150
2021;09;1889;956;479;477;22720;956;712;0;-;933;315;618;66129;65631;65402;31854;33548;229;25040;40362;498;2,4;2,4;2,4;1,3;1,1;0;0;65426
2021;10;1834;1040;523;517;22873;1040;729;0;-;794;185;609;74670;74143;73967;39312;34655;176;27385;46582;527;16,1;16,1;16,1;0,8;15,3;0;0;74128
2021;11;1455;986;492;494;18763;986;622;0;-;469;121;348;36192;35980;35651;17869;17782;329;22163;13488;212;10,1;7,3;6,7;2;4,7;0,6;2,8;35745
2021;12;965;643;322;321;12343;643;426;0;-;322;110;212;20545;20484;20401;10076;10325;83;13943;6458;61;2,5;2,5;2,5;0,8;1,7;0;0;20426
2022;01;785;426;215;211;8510;426;307;0;-;359;128;231;14944;14910;14910;7600;7310;0;10805;4105;34;1,5;1,5;1,5;0,3;1,2;0;0;14925
2022;02;979;425;212;213;8338;425;314;0;-;554;273;281;20168;20003;20003;9703;10300;0;12997;7006;165;1,3;1,3;1,3;0,6;0,8;0;0;20016
2022;03;1542;772;388;384;18319;771;606;1;-;770;290;480;38499;38216;38216;18320;19896;0;21109;17107;283;3,6;3,6;3,6;2,3;1,3;0;0;38252
2022;04;1723;1017;507;510;26112;1017;835;0;-;706;211;495;68535;68240;68081;33517;34564;159;31206;36875;295;2,4;2,4;2,4;0,6;1,9;0;0;68105
2022;05;2346;1328;661;667;32053;1328;1019;0;-;1018;362;656;92426;92003;92003;44076;47927;0;39288;52715;423;4,3;4,3;4,3;1,8;2,5;0;0;92046
2022;06;2086;1114;553;561;27891;1114;854;0;-;972;255;717;94432;94084;93908;46600;47308;176;33657;60251;348;3,7;3,7;3,7;2,2;1,5;0;0;93945
2022;07;2173;1168;584;584;28634;1126;865;42;-;1005;297;708;96615;96251;95905;43390;52515;346;25018;70887;364;1,9;1,9;1,9;0,6;1,3;0;0;95924
2022;08;2063;1218;603;615;32872;1218;1041;0;-;845;273;572;104531;104238;104137;54322;49815;101;30046;74091;293;3,9;3,9;3,9;1,1;2,8;0;0;104176
2022;09;1848;1113;551;562;29594;1111;901;2;-;735;214;521;102659;102376;102248;49173;53075;128;36309;65939;283;9,1;9,1;9,1;3,9;5,2;0;0;102339
2022;10;1909;1162;587;575;31074;1162;1003;0;-;747;213;534;107271;106934;106625;55685;50940;309;37907;68718;337;8,6;8,6;8,6;4,6;3,9;0;0;106711
2022;11;1624;1016;508;508;21252;1014;737;2;-;608;210;398;56515;56277;54600;28987;25613;1677;33593;21007;238;8;8;2,2;0,6;1,5;5,8;0;54622
2022;12;1041;706;355;351;15850;704;558;2;-;335;101;234;44927;44855;44650;22364;22286;205;28595;16055;72;12,4;12,4;1,3;0,2;1,1;11,1;0;44663
2023;01;1123;731;363;368;16711;730;596;1;-;392;135;257;39991;39885;39859;19259;20600;26;26849;13010;106;1,8;1,8;1,8;0,5;1,3;0;0;39877
2023;02;1323;716;359;357;16604;715;571;1;-;607;227;380;46742;46634;46594;22943;23651;40;28153;18441;108;1,2;1,2;1,2;0,3;0,8;0;0;46606
2023;03;1452;871;435;436;19328;871;635;0;-;581;165;416;59495;59267;59164;28976;30188;103;32575;26589;228;1,6;1,6;1,6;0,3;1,3;0;0;59180
2023;04;1559;941;469;472;22561;940;768;1;-;618;164;454;74340;74081;73657;35846;37811;424;33579;40078;259;5,5;5,5;5,5;4,3;1,2;0;0;73712
2023;05;2011;1154;577;577;27972;1153;890;1;-;857;218;639;90198;89879;88612;43340;45272;1267;37783;50829;319;5,6;5,6;5,6;4,1;1,4;0;0;88668
2023;06;2073;1158;578;580;28714;1158;900;0;-;915;293;622;94761;94221;93116;47171;45945;1105;38556;54560;540;7,3;7,3;7,1;3,9;3,2;0,2;0;93187
2023;07;1994;1154;575;579;29206;1150;911;4;-;840;289;551;98323;97805;95981;45269;50712;1824;36539;59442;518;5,9;5,9;5,9;4;1,9;0;0;96040
2023;08;1940;1090;545;545;29506;1090;934;0;-;850;302;548;97130;96785;95372;49555;45817;1413;33574;61798;345;6,2;6,2;6,2;4,8;1,4;0;0;95434
2023;09;2160;1172;584;588;30763;1172;942;0;-;988;318;670;107467;107009;105471;50199;55272;1538;43204;62267;458;6,4;6,4;6,4;5;1,4;0;0;105535
2023;10;1865;1194;602;592;32167;1193;1010;1;-;671;268;403;114485;114227;113931;58965;54966;296;43180;70751;258;7;7;7;4,9;2,2;0;0;114001
2023;11;1476;889;447;442;19958;889;680;0;-;587;265;322;61342;61112;61056;33071;27985;56;38345;22711;230;3,8;3,8;3,8;1,9;1,9;0;0;61094
2023;12;1117;675;337;338;15957;669;536;6;-;442;199;243;49278;49023;48572;23809;24763;451;31798;16774;255;7,2;7,2;7,2;2,8;4,3;0;0;48644
2024;01;1137;661;332;329;15042;661;519;0;-;476;169;307;39639;39501;39200;19395;19805;301;27195;12005;138;3,2;3,2;3,1;1,8;1,3;0,1;0;39231
2024;02;1214;723;356;367;15556;723;532;0;-;491;181;310;45843;45720;45477;21993;23484;243;28166;17311;123;3,9;3,9;3,9;2,5;1,4;0;0;45516
2024;03;1634;896;448;448;18544;896;641;0;-;738;243;495;60679;60385;60364;29515;30849;21;33239;27125;294;3,6;3,6;3,6;2,3;1,3;0;0;60400
2024;04;1683;921;461;460;21921;920;739;1;-;762;242;520;73748;73474;73474;36594;36880;0;41135;32339;274;4,3;4,3;4,3;2,6;1,7;0;0;73517
2024;05;1953;1051;524;527;24538;1051;795;0;-;902;293;609;84909;84403;84403;42189;42214;0;39723;44680;506;4,1;4,1;4,1;2,4;1,7;0;0;84444
2024;06;1949;1003;498;505;24427;1003;780;0;-;946;297;649;87318;86973;86973;41684;45289;0;40260;46713;345;4,8;4,5;4,5;2,5;2;0;0,3;87021
2024;07;1922;1129;586;561;26299;1129;836;0;-;793;208;585;95454;95151;95151;49054;46097;0;36230;58921;303;3,8;3,8;3,8;1,4;2,4;0;0;95189
2024;08;1925;1020;508;512;26035;1020;818;0;-;905;233;672;86481;86047;85842;43164;42678;205;34839;51003;434;2,4;2,3;2,3;1,4;0,9;0;0;85866
2024;09;1860;1044;523;521;26485;1044;845;0;-;816;242;574;97460;97040;97040;47485;49555;0;43337;53703;420;3,4;3,4;3,4;1,3;2,2;0;0;97074
2024;10;1764;1105;557;548;26766;1105;838;0;-;659;151;508;99604;99384;99210;51326;47884;174;39011;60199;220;3;3;3;1,3;1,7;0;0;99240
2024;11;1393;882;445;437;20439;882;655;0;-;511;202;309;65147;64948;64948;35519;29429;0;39383;25565;199;4;4;4;2;2;0;0;64988
2024;12;1099;611;305;306;16240;611;525;0;-;488;142;346;49645;49398;49309;24445;24864;89;35686;13623;247;6,9;6,8;6,8;5,3;1,5;0;0,1;49378
2025;01;1225;662;332;330;14951;660;505;2;-;563;209;354;36561;36338;36179;17995;18184;159;27956;8223;223;86,7;86,7;4,4;2,9;1,6;82,3;0;36223
2025;02;1416;638;318;320;16349;638;531;0;-;778;278;500;43076;42859;42859;20448;22411;0;29042;13817;217;5,6;5,6;5,6;4;1,6;0;0;42915
2025;03;1664;847;425;422;19275;847;630;0;-;817;209;608;58698;58447;58340;29529;28811;107;35918;22422;251;6,8;6,8;6,8;4,1;2,8;0;0;58408
2025;04;1800;964;480;484;23916;963;802;1;-;836;255;581;79485;79147;78356;38328;40028;791;37423;40933;338;6,4;6,4;6,4;4,5;1,8;0;0;78420
2025;05;2236;1075;535;540;25697;1075;846;0;-;1161;349;812;84427;83954;83548;41847;41701;406;39586;43962;473;4,4;4,4;4,4;3,5;0,9;0;0;83592
2025;06;1854;1021;511;510;25197;1021;838;0;-;833;225;608;85905;85648;85509;42994;42515;139;39603;45906;257;4,7;4,7;4,7;3,3;1,4;0;0;85556
2025;07;1898;1065;533;532;26359;1065;858;0;-;833;250;583;90068;89740;89600;43904;45696;140;34714;54886;328;5,1;5,1;5,1;3,5;1,6;0;0;89651
2025;08;1937;1014;508;506;24837;1014;832;0;-;923;249;674;90018;89592;89190;45134;44056;402;35215;53975;426;4,9;4,9;4,9;3,8;1,1;0;0;89239
2025;09;1987;1106;553;553;26371;1106;863;0;-;881;252;629;95420;95094;95094;46779;48315;0;42353;52741;326;23,5;23,5;23,5;3,2;20,3;0;0;95329
2025;10;1673;1109;560;549;30617;1109;978;0;-;564;201;363;116416;116192;114882;58954;55928;1310;40833;74049;224;5,1;5,1;5,1;3,7;1,4;0;0;114933
2025;11;1417;834;423;411;17926;834;659;0;-;583;212;371;62617;62403;62403;34323;28080;0;36685;25718;214;2,9;2,9;2,9;1,6;1,3;0;0;62432
2025;12;1142;673;337;336;14955;673;515;0;-;469;147;322;47306;47164;47043;22963;24080;121;33785;13258;142;4,5;4,5;4,5;2,4;2,1;0;0;47088
2026;01;852;497;252;245;12232;497;419;0;-;355;114;241;31761;31660;31471;16079;15392;189;25916;5555;101;7,1;7,1;7,1;4;3,2;0;0;31542
2026;02;1159;653;326;327;13564;652;457;1;-;506;207;299;38492;38382;38382;19083;19299;0;28854;9528;110;2,7;2,7;2,4;1,3;1,1;0,3;0;38406
2026;03;1734;811;405;406;15914;811;504;0;-;923;239;684;48305;48114;47794;23498;24296;320;33742;14052;191;3,8;3,8;3,8;2,6;1,2;0;0;47832
2026;04;1729;699;346;353;18464;699;526;0;-;1030;245;785;53925;53624;53500;26041;27459;124;29642;23858;301;2,6;2,6;2,6;0,8;1,8;0;0;53526
2026;05;1797;946;471;475;25832;944;709;2;-;851;220;631;77816;77376;77059;37571;39488;317;37781;39278;440;3,5;3,5;3,5;0,8;2,7;0;0;77094
2026;06;1544;806;402;404;22885;806;631;0;-;738;260;478;73188;72945;72610;36892;35718;335;35834;36776;243;2,6;2,6;2,6;1,2;1,4;0;0;72636
2026;07;1673;912;456;456;25471;912;686;0;-;761;228;533;85737;85486;84630;40292;44338;856;35444;49186;251;6;6;6;0,7;5,3;0;0;84690
