Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2006;11;2822;2336;1170;1166;47228;2217;2214;3;119;486;207;279;134392;133962;131370;66555;64815;2592;106452;24918;430;-;61,8;61,6;35,6;26;0,3;-;131986
2006;12;2415;2062;1036;1026;41629;1945;1942;3;117;353;123;230;115746;115574;113378;57898;55480;2196;97611;15767;172;-;52,5;52;25,1;26,8;0,6;-;113898
2007;01;2419;2022;1010;1012;39677;1898;1895;3;124;397;157;240;107297;106917;104716;50562;54154;2201;88071;16645;380;-;48,2;47,8;22,1;25,8;0,4;-;105204
2007;02;2559;2138;1072;1066;45253;2087;2086;1;51;421;159;262;122739;122513;119907;59088;60819;2606;93368;26539;226;-;48,4;47,3;25,7;21,6;1,1;-;120381
2007;03;3019;2467;1231;1236;50763;2356;2354;2;111;552;144;408;145336;145087;142411;72018;70393;2676;109095;33316;249;-;53,7;53,2;24,2;29;0,4;-;142944
2007;04;3128;2416;1210;1206;49492;2234;2234;0;182;712;171;541;143012;142627;140511;70907;69604;2116;100919;39592;385;-;27,4;26,9;17;10;0,5;-;140781
2007;05;3404;2652;1324;1328;58751;2494;2494;0;158;752;181;571;167248;166748;161989;78868;83121;4759;104287;57702;500;-;23;22,6;13,2;9,4;0,4;-;162216
2007;06;2610;1945;971;974;44328;1879;1878;1;66;665;145;520;137074;136551;133295;67155;66140;3256;74173;59122;523;-;25,5;25,1;14,2;10,9;0,4;-;133547
2007;07;3466;2652;1329;1323;57544;2481;2481;0;171;814;202;612;173014;172628;168474;79332;89142;4154;91857;76617;386;-;30,8;29,9;14;15,8;1;-;168773
2007;08;3673;2796;1399;1397;60945;2554;2554;0;242;877;199;678;192683;192176;187923;96729;91194;4253;92438;95485;507;-;28,2;27,4;13,1;14,2;0,8;-;188197
2007;09;3501;2787;1394;1393;60870;2593;2593;0;194;714;164;550;205399;204940;200573;99543;101030;4367;110350;90223;459;-;43;41,1;22,1;18,9;1,9;-;200984
2007;10;3342;2721;1363;1358;61408;2579;2579;0;142;621;191;430;194022;193693;188466;99071;89395;5227;107789;80677;329;-;42,6;38,9;22,5;16,4;3,7;-;188856
2007;11;2578;2196;1100;1096;47462;2139;2139;0;57;382;135;247;140570;140350;138659;70496;68163;1691;107465;31194;220;-;29,1;28,3;16,2;12,2;0,8;-;138943
2007;12;2452;1997;999;998;44390;1939;1937;2;58;455;120;335;125984;125606;123512;63063;60449;2094;100308;23204;378;-;27,5;23,8;12,5;11,2;3,7;-;123750
2008;01;2425;2033;1020;1013;42713;1952;1952;0;81;392;134;258;112609;112404;110650;53557;57093;1754;89042;21608;205;-;30,2;29,7;21,2;8,5;0,5;0;110948
2008;02;2610;2082;1045;1037;46037;2019;2019;0;63;528;191;337;126765;126563;124925;62211;62714;1638;96673;28252;202;-;23,7;23,2;13,7;9,5;0,5;0;125157
2008;03;2540;2073;1042;1031;45657;1992;1992;0;81;467;167;300;133840;133664;131904;66330;65574;1760;97206;34698;176;-;25,9;25,3;16,3;9;0,6;0,1;132158
2008;04;3125;2505;1255;1250;52689;2335;2334;1;170;620;208;412;152517;152154;148986;75521;73465;3168;112557;36429;363;-;33,9;33;20,4;12,7;0,9;0;149317
2008;05;3698;2686;1339;1347;55586;2423;2422;1;263;1012;228;784;167855;167288;164012;80085;83927;3276;104726;59286;567;-;34,1;33,3;20,6;12,7;0,8;0;164345
2008;06;3471;2688;1347;1341;56302;2507;2507;0;181;783;205;578;174688;174244;171350;85871;85479;2894;104123;67227;444;-;27,4;26,7;14,8;11,9;0,7;0,1;171618
2008;07;3548;2682;1342;1340;59144;2505;2503;2;177;866;182;684;173770;173484;170090;82765;87325;3394;91913;78177;286;-;24,8;24,1;14,9;9,2;0,7;0,1;170333
2008;08;3420;2657;1329;1328;58746;2449;2449;0;208;763;184;579;177796;177515;173272;88490;84782;4243;88149;85123;281;-;18,3;17,9;10,1;7,7;0,4;0,1;173452
2008;09;3631;2856;1424;1432;62932;2689;2688;1;167;775;221;554;197419;196930;193812;96042;97770;3118;106279;87533;489;-;30,3;30;21,2;8,8;0,3;0,1;194113
2008;10;3522;2885;1452;1433;62326;2689;2688;1;196;637;217;420;191821;191407;187595;97930;89665;3812;108001;79594;414;-;52,1;50,9;42,8;8,1;1,2;0,1;188105
2008;11;2583;2166;1089;1077;47930;2093;2093;0;73;417;131;286;133790;133541;131620;67931;63689;1921;103331;28289;249;-;24,7;23,6;17,9;5,8;1,1;0,1;131857
2008;12;2395;1997;998;999;42322;1863;1863;0;134;398;158;240;117494;117196;115506;59143;56363;1690;97921;17585;298;-;17,9;17,1;11,8;5,4;0,7;0,1;115679
2009;01;2193;1797;900;897;39398;1751;1751;0;46;396;127;269;100966;100555;99252;47803;51449;1303;81273;17979;411;-;16;15,7;11,1;4,6;0,3;0,1;99410
2009;02;2274;1903;954;949;40896;1828;1826;2;75;371;137;234;108400;108305;107037;53048;53989;1268;85850;21187;95;-;16,7;14,8;9,5;5,2;2;0;107185
2009;03;2766;2230;1118;1112;47851;2095;2095;0;135;536;181;355;132387;132144;129938;65178;64760;2206;103824;26114;243;-;17,4;16,9;10,6;6,3;0,6;0,1;130107
2009;04;2995;2240;1123;1117;46379;2017;2017;0;223;755;200;555;135503;135282;133410;67492;65918;1872;99528;33882;221;-;16;15,5;9,8;5,7;0,6;0,1;133566
2009;05;3266;2480;1242;1238;53830;2277;2277;0;203;786;180;606;155192;154589;150674;73512;77162;3915;102287;48387;603;-;41,6;40,7;37;3,6;1;0,1;151081
2009;06;3192;2454;1232;1222;55565;2305;2304;1;149;738;227;511;169900;169149;165858;81296;84562;3291;100278;65580;751;-;253;252,2;113,9;138,3;0,8;0,1;168381
2009;07;3208;2420;1214;1206;53331;2225;2225;0;195;788;206;582;159960;159736;156293;79885;76408;3443;88279;68014;224;-;13,7;12,5;6,6;5,9;1,2;0,1;156419
2009;08;3331;2406;1202;1204;51083;2172;2171;1;234;925;188;737;153095;152720;149334;74250;75084;3386;86517;62817;375;-;21,9;21,4;8,5;12,9;0,5;0,1;149549
2009;09;3389;2632;1315;1317;56619;2368;2368;0;264;757;211;546;180463;180169;177227;88379;88848;2942;108793;68434;294;-;42,2;27,5;20,8;6,7;14,7;0,5;177505
2009;10;3063;2495;1252;1243;56034;2375;2373;2;120;568;172;396;173492;173198;170108;88740;81368;3090;107282;62826;294;-;22,8;22,2;12,9;9,4;0,6;0,1;170331
2009;11;2836;2260;1131;1129;48166;2117;2117;0;143;576;154;422;134934;134712;131967;66580;65387;2745;102181;29786;222;-;24,9;22,1;15,6;6,5;2,9;0,3;132190
2009;12;2285;1908;954;954;42429;1833;1833;0;75;377;99;278;118634;118364;115593;58779;56814;2771;96071;19522;270;-;18,7;17,6;12,1;5,6;1,1;0,1;115770
2010;01;2219;1903;951;952;42289;1840;1832;8;63;316;96;220;106128;105944;103076;49447;53629;2868;80117;22959;184;-;83,2;82,8;63;19,8;0,3;0;103905
2010;02;2329;1825;914;911;40071;1719;1719;0;106;504;227;277;109622;109522;107034;53142;53892;2488;79892;27142;100;-;14,7;14,5;8,2;6,2;0,3;0,1;107180
2010;03;2896;2328;1166;1162;50218;2134;2134;0;194;568;187;381;147846;147495;144744;72982;71762;2751;109366;35378;351;-;22,7;21,2;11,8;9,4;1,5;0,1;144957
2010;04;2619;1940;970;970;41586;1773;1773;0;167;679;149;530;119496;119041;116402;58288;58114;2639;83017;33385;455;-;14,7;14,6;7,9;6,7;0,1;0,1;116549
2010;05;3197;2547;1273;1274;57785;2382;2379;3;165;650;185;465;170153;169782;166130;80083;86047;3652;104588;61542;371;-;23,1;22,2;12,7;9,4;0,9;0,1;166353
2010;06;3511;2669;1337;1332;60260;2472;2471;1;197;842;227;615;185593;185262;180988;88852;92136;4274;103812;77176;331;-;55,2;54,9;46,2;8,7;0,3;0,1;181538
