Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;161
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;155
2016;StB 0 Altstadt;02 Johannstadt;männlich;127
2016;StB 0 Altstadt;02 Johannstadt;weiblich;105
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;272
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;269
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;129
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;105
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;207
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;210
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;197
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;165
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;141
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;130
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;183
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;132
2016;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;364
2016;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;352
2016;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;195
2016;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;209
2016;StB 6 Leuben;10 StB Leuben;männlich;208
2016;StB 6 Leuben;10 StB Leuben;weiblich;179
2016;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;106
2016;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;112
2016;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;149
2016;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;175
2016;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;172
2016;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;154
2016;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;157
2016;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;145
2016;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;316
2016;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;325
2016;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;112
2016;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;94
2016;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;100
2016;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;112
