Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;333
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;347
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;394
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;349
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;359
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;310
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;334
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;293
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;311
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;279
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;264
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;264
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;253
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;229
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;219
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;237
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;234
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;245
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;342
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;551
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;705
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;777
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22 Jahre;958
