Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;2793;9
1999;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;17151;3468
1999;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;127695;5936
1999;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;135766;2946
1999;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;355201;3999
1999;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;807300;4713
1999;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;3073188;7265
1999;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;1161;242
1999;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;3324;151
1999;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;2169;45
1999;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;2806;31
1999;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;1494;9
1999;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;2900;7
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;18154;3544
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;142951;6429
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;03 bis unter 5 Jahre;192564;4177
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;05 bis unter 10 Jahre;306640;3725
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;10 bis unter 20 Jahre;720863;4098
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;20 Jahre und mehr;2855130;6563
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;00 bis unter 1 Jahr;957;202
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;01 bis unter 3 Jahre;3645;179
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;03 bis unter 5 Jahre;4625;102
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;05 bis unter 10 Jahre;6195;77
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;10 bis unter 20 Jahre;1862;11
1999;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;20 Jahre und mehr;3383;10
1999;08 Blasewitz, Striesen;Deutsche;00 bis unter 1 Jahr;42161;7738
1999;08 Blasewitz, Striesen;Deutsche;01 bis unter 3 Jahre;226933;10345
1999;08 Blasewitz, Striesen;Deutsche;03 bis unter 5 Jahre;172332;3826
1999;08 Blasewitz, Striesen;Deutsche;05 bis unter 10 Jahre;255700;2894
1999;08 Blasewitz, Striesen;Deutsche;10 bis unter 20 Jahre;609191;3639
1999;08 Blasewitz, Striesen;Deutsche;20 Jahre und mehr;2807343;6925
1999;08 Blasewitz, Striesen;Ausländer;00 bis unter 1 Jahr;1432;310
1999;08 Blasewitz, Striesen;Ausländer;01 bis unter 3 Jahre;6961;331
1999;08 Blasewitz, Striesen;Ausländer;03 bis unter 5 Jahre;3645;80
1999;08 Blasewitz, Striesen;Ausländer;05 bis unter 10 Jahre;4560;55
1999;08 Blasewitz, Striesen;Ausländer;10 bis unter 20 Jahre;1953;13
1999;08 Blasewitz, Striesen;Ausländer;20 Jahre und mehr;5283;16
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;00 bis unter 1 Jahr;26701;5177
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;01 bis unter 3 Jahre;164370;7302
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;03 bis unter 5 Jahre;160560;3561
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;05 bis unter 10 Jahre;333667;3714
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;10 bis unter 20 Jahre;1092873;6029
1999;09 Tolkewitz, Seidnitz, Gruna;Deutsche;20 Jahre und mehr;3479491;9660
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;00 bis unter 1 Jahr;1400;248
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;01 bis unter 3 Jahre;5607;253
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;03 bis unter 5 Jahre;3429;79
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;05 bis unter 10 Jahre;2890;35
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;10 bis unter 20 Jahre;4579;28
1999;09 Tolkewitz, Seidnitz, Gruna;Ausländer;20 Jahre und mehr;6728;21
1999;10 StB Leuben;Deutsche;00 bis unter 1 Jahr;24406;4683
1999;10 StB Leuben;Deutsche;01 bis unter 3 Jahre;176005;7825
1999;10 StB Leuben;Deutsche;03 bis unter 5 Jahre;210032;4624
1999;10 StB Leuben;Deutsche;05 bis unter 10 Jahre;383211;4377
1999;10 StB Leuben;Deutsche;10 bis unter 20 Jahre;1191737;6553
1999;10 StB Leuben;Deutsche;20 Jahre und mehr;3239154;8526
