Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geborene
2015;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12
2015;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44
2015;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;58
2015;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;71
2015;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;95
2015;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;139
2015;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;70
2015;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;330
2015;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;114
2015;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;104
2015;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;212
2015;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;37
2015;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;231
2015;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;181
2015;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;61
2015;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;123
2015;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;210
2015;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;131
2015;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;61
2015;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;55
2015;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;40
2015;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;64
2015;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;113
2015;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;20
