Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1812
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;662
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;795
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;14999
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1095
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;4488
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8240
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;215
2016;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;150
2016;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1924
2016;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;548
2016;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;478
2016;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;9926
2016;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;777
2016;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;2082
2016;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8465
2016;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;216
2016;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;168
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5505
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;926
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Ausländer;336
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;22964
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;901
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Ausländer;3014
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;3648
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;77
2016;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Ausländer;96
2016;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1984
2016;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;204
2016;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Ausländer;77
2016;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;8640
2016;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;236
