Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2020;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;21229;4042
2020;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;144040;6528
2020;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;180155;3882
2020;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;397883;4705
2020;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;736630;4279
2020;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2373436;4825
2020;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;10211;2368
2020;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;60253;2780
2020;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;52725;1168
2020;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;52294;630
2020;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;67469;398
2020;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;10247;37
2020;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;12612;2249
2020;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;72899;3252
2020;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;108696;2343
2020;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;324065;3791
2020;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;783748;4504
2020;02 Johannstadt;Deutsche;20 Jahre und mehr;2446251;5362
2020;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;5254;1016
2020;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;23637;1103
2020;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;31910;702
2020;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;39652;469
2020;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;51029;317
2020;02 Johannstadt;Ausländer;20 Jahre und mehr;14628;44
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;22340;4058
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;159236;7084
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;236063;5065
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;657203;7521
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1182555;6992
2020;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;1206440;3380
2020;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;5421;1045
2020;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;28933;1350
