Jahr;Stadtraum;Heizungsart;Anteil in %
1996;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;26,5
1996;08 Blasewitz, Striesen;Einzelraumheizung;34,1
1996;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;59,4
1996;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;15,8
1996;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;24,8
1996;10 StB Leuben;Fernheizung;42,6
1996;10 StB Leuben;Zentralheizung oder Etagenheizung;34,5
1996;10 StB Leuben;Einzelraumheizung;23
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;84,3
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;11,3
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;4,4
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;16,3
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;64,3
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;19,4
1996;13 Südvorstadt, Zschertnitz;Fernheizung;61,3
1996;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;22,8
1996;13 Südvorstadt, Zschertnitz;Einzelraumheizung;15,9
1996;14 Mockritz, Coschütz, Plauen;Fernheizung;33,7
1996;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;49,2
1996;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;17,2
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;10,4
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;46,1
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;43,4
1996;16 Gorbitz;Fernheizung;93,8
1996;16 Gorbitz;Zentralheizung oder Etagenheizung;6,2
1996;16 Gorbitz;Einzelraumheizung;0
1996;17 Briesnitz und westliche OS;Fernheizung;9,2
1996;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;55,5
1996;17 Briesnitz und westliche OS;Einzelraumheizung;35,3
1996;18 Dresden gesamt;Fernheizung;48,1
1996;18 Dresden gesamt;Zentralheizung oder Etagenheizung;28,8
1996;18 Dresden gesamt;Einzelraumheizung;23,1
1998;01 StB Altstadt ohne Johannstadt;Fernheizung;90,1
1998;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;7,8
1998;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;2,1
1998;02 Johannstadt;Fernheizung;92,9
1998;02 Johannstadt;Zentralheizung oder Etagenheizung;3,5
1998;02 Johannstadt;Einzelraumheizung;3,5
1998;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;59
1998;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;31,9
1998;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;9,2
1998;04 Leipziger Vorstadt, Pieschen;Fernheizung;13,4
1998;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;53,7
1998;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;32,9
1998;05 Mickten, Kaditz, Trachau;Fernheizung;32,9
1998;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;51,9
1998;05 Mickten, Kaditz, Trachau;Einzelraumheizung;15,2
1998;06 StB Klotzsche und nördliche OS;Fernheizung;41,7
1998;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;49,2
1998;06 StB Klotzsche und nördliche OS;Einzelraumheizung;9
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;5
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;83,2
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;11,8
1998;08 Blasewitz, Striesen;Fernheizung;55,8
1998;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;35,6
1998;08 Blasewitz, Striesen;Einzelraumheizung;8,6
1998;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;70,3
1998;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;18,8
1998;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;10,9
1998;10 StB Leuben;Fernheizung;45,6
1998;10 StB Leuben;Zentralheizung oder Etagenheizung;42,3
1998;10 StB Leuben;Einzelraumheizung;12,1
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;81
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;17
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;2
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;34,6
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;56
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;9,4
1998;13 Südvorstadt, Zschertnitz;Fernheizung;68,4
1998;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;20,2
1998;13 Südvorstadt, Zschertnitz;Einzelraumheizung;11,4
1998;14 Mockritz, Coschütz, Plauen;Fernheizung;35,2
1998;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;51
1998;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;13,8
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;19,7
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;61
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;19,2
1998;16 Gorbitz;Fernheizung;97,3
1998;16 Gorbitz;Zentralheizung oder Etagenheizung;2,3
1998;16 Gorbitz;Einzelraumheizung;0,5
1998;17 Briesnitz und westliche OS;Fernheizung;9,8
1998;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;80,3
1998;17 Briesnitz und westliche OS;Einzelraumheizung;9,9
1998;18 Dresden gesamt;Fernheizung;54,1
1998;18 Dresden gesamt;Zentralheizung oder Etagenheizung;35,4
1998;18 Dresden gesamt;Einzelraumheizung;10,6
2002;01 StB Altstadt ohne Johannstadt;Fernheizung;87,3
2002;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;12,7
2002;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2002;02 Johannstadt;Fernheizung;78,8
2002;02 Johannstadt;Zentralheizung oder Etagenheizung;19,1
2002;02 Johannstadt;Einzelraumheizung;2,1
2002;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;45,7
2002;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;52,3
2002;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;2
2002;04 Leipziger Vorstadt, Pieschen;Fernheizung;17,4
2002;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;77,8
2002;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;4,8
2002;05 Mickten, Kaditz, Trachau;Fernheizung;36,2
2002;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;59,4
2002;05 Mickten, Kaditz, Trachau;Einzelraumheizung;4,5
2002;06 StB Klotzsche und nördliche OS;Fernheizung;26,8
2002;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;70,1
2002;06 StB Klotzsche und nördliche OS;Einzelraumheizung;3,1
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;6,9
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;87,4
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;5,6
2002;08 Blasewitz, Striesen;Fernheizung;53,2
2002;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;44,9
2002;08 Blasewitz, Striesen;Einzelraumheizung;1,9
2002;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;76,3
2002;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;22,5
2002;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;1,3
2002;10 StB Leuben;Fernheizung;45,5
2002;10 StB Leuben;Zentralheizung oder Etagenheizung;51,3
2002;10 StB Leuben;Einzelraumheizung;3,2
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;80,6
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;19,3
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0,1
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;38,2
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;56,7
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;5,2
2002;13 Südvorstadt, Zschertnitz;Fernheizung;76,3
2002;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;23,1
2002;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0,6
2002;14 Mockritz, Coschütz, Plauen;Fernheizung;37,6
2002;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;56,5
2002;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;5,9
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;16,7
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;76,7
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;6,6
2002;16 Gorbitz;Fernheizung;75,8
2002;16 Gorbitz;Zentralheizung oder Etagenheizung;24,2
2002;16 Gorbitz;Einzelraumheizung;0
2002;17 Briesnitz und westliche OS;Fernheizung;5,3
2002;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;85,1
2002;17 Briesnitz und westliche OS;Einzelraumheizung;9,6
2002;18 Dresden gesamt;Fernheizung;48,6
2002;18 Dresden gesamt;Zentralheizung oder Etagenheizung;48,3
2002;18 Dresden gesamt;Einzelraumheizung;3,1
2005;01 StB Altstadt ohne Johannstadt;Fernheizung;88,5
2005;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;10,8
2005;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0,7
2005;02 Johannstadt;Fernheizung;85,8
2005;02 Johannstadt;Zentralheizung oder Etagenheizung;13,1
2005;02 Johannstadt;Einzelraumheizung;1,1
2005;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;48,7
2005;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;46,9
2005;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;4,4
2005;04 Leipziger Vorstadt, Pieschen;Fernheizung;18,7
2005;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;73,4
2005;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;7,9
2005;05 Mickten, Kaditz, Trachau;Fernheizung;30,3
2005;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;68,3
2005;05 Mickten, Kaditz, Trachau;Einzelraumheizung;1,3
2005;06 StB Klotzsche und nördliche OS;Fernheizung;24,4
2005;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;71,8
2005;06 StB Klotzsche und nördliche OS;Einzelraumheizung;3,8
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;8,2
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;85,9
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;5,9
2005;08 Blasewitz, Striesen;Fernheizung;54,7
2005;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;45,2
2005;08 Blasewitz, Striesen;Einzelraumheizung;0,1
2005;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;72,1
2005;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;27,5
2005;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0,5
2005;10 StB Leuben;Fernheizung;45,6
2005;10 StB Leuben;Zentralheizung oder Etagenheizung;54
2005;10 StB Leuben;Einzelraumheizung;0,4
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;62,2
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;35,2
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;2,5
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;30,9
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;67,3
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;1,8
2005;13 Südvorstadt, Zschertnitz;Fernheizung;62,2
2005;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;37,2
2005;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0,7
2005;14 Mockritz, Coschütz, Plauen;Fernheizung;35,5
2005;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;64,2
2005;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0,2
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;20,4
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;77,2
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;2,3
2005;16 Gorbitz;Fernheizung;90,1
2005;16 Gorbitz;Zentralheizung oder Etagenheizung;9,9
2005;16 Gorbitz;Einzelraumheizung;0
2005;17 Briesnitz und westliche OS;Fernheizung;9,3
2005;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;86,3
2005;17 Briesnitz und westliche OS;Einzelraumheizung;4,4
2005;18 Dresden gesamt;Fernheizung;47,8
2005;18 Dresden gesamt;Zentralheizung oder Etagenheizung;50,2
2005;18 Dresden gesamt;Einzelraumheizung;2
2007;01 StB Altstadt ohne Johannstadt;Fernheizung;79,4
2007;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;20
2007;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0,5
2007;02 Johannstadt;Fernheizung;78,7
2007;02 Johannstadt;Zentralheizung oder Etagenheizung;19,5
2007;02 Johannstadt;Einzelraumheizung;1,8
2007;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;53,6
2007;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;41,8
2007;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;4,6
2007;04 Leipziger Vorstadt, Pieschen;Fernheizung;22,1
2007;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;69,2
2007;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;8,7
2007;05 Mickten, Kaditz, Trachau;Fernheizung;27,9
2007;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;70,4
2007;05 Mickten, Kaditz, Trachau;Einzelraumheizung;1,6
2007;06 StB Klotzsche und nördliche OS;Fernheizung;24,2
2007;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;73
2007;06 StB Klotzsche und nördliche OS;Einzelraumheizung;2,8
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;8,9
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;86,3
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;4,8
2007;08 Blasewitz, Striesen;Fernheizung;49,2
2007;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;49,5
2007;08 Blasewitz, Striesen;Einzelraumheizung;1,3
2007;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;63,5
2007;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;35,5
2007;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;1,1
2007;10 StB Leuben;Fernheizung;48,5
2007;10 StB Leuben;Zentralheizung oder Etagenheizung;49,8
2007;10 StB Leuben;Einzelraumheizung;1,8
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;75
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;25
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;25,4
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;72,1
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;2,5
2007;13 Südvorstadt, Zschertnitz;Fernheizung;62,5
2007;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;34,4
2007;13 Südvorstadt, Zschertnitz;Einzelraumheizung;3,1
2007;14 Mockritz, Coschütz, Plauen;Fernheizung;31,2
2007;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;67,8
2007;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0,9
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;29,3
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;65,3
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;5,4
2007;16 Gorbitz;Fernheizung;81
2007;16 Gorbitz;Zentralheizung oder Etagenheizung;19
2007;16 Gorbitz;Einzelraumheizung;0
2007;17 Briesnitz und westliche OS;Fernheizung;9,9
2007;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;87,9
2007;17 Briesnitz und westliche OS;Einzelraumheizung;2,2
2007;18 Dresden gesamt;Fernheizung;45,5
2007;18 Dresden gesamt;Zentralheizung oder Etagenheizung;51,8
2007;18 Dresden gesamt;Einzelraumheizung;2,7
2010;01 StB Altstadt ohne Johannstadt;Fernheizung;66,2
2010;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;33,8
2010;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2010;02 Johannstadt;Fernheizung;76
2010;02 Johannstadt;Zentralheizung oder Etagenheizung;24
2010;02 Johannstadt;Einzelraumheizung;0
2010;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;53,3
2010;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;43,3
2010;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;3,4
2010;04 Leipziger Vorstadt, Pieschen;Fernheizung;23,4
2010;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;74,5
2010;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;2,1
2010;05 Mickten, Kaditz, Trachau;Fernheizung;32,8
2010;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;66,6
2010;05 Mickten, Kaditz, Trachau;Einzelraumheizung;0,6
2010;06 StB Klotzsche und nördliche OS;Fernheizung;27,9
2010;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;71
2010;06 StB Klotzsche und nördliche OS;Einzelraumheizung;1,1
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;10,8
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;88,3
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;0,8
2010;08 Blasewitz, Striesen;Fernheizung;48,4
2010;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;50,2
2010;08 Blasewitz, Striesen;Einzelraumheizung;1,4
2010;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;67,8
2010;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;31,9
2010;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0,3
2010;10 StB Leuben;Fernheizung;39,7
2010;10 StB Leuben;Zentralheizung oder Etagenheizung;59
2010;10 StB Leuben;Einzelraumheizung;1,3
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;86,7
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;13,3
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;28
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;70,3
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;1,7
2010;13 Südvorstadt, Zschertnitz;Fernheizung;71,8
2010;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;28,2
2010;13 Südvorstadt, Zschertnitz;Einzelraumheizung;0
2010;14 Mockritz, Coschütz, Plauen;Fernheizung;34,7
