Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2023;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;19226;3591
2023;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;154402;6862
2023;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;200905;4345
2023;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;460030;5388
2023;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;711368;4158
2023;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2171419;4621
2023;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;17633;4002
2023;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;79602;3766
2023;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;66950;1455
2023;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;91510;1152
2023;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;73484;438
2023;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;27533;99
2023;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;10898;2049
2023;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;74468;3257
2023;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;118092;2568
2023;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;321367;3680
2023;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;738167;4214
2023;02 Johannstadt;Deutsche;20 Jahre und mehr;2357394;5302
2023;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;5605;1103
2023;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;34141;1582
2023;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;40240;888
2023;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;60218;742
2023;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;63870;377
2023;02 Johannstadt;Ausländer;20 Jahre und mehr;21702;66
