Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Familienstand;Geschlecht;Anzahl Einwohner
2022;01 Innere Altstadt;StB 0 Altstadt;ledig;männlich;867
2022;01 Innere Altstadt;StB 0 Altstadt;ledig;weiblich;664
2022;01 Innere Altstadt;StB 0 Altstadt;verheiratet;männlich;421
2022;01 Innere Altstadt;StB 0 Altstadt;verheiratet;weiblich;411
2022;01 Innere Altstadt;StB 0 Altstadt;verwitwet;männlich;31
2022;01 Innere Altstadt;StB 0 Altstadt;verwitwet;weiblich;148
2022;01 Innere Altstadt;StB 0 Altstadt;geschieden;männlich;54
2022;01 Innere Altstadt;StB 0 Altstadt;geschieden;weiblich;79
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;männlich;2104
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;weiblich;1607
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;männlich;760
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;weiblich;746
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;männlich;88
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;weiblich;464
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;männlich;201
2022;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;weiblich;337
2022;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;männlich;2922
2022;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;weiblich;2098
2022;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;männlich;1096
2022;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;weiblich;1089
2022;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;männlich;135
2022;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;weiblich;531
2022;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;männlich;210
2022;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;weiblich;349
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;männlich;3037
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;weiblich;2551
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;männlich;1552
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;weiblich;1521
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;männlich;157
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;weiblich;778
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;männlich;313
2022;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;weiblich;553
2022;05 Friedrichstadt;StB 0 Altstadt;ledig;männlich;4867
2022;05 Friedrichstadt;StB 0 Altstadt;ledig;weiblich;3287
2022;05 Friedrichstadt;StB 0 Altstadt;verheiratet;männlich;1041
2022;05 Friedrichstadt;StB 0 Altstadt;verheiratet;weiblich;1017
2022;05 Friedrichstadt;StB 0 Altstadt;verwitwet;männlich;70
2022;05 Friedrichstadt;StB 0 Altstadt;verwitwet;weiblich;328
2022;05 Friedrichstadt;StB 0 Altstadt;geschieden;männlich;239
2022;05 Friedrichstadt;StB 0 Altstadt;geschieden;weiblich;318
2022;06 Johannstadt-Nord;StB 0 Altstadt;ledig;männlich;3603
2022;06 Johannstadt-Nord;StB 0 Altstadt;ledig;weiblich;3478
2022;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;männlich;2030
2022;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;weiblich;2053
2022;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;männlich;200
2022;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;weiblich;840
2022;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;männlich;302
2022;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;weiblich;572
2022;07 Johannstadt-Süd;StB 0 Altstadt;ledig;männlich;2697
2022;07 Johannstadt-Süd;StB 0 Altstadt;ledig;weiblich;2542
2022;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;männlich;2261
2022;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;weiblich;2296
2022;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;männlich;291
2022;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;weiblich;1205
2022;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;männlich;340
2022;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;weiblich;813
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;ledig;männlich;7225
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;ledig;weiblich;6241
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verheiratet;männlich;1736
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verheiratet;weiblich;1688
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verwitwet;männlich;52
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verwitwet;weiblich;189
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;geschieden;männlich;427
2022;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;geschieden;weiblich;531
2022;12 Radeberger Vorstadt;StB 1 Neustadt;ledig;männlich;2825
2022;12 Radeberger Vorstadt;StB 1 Neustadt;ledig;weiblich;2465
2022;12 Radeberger Vorstadt;StB 1 Neustadt;verheiratet;männlich;1425
2022;12 Radeberger Vorstadt;StB 1 Neustadt;verheiratet;weiblich;1416
2022;12 Radeberger Vorstadt;StB 1 Neustadt;verwitwet;männlich;58
2022;12 Radeberger Vorstadt;StB 1 Neustadt;verwitwet;weiblich;248
2022;12 Radeberger Vorstadt;StB 1 Neustadt;geschieden;männlich;298
2022;12 Radeberger Vorstadt;StB 1 Neustadt;geschieden;weiblich;387
2022;13 Innere Neustadt;StB 1 Neustadt;ledig;männlich;2571
2022;13 Innere Neustadt;StB 1 Neustadt;ledig;weiblich;2162
2022;13 Innere Neustadt;StB 1 Neustadt;verheiratet;männlich;1095
2022;13 Innere Neustadt;StB 1 Neustadt;verheiratet;weiblich;1069
2022;13 Innere Neustadt;StB 1 Neustadt;verwitwet;männlich;74
2022;13 Innere Neustadt;StB 1 Neustadt;verwitwet;weiblich;299
2022;13 Innere Neustadt;StB 1 Neustadt;geschieden;männlich;211
2022;13 Innere Neustadt;StB 1 Neustadt;geschieden;weiblich;335
2022;14 Leipziger Vorstadt;StB 1 Neustadt;ledig;männlich;5163
2022;14 Leipziger Vorstadt;StB 1 Neustadt;ledig;weiblich;4462
2022;14 Leipziger Vorstadt;StB 1 Neustadt;verheiratet;männlich;1406
2022;14 Leipziger Vorstadt;StB 1 Neustadt;verheiratet;weiblich;1406
2022;14 Leipziger Vorstadt;StB 1 Neustadt;verwitwet;männlich;70
2022;14 Leipziger Vorstadt;StB 1 Neustadt;verwitwet;weiblich;212
2022;14 Leipziger Vorstadt;StB 1 Neustadt;geschieden;männlich;279
2022;14 Leipziger Vorstadt;StB 1 Neustadt;geschieden;weiblich;328
2022;15 Albertstadt;StB 1 Neustadt;ledig;männlich;1785
2022;15 Albertstadt;StB 1 Neustadt;ledig;weiblich;1071
2022;15 Albertstadt;StB 1 Neustadt;verheiratet;männlich;499
2022;15 Albertstadt;StB 1 Neustadt;verheiratet;weiblich;472
2022;15 Albertstadt;StB 1 Neustadt;verwitwet;männlich;38
2022;15 Albertstadt;StB 1 Neustadt;verwitwet;weiblich;192
2022;15 Albertstadt;StB 1 Neustadt;geschieden;männlich;111
2022;15 Albertstadt;StB 1 Neustadt;geschieden;weiblich;111
2022;21 Pieschen-Süd;StB 2 Pieschen;ledig;männlich;4404
2022;21 Pieschen-Süd;StB 2 Pieschen;ledig;weiblich;3966
2022;21 Pieschen-Süd;StB 2 Pieschen;verheiratet;männlich;1401
2022;21 Pieschen-Süd;StB 2 Pieschen;verheiratet;weiblich;1380
2022;21 Pieschen-Süd;StB 2 Pieschen;verwitwet;männlich;55
2022;21 Pieschen-Süd;StB 2 Pieschen;verwitwet;weiblich;236
2022;21 Pieschen-Süd;StB 2 Pieschen;geschieden;männlich;302
2022;21 Pieschen-Süd;StB 2 Pieschen;geschieden;weiblich;457
2022;22 Mickten;StB 2 Pieschen;ledig;männlich;4025
2022;22 Mickten;StB 2 Pieschen;ledig;weiblich;3499
2022;22 Mickten;StB 2 Pieschen;verheiratet;männlich;2178
2022;22 Mickten;StB 2 Pieschen;verheiratet;weiblich;2177
2022;22 Mickten;StB 2 Pieschen;verwitwet;männlich;123
2022;22 Mickten;StB 2 Pieschen;verwitwet;weiblich;526
2022;22 Mickten;StB 2 Pieschen;geschieden;männlich;450
2022;22 Mickten;StB 2 Pieschen;geschieden;weiblich;610
2022;23 Kaditz;StB 2 Pieschen;ledig;männlich;1558
2022;23 Kaditz;StB 2 Pieschen;ledig;weiblich;1352
2022;23 Kaditz;StB 2 Pieschen;verheiratet;männlich;921
2022;23 Kaditz;StB 2 Pieschen;verheiratet;weiblich;936
2022;23 Kaditz;StB 2 Pieschen;verwitwet;männlich;78
2022;23 Kaditz;StB 2 Pieschen;verwitwet;weiblich;249
2022;23 Kaditz;StB 2 Pieschen;geschieden;männlich;220
2022;23 Kaditz;StB 2 Pieschen;geschieden;weiblich;291
2022;24 Trachau;StB 2 Pieschen;ledig;männlich;2421
2022;24 Trachau;StB 2 Pieschen;ledig;weiblich;2290
2022;24 Trachau;StB 2 Pieschen;verheiratet;männlich;1928
2022;24 Trachau;StB 2 Pieschen;verheiratet;weiblich;1933
2022;24 Trachau;StB 2 Pieschen;verwitwet;männlich;134
2022;24 Trachau;StB 2 Pieschen;verwitwet;weiblich;449
2022;24 Trachau;StB 2 Pieschen;geschieden;männlich;346
2022;24 Trachau;StB 2 Pieschen;geschieden;weiblich;492
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;ledig;männlich;4100
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;ledig;weiblich;3317
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;verheiratet;männlich;1825
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;verheiratet;weiblich;1810
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;verwitwet;männlich;125
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;verwitwet;weiblich;554
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;geschieden;männlich;415
2022;25 Pieschen-N/Trachenberge;StB 2 Pieschen;geschieden;weiblich;550
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;ledig;männlich;3601
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;ledig;weiblich;2780
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;männlich;3068
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;weiblich;3047
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;männlich;245
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;weiblich;924
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;geschieden;männlich;523
2022;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;geschieden;weiblich;680
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;ledig;männlich;1354
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;ledig;weiblich;1182
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;männlich;1551
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;weiblich;1546
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;männlich;81
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;weiblich;281
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;geschieden;männlich;175
2022;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;geschieden;weiblich;211
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;ledig;männlich;1230
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;ledig;weiblich;1070
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;männlich;1525
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;weiblich;1537
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;männlich;69
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;weiblich;289
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;geschieden;männlich;142
2022;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;geschieden;weiblich;171
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;ledig;männlich;885
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;ledig;weiblich;818
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;männlich;1071
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;verheiratet;weiblich;1066
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;männlich;74
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;verwitwet;weiblich;214
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;geschieden;männlich;94
2022;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;geschieden;weiblich;131
2022;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;ledig;männlich;1217
2022;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;ledig;weiblich;1167
2022;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;verheiratet;männlich;1342
2022;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;verheiratet;weiblich;1328
2022;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;verwitwet;männlich;70
