Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2006;09;Gasthöfe;18;18;350;341;2570;5265
2006;09;Pensionen;34;33;692;667;4688;11393
2006;09;Jugendherbergen, Hütten und Hostels;8;8;999;999;8375;20634
2006;09;sonstige;7;7;445;445;2877;8426
2006;10;Hotels;73;73;12573;12413;118419;279217
2006;10;Hotels garni;24;24;2028;2028;19097;40267
2006;10;Gasthöfe;18;18;348;341;2317;4903
2006;10;Pensionen;36;35;722;695;4401;11275
2006;10;Jugendherbergen, Hütten und Hostels;8;8;999;999;8986;21505
2006;10;sonstige;7;7;445;445;2586;7894
2006;11;Hotels;73;73;12578;12346;96223;187610
2006;11;Hotels garni;24;24;2028;2028;14765;28991
2006;11;Gasthöfe;18;17;348;331;1449;2512
2006;11;Pensionen;36;35;732;695;3013;6916
2006;11;Jugendherbergen, Hütten und Hostels;8;7;999;909;4731;9467
2006;11;sonstige;7;7;445;445;1583;5014
2006;12;Hotels;73;73;12578;12162;109099;229837
2006;12;Hotels garni;24;24;2028;2028;16267;31890
2006;12;Gasthöfe;18;17;348;331;1837;3233
2006;12;Pensionen;36;35;732;694;3818;8971
2006;12;Jugendherbergen, Hütten und Hostels;8;6;999;850;6103;12142
2006;12;sonstige;7;7;445;445;2129;6549
2007;01;Hotels;72;72;12544;12128;55715;107970
2007;01;Hotels garni;24;24;2028;2026;8028;15499
2007;01;Gasthöfe;18;18;348;341;907;1597
2007;01;Pensionen;36;34;732;656;1979;4824
2007;01;Jugendherbergen, Hütten und Hostels;8;7;999;940;3328;6668
2007;01;sonstige;7;7;445;445;1094;3535
2007;02;Hotels;72;72;12544;12158;60236;119717
2007;02;Hotels garni;24;24;2028;2026;8423;16168
2007;02;Gasthöfe;18;18;348;341;801;1580
2007;02;Pensionen;36;34;732;644;2036;5193
2007;02;Jugendherbergen, Hütten und Hostels;8;7;999;940;3300;7305
2007;02;sonstige;7;7;445;445;991;3310
2007;03;Hotels;72;72;12556;12332;89287;187161
2007;03;Hotels garni;24;24;2028;2026;11752;26729
2007;03;Gasthöfe;18;18;348;341;1332;2396
2007;03;Pensionen;36;34;732;644;2904;6969
2007;03;Jugendherbergen, Hütten und Hostels;8;8;999;999;6265;14253
2007;03;sonstige;7;7;445;445;1506;4724
2007;04;Hotels;72;72;12566;12372;98868;230458
2007;04;Hotels garni;24;24;2031;2024;14712;34988
2007;04;Gasthöfe;18;18;348;341;1776;3725
2007;04;Pensionen;36;34;732;662;3527;9291
2007;04;Jugendherbergen, Hütten und Hostels;8;8;999;999;8222;19115
2007;04;sonstige;7;7;445;445;1791;5924
2007;05;Hotels;72;72;12565;12377;109499;246046
2007;05;Hotels garni;24;24;2031;2024;17228;39947
2007;05;Gasthöfe;18;18;348;341;2116;4676
2007;05;Pensionen;36;35;732;690;4460;11768
2007;05;Jugendherbergen, Hütten und Hostels;8;8;999;999;9241;20748
2007;05;sonstige;7;7;473;473;2556;7743
2007;06;Hotels;72;72;12565;12389;108898;250312
2007;06;Hotels garni;23;23;1967;1960;16510;38774
2007;06;Gasthöfe;18;18;348;341;2161;4758
2007;06;Pensionen;36;35;740;702;4448;11386
2007;06;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;9891;20839
2007;06;sonstige;7;7;485;485;2548;7605
2007;07;Hotels;72;72;12566;12368;111505;242908
2007;07;Hotels garni;23;23;1970;1963;15397;34014
2007;07;Gasthöfe;18;18;341;341;2294;4909
2007;07;Pensionen;36;35;739;706;4126;10292
2007;07;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;11362;23922
2007;07;sonstige;7;7;485;485;2369;7371
2007;08;Hotels;72;72;12566;12417;116038;261970
2007;08;Hotels garni;23;23;1971;1964;16247;36948
2007;08;Gasthöfe;18;18;341;341;2190;4582
2007;08;Pensionen;36;35;739;709;4431;10796
2007;08;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;9424;20770
2007;08;sonstige;7;7;485;483;2477;8200
2007;09;Hotels;72;72;12553;12396;118042;264340
2007;09;Hotels garni;23;23;1971;1969;18086;41880
2007;09;Gasthöfe;18;18;341;341;2201;4900
2007;09;Pensionen;36;35;763;732;4653;11510
2007;09;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;9252;22055
2007;09;sonstige;7;7;485;473;2589;7617
2007;10;Hotels;72;72;12475;12356;105506;238612
2007;10;Hotels garni;23;23;1971;1969;15600;37405
2007;10;Gasthöfe;18;18;341;341;2180;4512
2007;10;Pensionen;36;35;753;729;4226;10590
2007;10;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;7980;19890
2007;10;sonstige;7;7;485;485;2250;6720
2007;11;Hotels;72;72;12465;12352;84093;160750
2007;11;Hotels garni;23;23;1971;1969;11341;23919
2007;11;Gasthöfe;18;17;341;331;1402;2723
2007;11;Pensionen;36;35;753;729;2678;6147
2007;11;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;2655;11139
2007;11;sonstige;7;6;485;425;1660;4689
2007;12;Hotels;72;71;12465;12302;99713;211542
2007;12;Hotels garni;23;23;1971;1969;13759;29984
2007;12;Gasthöfe;18;17;341;328;1622;3107
2007;12;Pensionen;35;34;742;718;3527;8070
2007;12;Jugendherbergen, Hütten und Hostels;9;9;1063;1063;6189;11672
2007;12;sonstige;7;6;487;427;2241;6591
2008;01;Hotels;74;74;13269;13152;49790;98030
2008;01;Hotels garni;22;21;1941;1844;6068;13335
2008;01;Gasthöfe;18;16;341;307;917;1737
2008;01;Pensionen;37;33;778;706;1938;4072
2008;01;Jugendherbergen, Hütten und Hostels;11;11;1196;1196;3080;6362
2008;01;sonstige;7;6;487;427;1269;4103
2008;02;Hotels;75;75;13296;13188;64083;124041
2008;02;Hotels garni;22;21;1941;1844;6872;15080
2008;02;Gasthöfe;18;16;341;305;1035;1706
2008;02;Pensionen;36;33;751;694;2129;4806
2008;02;Jugendherbergen, Hütten und Hostels;11;11;1196;1196;3668;8115
2008;02;sonstige;7;6;487;427;1467;4500
2008;03;Hotels;75;75;13317;13196;84284;185241
2008;03;Hotels garni;22;22;1941;1936;10643;23612
2008;03;Gasthöfe;18;18;341;340;1466;2646
2008;03;Pensionen;36;34;751;707;3066;7269
2008;03;Jugendherbergen, Hütten und Hostels;10;10;1163;1163;7253;16416
2008;03;sonstige;7;7;487;485;1932;6490
2008;04;Hotels;75;75;13315;13171;94371;194397
2008;04;Hotels garni;22;22;1941;1936;11489;25920
2008;04;Gasthöfe;18;18;341;340;1660;2855
2008;04;Pensionen;36;34;751;709;3415;7978
2008;04;Jugendherbergen, Hütten und Hostels;10;10;1163;1163;7575;16575
2008;04;sonstige;7;7;487;485;1850;6043
2008;05;Hotels;75;75;13315;13169;117998;259309
2008;05;Hotels garni;22;22;1941;1941;15909;37229
2008;05;Gasthöfe;18;18;341;340;2449;4761
2008;05;Pensionen;37;36;763;740;4895;12238
2008;05;Jugendherbergen, Hütten und Hostels;10;10;1164;1164;10588;22954
2008;05;sonstige;7;7;487;487;2905;9039
2008;06;Hotels;75;75;13315;13173;102934;215274
2008;06;Hotels garni;22;22;1941;1941;13136;29861
2008;06;Gasthöfe;18;18;341;340;2032;3826
2008;06;Pensionen;37;36;763;743;3852;9636
2008;06;Jugendherbergen, Hütten und Hostels;10;10;1164;1164;8818;20873
2008;06;sonstige;7;7;577;577;3418;10257
2008;07;Hotels;76;76;13644;13497;109221;233198
2008;07;Hotels garni;22;22;1941;1941;14134;31399
2008;07;Gasthöfe;18;18;341;340;2282;4354
2008;07;Pensionen;37;36;763;743;4150;10494
2008;07;Jugendherbergen, Hütten und Hostels;10;10;1164;1164;9560;21437
2008;07;sonstige;8;8;587;587;3651;10630
2008;08;Hotels;77;77;13683;13530;120922;256748
2008;08;Hotels garni;22;22;1943;1943;14945;34705
2008;08;Gasthöfe;18;18;341;340;2220;4157
2008;08;Pensionen;37;36;763;743;4376;10594
2008;08;Jugendherbergen, Hütten und Hostels;10;9;1164;1064;8205;19667
2008;08;sonstige;8;8;587;587;3815;10411
2008;09;Hotels;77;77;13643;13534;117788;253459
2008;09;Hotels garni;22;22;1943;1943;16298;38651
2008;09;Gasthöfe;18;18;341;340;2136;4179
2008;09;Pensionen;37;36;760;741;4033;10210
2008;09;Jugendherbergen, Hütten und Hostels;10;9;1164;1064;8987;20736
2008;09;sonstige;8;8;587;587;3232;10027
2008;10;Hotels;77;76;13597;13510;109865;240530
2008;10;Hotels garni;22;22;1943;1943;15441;35194
2008;10;Gasthöfe;17;17;315;314;2007;4031
2008;10;Pensionen;36;35;744;725;4326;10312
2008;10;Jugendherbergen, Hütten und Hostels;9;9;1064;1064;8076;20541
2008;10;sonstige;8;8;596;596;3351;10372
2008;11;Hotels;77;76;13595;13510;88253;191853
2008;11;Hotels garni;22;22;1943;1943;10600;23014
2008;11;Gasthöfe;17;16;315;302;1244;2096
2008;11;Pensionen;36;35;744;724;2840;6521
2008;11;Jugendherbergen, Hütten und Hostels;9;9;1064;1064;6406;13640
2008;11;sonstige;8;7;596;536;2739;8042
2008;12;Hotels;77;76;13595;13510;107878;219357
2008;12;Hotels garni;22;22;1945;1945;13553;28204
2008;12;Gasthöfe;17;16;314;304;1575;2721
2008;12;Pensionen;36;35;746;726;3530;8085
2008;12;Jugendherbergen, Hütten und Hostels;9;9;1064;1064;5385;11338
2008;12;sonstige;8;7;596;536;3693;10189
2009;01;Hotels;80;79;14036;13947;54743;108979
2009;01;Hotels garni;22;21;1945;1919;5369;11342
2009;01;Gasthöfe;18;17;385;373;1000;3125
2009;01;Pensionen;38;35;777;726;2020;4723
2009;01;Jugendherbergen, Hütten und Hostels;8;8;969;969;2778;5740
2009;01;sonstige;6;5;194;118;384;1046
2009;02;Hotels;80;79;14038;13945;59530;127721
2009;02;Hotels garni;22;22;1945;1945;6458;13250
2009;02;Gasthöfe;17;16;314;302;984;1549
2009;02;Pensionen;38;35;777;727;2318;5448
2009;02;Jugendherbergen, Hütten und Hostels;8;8;969;969;2857;6248
2009;02;sonstige;7;6;265;189;510;2609
2009;03;Hotels;80;79;14033;13945;79941;169450
2009;03;Hotels garni;22;22;1945;1945;10038;22346
2009;03;Gasthöfe;17;17;314;312;1310;2351
2009;03;Pensionen;38;36;777;738;2991;6936
2009;03;Jugendherbergen, Hütten und Hostels;8;8;969;969;5233;12557
2009;03;sonstige;7;7;265;249;661;2962
2009;04;Hotels;80;79;14010;13947;96150;203821
2009;04;Hotels garni;22;22;1945;1945;12703;28720
2009;04;Gasthöfe;17;16;314;302;1838;3366
2009;04;Pensionen;38;37;777;763;3825;9461
2009;04;Jugendherbergen, Hütten und Hostels;8;8;969;969;6852;16104
2009;04;sonstige;7;7;265;249;953;3519
2009;05;Hotels;79;79;13989;13949;114999;259119
2009;05;Hotels garni;22;22;1945;1945;15853;36699
2009;05;Gasthöfe;17;17;314;312;2240;4596
2009;05;Pensionen;38;37;777;763;4542;11026
2009;05;Jugendherbergen, Hütten und Hostels;8;8;969;969;7736;19194
2009;05;sonstige;7;7;265;249;1270;3696
2009;06;Hotels;79;79;13999;13951;109354;237862
2009;06;Hotels garni;22;22;1945;1945;14667;33475
2009;06;Gasthöfe;17;16;314;302;2233;4194
2009;06;Pensionen;38;37;785;771;4145;10778
2009;06;Jugendherbergen, Hütten und Hostels;8;8;969;969;6956;17680
2009;06;sonstige;7;7;265;247;1058;3310
2009;07;Hotels;79;79;14002;13951;108887;230551
2009;07;Hotels garni;22;22;1945;1945;14633;32945
2009;07;Gasthöfe;16;15;301;289;2248;3981
2009;07;Pensionen;38;38;785;783;4280;10858
2009;07;Jugendherbergen, Hütten und Hostels;8;8;969;969;7944;17915
2009;07;sonstige;7;7;265;247;780;3340
2009;08;Hotels;81;81;14415;14903;127517;284678
2009;08;Hotels garni;24;24;2085;2076;18268;41844
2009;08;Gasthöfe;16;15;301;289;2375;4265
2009;08;Pensionen;42;42;837;841;5049;12688
2009;08;Jugendherbergen, Hütten und Hostels;8;8;969;969;7230;15746
2009;08;sonstige;9;9;243;245;1060;2808
2009;09;Hotels;83;83;15029;14473;122203;273389
2009;09;Hotels garni;24;24;2083;2076;17542;41124
2009;09;Gasthöfe;16;15;301;289;2260;4271
2009;09;Pensionen;41;40;834;820;4566;12237
2009;09;Jugendherbergen, Hütten und Hostels;8;8;969;969;7760;19882
2009;09;sonstige;9;9;245;222;833;2431
2009;10;Hotels;83;83;15033;14473;122063;267506
2009;10;Hotels garni;24;24;2128;2126;18686;40954
2009;10;Gasthöfe;16;15;303;291;2279;4209
2009;10;Pensionen;41;41;834;834;4589;11746
2009;10;Jugendherbergen, Hütten und Hostels;8;8;969;968;7679;18208
2009;10;sonstige;9;9;245;220;1009;3349
2009;11;Hotels;82;82;15016;14433;94903;183048
2009;11;Hotels garni;24;24;2128;2126;13054;27171
2009;11;Gasthöfe;16;14;303;281;1484;2545
2009;11;Pensionen;40;40;824;824;3325;7613
2009;11;Jugendherbergen, Hütten und Hostels;8;8;969;968;4921;9680
2009;11;sonstige;9;8;245;160;459;1395
2009;12;Hotels;82;82;15016;14433;125312;251897
2009;12;Hotels garni;25;25;2138;2136;15547;31746
2009;12;Gasthöfe;16;14;303;281;1403;2705
2009;12;Pensionen;40;40;824;818;4205;9697
2009;12;Jugendherbergen, Hütten und Hostels;8;8;969;968;5689;11340
2009;12;sonstige;9;8;245;160;612;1929
2010;01;Hotels;82;80;15172;14393;53899;107438
2010;01;Hotels garni;25;25;2138;2136;6731;14343
2010;01;Gasthöfe;16;12;301;242;714;1045
2010;01;Pensionen;40;38;824;787;1932;4634
2010;01;Jugendherbergen, Hütten und Hostels;8;8;969;968;2491;5274
2010;01;sonstige;9;8;245;160;415;1443
2010;02;Hotels;82;80;15182;14406;62284;120700
2010;02;Hotels garni;25;25;2140;2134;7823;15725
2010;02;Gasthöfe;16;12;301;242;1064;1613
2010;02;Pensionen;40;39;824;794;2202;5319
2010;02;Jugendherbergen, Hütten und Hostels;8;8;969;968;2950;6328
2010;02;sonstige;9;8;245;160;475;1735
2010;03;Hotels;82;80;15182;14410;93209;188236
2010;03;Hotels garni;25;25;2140;2134;12257;27514
2010;03;Gasthöfe;15;14;285;275;1232;2100
2010;03;Pensionen;39;38;812;770;3186;7847
2010;03;Jugendherbergen, Hütten und Hostels;9;9;1017;1016;5818;13486
2010;03;sonstige;9;8;245;160;461;1405
2010;04;Hotels;82;81;15182;14476;104844;217900
2010;04;Hotels garni;26;26;2160;2154;15612;34408
2010;04;Gasthöfe;16;14;296;273;1800;3240
2010;04;Pensionen;39;39;812;794;3822;9471
2010;04;Jugendherbergen, Hütten und Hostels;9;9;1165;1164;7563;17017
2010;04;sonstige;8;8;217;208;746;2125
2010;05;Hotels;81;80;15054;14188;128178;281086
2010;05;Hotels garni;27;27;2296;2287;19923;45125
2010;05;Gasthöfe;15;15;288;286;2066;4051
2010;05;Pensionen;39;39;812;794;4523;11873
2010;05;Jugendherbergen, Hütten und Hostels;9;9;1172;1171;9144;20687
2010;05;sonstige;8;8;217;208;1196;2778
2010;06;Hotels;81;80;15070;14209;129123;270549
2010;06;Hotels garni;27;27;2296;2287;18840;41663
2010;06;Gasthöfe;16;16;302;300;1857;4078
2010;06;Pensionen;38;38;798;780;4352;11321
2010;06;Jugendherbergen, Hütten und Hostels;9;9;1172;1171;8864;19472
2010;06;sonstige;8;8;217;208;1401;2706
2010;07;Hotels;81;81;15070;14309;124082;260778
2010;07;Hotels garni;27;27;2297;2288;17702;38267
2010;07;Gasthöfe;16;16;302;300;1945;4079
2010;07;Pensionen;38;38;799;781;3839;9819
2010;07;Jugendherbergen, Hütten und Hostels;9;9;1172;1171;8343;19430
2010;07;sonstige;8;8;217;204;805;2288
2010;08;Hotels;80;80;14936;14198;140175;296093
2010;08;Hotels garni;27;27;2299;2288;20358;45630
2010;08;Gasthöfe;16;16;302;301;2109;4585
2010;08;Pensionen;37;37;773;763;4367;11276
2010;08;Jugendherbergen, Hütten und Hostels;9;9;1171;1016;8939;20853
2010;08;sonstige;8;8;217;204;991;2370
2010;09;Hotels;80;80;14407;14191;132206;280944
2010;09;Hotels garni;27;27;2300;2287;18899;42311
2010;09;Gasthöfe;16;16;302;301;1938;4030
2010;09;Pensionen;37;37;774;764;4057;10900
2010;09;Jugendherbergen, Hütten und Hostels;9;9;1171;1016;8352;20390
2010;09;sonstige;8;8;210;204;885;2494
2010;10;Hotels;82;82;14875;14668;131018;277634
2010;10;Hotels garni;30;30;2576;2557;21358;47840
2010;10;Gasthöfe;17;17;312;311;2260;4214
2010;10;Pensionen;41;41;833;827;4780;12109
2010;10;Jugendherbergen, Hütten und Hostels;9;9;1171;1016;8417;20286
2010;10;sonstige;8;8;208;204;846;2272
2010;11;Hotels;82;82;14874;14664;104330;198827
2010;11;Hotels garni;30;30;2568;2557;15312;31004
2010;11;Gasthöfe;17;16;312;299;1575;2825
2010;11;Pensionen;41;41;837;827;3649;8439
2010;11;Jugendherbergen, Hütten und Hostels;9;9;1171;1109;4697;9376
2010;11;sonstige;8;7;208;144;680;1594
2010;12;Hotels;82;82;14878;14681;127779;254554
2010;12;Hotels garni;30;30;2568;2557;18735;37560
2010;12;Gasthöfe;17;16;312;299;1707;3348
2010;12;Pensionen;41;41;837;827;4091;9598
2010;12;Jugendherbergen, Hütten und Hostels;9;9;1171;1118;5876;12385
2010;12;sonstige;8;7;208;144;743;1751
2011;01;Hotels;82;78;14878;13539;58178;114017
2011;01;Hotels garni;30;29;2580;2548;8949;18683
2011;01;Gasthöfe;17;16;314;301;1007;1782
2011;01;Pensionen;40;38;826;799;2414;6055
2011;01;Jugendherbergen, Hütten und Hostels;9;9;1183;1130;2340;4632
2011;01;sonstige;8;7;208;144;458;1487
2011;02;Hotels;83;79;15237;13992;65320;127126
2011;02;Hotels garni;30;30;2578;2551;10609;21748
2011;02;Gasthöfe;17;16;314;299;884;1628
2011;02;Pensionen;40;38;826;797;2498;6097
2011;02;Jugendherbergen, Hütten und Hostels;9;9;1183;1128;3265;7491
2011;02;sonstige;8;7;208;140;463;1375
2011;03;Hotels;83;82;15240;14740;102558;213073
2011;03;Hotels garni;30;30;2578;2548;16193;37063
2011;03;Gasthöfe;17;16;314;299;1193;2453
2011;03;Pensionen;40;39;826;799;3426;8738
2011;03;Jugendherbergen, Hütten und Hostels;9;9;1183;1130;5242;12985
2011;03;sonstige;8;7;208;141;623;1752
2011;04;Hotels;83;83;15264;14985;116585;259180
2011;04;Hotels garni;30;30;2595;2561;19927;43696
2011;04;Gasthöfe;17;17;314;310;1622;3504
2011;04;Pensionen;41;41;845;830;4013;10162
2011;04;Jugendherbergen, Hütten und Hostels;9;9;1183;1130;7785;18132
2011;04;sonstige;7;7;197;193;1296;3263
2011;05;Hotels;83;83;15104;14974;133507;283174
2011;05;Hotels garni;30;30;2594;2563;21751;48186
2011;05;Gasthöfe;17;17;314;310;1557;3032
2011;05;Pensionen;41;40;838;799;4618;11352
2011;05;Jugendherbergen, Hütten und Hostels;9;9;1183;1130;8641;18885
2011;05;sonstige;7;7;197;193;1582;3496
2011;06;Hotels;83;83;15104;15035;131580;295527
2011;06;Hotels garni;31;31;2630;2596;22625;50257
2011;06;Gasthöfe;17;17;315;311;1860;4407
2011;06;Pensionen;40;40;815;812;4662;12050
2011;06;Jugendherbergen, Hütten und Hostels;9;9;1183;1028;9624;23551
2011;06;sonstige;9;9;228;224;1301;3611
2011;07;Hotels;83;83;15097;14841;123659;260710
2011;07;Hotels garni;31;31;2666;2631;21928;46724
2011;07;Gasthöfe;17;17;325;320;1890;3718
2011;07;Pensionen;40;40;828;811;4516;11028
2011;07;Jugendherbergen, Hütten und Hostels;9;9;1183;1028;8679;19540
2011;07;sonstige;9;9;225;225;1340;4024
2011;08;Hotels;83;83;15125;14899;137150;302727
2011;08;Hotels garni;30;30;2647;2615;23146;50954
2011;08;Gasthöfe;17;17;325;321;1881;3670
2011;08;Pensionen;40;40;828;812;4877;11910
2011;08;Jugendherbergen, Hütten und Hostels;9;9;1130;1028;8534;21208
2011;08;sonstige;9;9;225;225;1329;3556
2011;09;Hotels;83;83;15120;14996;134600;280625
2011;09;Hotels garni;30;30;2666;2634;22281;49409
2011;09;Gasthöfe;17;17;325;321;1781;3807
2011;09;Pensionen;40;40;833;816;4975;11940
2011;09;Jugendherbergen, Hütten und Hostels;9;9;1130;1028;8136;18205
2011;09;sonstige;8;8;212;212;1183;2695
2011;10;Hotels;84;84;15598;15474;131228;290616
2011;10;Hotels garni;31;31;3072;3015;25019;55580
2011;10;Gasthöfe;18;18;337;333;1874;3827
2011;10;Pensionen;42;41;877;848;4981;12390
2011;10;Jugendherbergen, Hütten und Hostels;9;9;1130;1028;7935;18546
2011;10;sonstige;11;10;309;243;1389;4260
2011;11;Hotels;84;84;15598;15468;109361;211566
2011;11;Hotels garni;31;31;3072;3015;20022;38062
2011;11;Gasthöfe;18;17;337;323;1289;2374
2011;11;Pensionen;43;42;897;860;3999;8577
2011;11;Jugendherbergen, Hütten und Hostels;9;9;1130;1028;4775;8991
2011;11;sonstige;11;10;307;247;877;2794
2011;12;Hotels;83;83;15536;15436;142205;279934
2011;12;Hotels garni;31;31;3072;3015;25165;46188
2011;12;Gasthöfe;18;17;337;323;1623;3325
2011;12;Pensionen;43;42;898;869;4661;10545
2011;12;Jugendherbergen, Hütten und Hostels;9;9;1130;1025;5992;11918
2011;12;sonstige;11;10;307;247;1196;3452
2012;01;Hotels;83;82;15524;15210;61097;118922
2012;01;Hotels garni;31;31;3132;3110;11332;21785
2012;01;Gasthöfe;16;15;317;305;785;1471
2012;01;Pensionen;41;39;878;837;2711;6377
2012;01;Jugendherbergen, Hütten und Hostels;9;9;1028;1025;2607;5470
2012;01;sonstige;14;11;307;233;730;2312
2012;02;Hotels;83;82;15570;15289;73509;143884
2012;02;Hotels garni;31;31;3132;3110;12070;23557
2012;02;Gasthöfe;16;15;316;305;945;1650
2012;02;Pensionen;42;40;904;863;2541;6259
2012;02;Jugendherbergen, Hütten und Hostels;9;9;1036;1033;3211;6830
2012;02;sonstige;15;12;375;303;948;2885
2012;03;Hotels;83;83;15572;15478;104320;203382
2012;03;Hotels garni;31;31;3134;3112;20937;43012
2012;03;Gasthöfe;16;15;317;305;1152;2107
2012;03;Pensionen;42;40;904;863;3417;8335
2012;03;Jugendherbergen, Hütten und Hostels;9;9;1036;1025;5773;13748
2012;03;sonstige;15;12;375;304;1455;3905
2012;04;Hotels;83;83;15572;15212;119258;258400
2012;04;Hotels garni;31;31;3130;3112;22624;50102
2012;04;Gasthöfe;16;16;316;315;1397;3285
2012;04;Pensionen;42;42;906;891;4098;10523
2012;04;Jugendherbergen, Hütten und Hostels;9;9;1036;1026;7172;17203
2012;04;sonstige;15;14;378;376;1842;4755
2012;05;Hotels;83;83;15567;15476;133879;285561
2012;05;Hotels garni;31;31;3130;3110;25726;55704
2012;05;Gasthöfe;16;16;316;315;1754;3598
2012;05;Pensionen;42;42;906;891;5046;12695
2012;05;Jugendherbergen, Hütten und Hostels;9;9;1036;1028;8571;19624
2012;05;Campingplätze;3;3;0;0;960;2066
2012;05;sonstige;12;12;402;387;2948;6269
2012;06;Hotels;82;81;15544;15375;130454;270445
2012;06;Hotels garni;31;31;3127;3113;24228;52222
2012;06;Gasthöfe;16;16;316;315;1690;3407
2012;06;Pensionen;42;42;906;876;4561;10805
2012;06;Jugendherbergen, Hütten und Hostels;9;9;1036;1028;8626;19972
2012;06;Campingplätze;3;3;0;0;1137;3706
2012;06;sonstige;12;12;404;389;2263;4870
2012;07;Hotels;82;81;16007;15779;136303;287721
2012;07;Hotels garni;31;31;3169;3150;27797;56002
2012;07;Gasthöfe;16;16;316;316;1835;3531
2012;07;Pensionen;42;42;895;892;4576;11427
2012;07;Jugendherbergen, Hütten und Hostels;9;9;1036;1032;8926;22068
2012;07;Campingplätze;3;3;0;0;2375;6119
2012;07;sonstige;12;12;406;391;1445;4613
2012;08;Hotels;82;82;16081;15924;147197;314041
2012;08;Hotels garni;31;31;3169;3150;29337;59987
2012;08;Gasthöfe;16;16;316;316;1934;4007
2012;08;Pensionen;42;42;895;892;4787;12031
2012;08;Jugendherbergen, Hütten und Hostels;9;9;1036;1032;8351;18966
2012;08;Campingplätze;3;3;0;0;2822;7825
2012;08;sonstige;12;12;406;391;1365;4513
2012;09;Hotels;85;85;16850;16627;149925;315362
2012;09;Hotels garni;31;31;3170;3152;27232;58266
2012;09;Gasthöfe;16;16;316;316;1869;3944
2012;09;Pensionen;45;45;933;931;5053;12523
2012;09;Jugendherbergen, Hütten und Hostels;9;9;1036;1032;8201;18839
2012;09;Campingplätze;3;3;0;0;1277;2727
2012;09;sonstige;14;14;430;411;1716;4456
2012;10;Hotels;85;85;16741;16518;141736;307018
2012;10;Hotels garni;31;31;3170;3150;25287;55369
2012;10;Gasthöfe;15;15;304;304;1939;3999
2012;10;Pensionen;44;43;934;920;4767;12034
2012;10;Jugendherbergen, Hütten und Hostels;9;9;1036;1032;7849;18109
2012;10;Campingplätze;3;2;0;0;0;0
2012;10;sonstige;14;14;430;415;1889;5788
2012;11;Hotels;85;85;16742;16519;115533;213465
2012;11;Hotels garni;31;31;3169;2947;19774;38478
2012;11;Gasthöfe;15;14;304;294;1346;2334
2012;11;Pensionen;43;42;924;901;3764;8401
2012;11;Jugendherbergen, Hütten und Hostels;8;8;946;939;4384;8913
2012;11;Campingplätze;3;1;0;0;0;0
2012;11;sonstige;14;13;430;327;1166;3552
2012;12;Hotels;85;85;17009;16786;159865;328298
2012;12;Hotels garni;31;31;3169;3082;25820;51226
2012;12;Gasthöfe;15;14;304;294;1750;3574
2012;12;Pensionen;43;42;924;901;5020;11787
2012;12;Jugendherbergen, Hütten und Hostels;8;8;946;942;5827;11279
2012;12;Campingplätze;3;1;0;0;0;0
2012;12;sonstige;14;13;430;317;1553;4619
2013;01;Hotels;85;85;17009;16784;66539;130476
2013;01;Hotels garni;31;31;3157;3082;12386;25282
2013;01;Gasthöfe;15;14;304;288;962;1557
2013;01;Pensionen;41;40;876;853;2571;6409
2013;01;Jugendherbergen, Hütten und Hostels;8;8;946;942;2078;4622
2013;01;Campingplätze;3;1;0;0;0;0
2013;01;sonstige;14;13;430;317;842;2694
2013;02;Hotels;85;83;17012;15291;70837;137361
2013;02;Hotels garni;31;30;3157;3055;12225;24124
2013;02;Gasthöfe;14;13;294;280;1006;1697
2013;02;Pensionen;41;40;876;838;2383;6068
2013;02;Jugendherbergen, Hütten und Hostels;8;8;946;942;2708;5752
2013;02;Campingplätze;3;1;0;0;0;0
2013;02;sonstige;14;13;430;317;886;2973
2013;03;Hotels;85;85;17033;16778;107293;232678
2013;03;Hotels garni;31;31;3157;3076;19514;40509
2013;03;Gasthöfe;14;13;294;278;1256;2368
2013;03;Pensionen;41;40;876;849;3592;8913
2013;03;Jugendherbergen, Hütten und Hostels;8;8;942;939;5733;14274
2013;03;Campingplätze;3;2;0;0;0;0
2013;03;sonstige;14;13;430;317;1530;4589
2013;04;Hotels;85;85;17027;16465;123150;253191
2013;04;Hotels garni;31;31;3158;3076;21550;44896
2013;04;Gasthöfe;14;14;294;288;1402;2621
2013;04;Pensionen;41;41;876;859;3950;9438
2013;04;Jugendherbergen, Hütten und Hostels;8;8;942;939;5490;13695
2013;04;Campingplätze;3;2;0;0;0;0
2013;04;sonstige;14;14;431;402;1687;4179
2013;05;Hotels;83;83;16588;16342;151942;325377
2013;05;Hotels garni;33;33;3673;3642;34705;74550
2013;05;Gasthöfe;15;15;311;305;2090;4183
2013;05;Pensionen;40;40;862;853;5274;13414
2013;05;Jugendherbergen, Hütten und Hostels;8;8;942;939;7860;16937
