Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2001;05;Hotels garni;24;23;2088;2062;16099;36645
2001;05;Gasthöfe;12;12;247;247;1333;2567
2001;05;Pensionen;33;33;738;734;3069;8044
2001;05;Jugendherbergen, Hütten und Hostels;6;6;765;764;7103;16591
2001;05;sonstige;5;5;167;167;473;1978
2001;06;Hotels;69;68;11427;11339;92569;198867
2001;06;Hotels garni;24;23;2088;2062;14872;32990
2001;06;Gasthöfe;12;12;247;247;1216;2767
2001;06;Pensionen;33;33;738;734;2749;6928
2001;06;Jugendherbergen, Hütten und Hostels;6;6;765;764;7273;16035
2001;06;sonstige;5;5;167;167;535;1911
2001;07;Hotels;69;67;11425;11289;72514;156060
2001;07;Hotels garni;24;23;2088;2062;11891;26343
2001;07;Gasthöfe;12;12;247;241;1180;2906
2001;07;Pensionen;36;36;867;852;2332;5817
2001;07;Jugendherbergen, Hütten und Hostels;6;6;765;723;5950;14966
2001;07;sonstige;5;5;167;167;315;1793
2001;08;Hotels;69;68;11425;11337;90811;189913
2001;08;Hotels garni;24;23;2088;2062;14693;30917
2001;08;Gasthöfe;12;12;247;241;1273;2870
2001;08;Pensionen;36;36;865;844;2911;7619
2001;08;Jugendherbergen, Hütten und Hostels;6;6;765;764;5115;12795
2001;08;sonstige;6;6;177;177;393;1911
2001;09;Hotels;69;68;11425;11337;95154;209425
2001;09;Hotels garni;25;24;2107;2081;15358;35109
2001;09;Gasthöfe;13;13;256;250;1240;2849
2001;09;Pensionen;36;36;865;844;3457;8515
2001;09;Jugendherbergen, Hütten und Hostels;6;6;765;764;5714;13871
2001;09;sonstige;6;6;182;182;417;1786
2001;10;Hotels;69;68;11425;11339;84728;184394
2001;10;Hotels garni;25;24;2107;2080;14401;32460
2001;10;Gasthöfe;13;13;256;250;1231;2712
2001;10;Pensionen;34;34;838;821;2983;7469
2001;10;Jugendherbergen, Hütten und Hostels;6;6;765;764;5851;13914
2001;10;sonstige;6;6;182;182;300;1480
2001;11;Hotels;69;68;11429;11341;72219;138417
2001;11;Hotels garni;25;24;2101;2080;9240;20086
2001;11;Gasthöfe;13;13;256;250;972;1981
2001;11;Pensionen;33;33;813;803;2197;5333
2001;11;Jugendherbergen, Hütten und Hostels;6;6;765;764;3971;8480
2001;11;sonstige;6;5;182;122;347;1092
2001;12;Hotels;69;67;11429;11243;78676;164276
2001;12;Hotels garni;24;24;2081;2080;10623;22954
2001;12;Gasthöfe;13;13;256;250;1077;2246
2001;12;Pensionen;33;33;813;803;2279;5719
2001;12;Jugendherbergen, Hütten und Hostels;6;6;765;764;3807;8020
2001;12;sonstige;6;5;182;122;332;1289
2002;01;Hotels;68;65;11333;10658;34797;67349
2002;01;Hotels garni;24;24;2082;2081;5347;11277
2002;01;Gasthöfe;14;14;314;308;681;1382
2002;01;Pensionen;33;33;813;803;1411;3595
2002;01;Jugendherbergen, Hütten und Hostels;6;6;796;795;2004;4241
2002;01;sonstige;6;5;182;122;170;611
2002;02;Hotels;66;64;11201;10613;41783;82970
2002;02;Hotels garni;24;24;2082;2081;5319;11220
2002;02;Gasthöfe;14;14;314;308;726;1366
2002;02;Pensionen;33;32;813;768;1523;4045
2002;02;Jugendherbergen, Hütten und Hostels;6;6;795;795;2707;6160
2002;02;sonstige;6;5;182;122;234;1013
2002;03;Hotels;66;65;11185;11110;62514;129199
2002;03;Hotels garni;24;24;2082;2069;8562;19775
2002;03;Gasthöfe;14;14;314;308;1186;2609
2002;03;Pensionen;33;33;813;803;2191;5931
2002;03;Jugendherbergen, Hütten und Hostels;6;6;795;795;5350;13191
2002;03;sonstige;6;6;182;182;357;1518
2002;04;Hotels;66;65;11179;11110;76801;163761
2002;04;Hotels garni;24;24;2082;2069;10306;23714
2002;04;Gasthöfe;14;14;314;308;1541;3024
2002;04;Pensionen;33;33;813;803;2523;6573
2002;04;Jugendherbergen, Hütten und Hostels;6;6;795;787;6555;14583
2002;04;sonstige;6;6;182;182;523;1930
2002;05;Hotels;66;65;11186;11114;94632;211571
2002;05;Hotels garni;24;24;2082;2069;15527;36086
2002;05;Gasthöfe;14;14;308;308;2334;4970
2002;05;Pensionen;33;33;811;803;3298;9248
2002;05;Jugendherbergen, Hütten und Hostels;6;6;795;787;6567;17263
2002;05;sonstige;6;6;182;182;611;2355
2002;06;Hotels;66;65;11186;11114;88284;186077
2002;06;Hotels garni;24;24;2082;2069;13297;30586
2002;06;Gasthöfe;14;14;308;308;1826;3981
2002;06;Pensionen;33;33;811;802;2789;7753
2002;06;Jugendherbergen, Hütten und Hostels;6;6;795;782;6873;15886
2002;06;sonstige;6;6;182;182;605;2142
2002;07;Hotels;65;65;11136;11068;76937;163541
2002;07;Hotels garni;24;24;2082;2069;11609;27425
2002;07;Gasthöfe;14;14;308;308;1875;3812
2002;07;Pensionen;33;33;811;802;2376;6949
2002;07;Jugendherbergen, Hütten und Hostels;6;6;795;782;6090;14258
2002;07;sonstige;6;5;182;168;625;2367
2002;08;Hotels;65;65;11136;11068;52451;110878
2002;08;Hotels garni;24;24;2082;2045;8999;22188
2002;08;Gasthöfe;14;14;308;308;1320;2763
2002;08;Pensionen;33;33;803;802;2135;5531
2002;08;Jugendherbergen, Hütten und Hostels;6;6;795;782;5069;10371
