Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
2021;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;48;22
2021;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;217;94
2021;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;216;94
2021;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;340;148
2021;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;435;176
2021;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;674;269
2021;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;492;209
2021;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1326;565
2021;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;707;283
2021;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;394;156
2021;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;892;379
2021;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;186;78
2021;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1017;419
2021;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;977;412
2021;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;435;184
2021;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;723;302
2021;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;944;404
2021;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;754;315
