Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;195
2023;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;158
2023;StB 0 Altstadt;02 Johannstadt;männlich;114
2023;StB 0 Altstadt;02 Johannstadt;weiblich;94
2023;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;211
2023;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;179
2023;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;69
2023;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;66
2023;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;117
2023;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;113
2023;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;126
2023;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;119
2023;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;103
2023;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;73
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;64
2023;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;86
2023;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;214
2023;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;197
2023;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;131
2023;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;110
2023;StB 6 Leuben;10 StB Leuben;männlich;108
2023;StB 6 Leuben;10 StB Leuben;weiblich;102
2023;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;107
2023;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;93
2023;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;120
2023;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;116
2023;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;111
2023;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;103
2023;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;83
2023;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;62
2023;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;218
2023;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;196
2023;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;82
2023;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;91
2023;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;57
2023;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;71
