Jahr;Stadtraum;Heizenergie;Anteil in %
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"1,3  "
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"80,1 "
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"12,7 "
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"5,3  "
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0,6  "
2002;13 Südvorstadt, Zschertnitz;Kohle;"3,6  "
2002;13 Südvorstadt, Zschertnitz;Gas;"76,1 "
2002;13 Südvorstadt, Zschertnitz;Öl;"16,4 "
2002;13 Südvorstadt, Zschertnitz;Strom;"4    "
2002;13 Südvorstadt, Zschertnitz;sonstige;"0    "
2002;14 Mockritz, Coschütz, Plauen;Kohle;"7,1  "
2002;14 Mockritz, Coschütz, Plauen;Gas;"83,6 "
2002;14 Mockritz, Coschütz, Plauen;Öl;"4,4  "
2002;14 Mockritz, Coschütz, Plauen;Strom;"1,3  "
2002;14 Mockritz, Coschütz, Plauen;sonstige;"3,5  "
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"8,9  "
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"78,4 "
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"7,4  "
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"5,4  "
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0    "
2002;16 Gorbitz;Kohle;"0    "
2002;16 Gorbitz;Gas;"45,6 "
2002;16 Gorbitz;Öl;"54,4 "
2002;16 Gorbitz;Strom;"0    "
2002;16 Gorbitz;sonstige;"0    "
2002;17 Briesnitz und westliche OS;Kohle;"3    "
2002;17 Briesnitz und westliche OS;Gas;"55,3 "
2002;17 Briesnitz und westliche OS;Öl;"32,6 "
2002;17 Briesnitz und westliche OS;Strom;"6,4  "
2002;17 Briesnitz und westliche OS;sonstige;"2,7  "
2002;18 Dresden gesamt;Kohle;"4,6  "
2002;18 Dresden gesamt;Gas;"75,3 "
2002;18 Dresden gesamt;Öl;"14,5 "
2002;18 Dresden gesamt;Strom;"4,2  "
2002;18 Dresden gesamt;sonstige;"1,3  "
2005;01 StB Altstadt ohne Johannstadt;Kohle;"9,9  "
2005;01 StB Altstadt ohne Johannstadt;Gas;"52,9 "
2005;01 StB Altstadt ohne Johannstadt;Öl;"7,2  "
2005;01 StB Altstadt ohne Johannstadt;Strom;"30   "
2005;01 StB Altstadt ohne Johannstadt;sonstige;"0    "
2005;02 Johannstadt;Kohle;"13   "
2005;02 Johannstadt;Gas;"67   "
2005;02 Johannstadt;Öl;"9    "
2005;02 Johannstadt;Strom;"11   "
2005;02 Johannstadt;sonstige;"0    "
2005;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"10,8 "
2005;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"70,4 "
2005;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"5,1  "
2005;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"11,6 "
2005;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"2,1  "
2005;04 Leipziger Vorstadt, Pieschen;Kohle;"6,2  "
2005;04 Leipziger Vorstadt, Pieschen;Gas;"76,1 "
2005;04 Leipziger Vorstadt, Pieschen;Öl;"11   "
2005;04 Leipziger Vorstadt, Pieschen;Strom;"5,9  "
2005;04 Leipziger Vorstadt, Pieschen;sonstige;"0,9  "
2005;05 Mickten, Kaditz, Trachau;Kohle;"1,3  "
2005;05 Mickten, Kaditz, Trachau;Gas;"87,4 "
2005;05 Mickten, Kaditz, Trachau;Öl;"9,8  "
2005;05 Mickten, Kaditz, Trachau;Strom;"1    "
2005;05 Mickten, Kaditz, Trachau;sonstige;"0,6  "
2005;06 StB Klotzsche und nördliche OS;Kohle;"2,2  "
2005;06 StB Klotzsche und nördliche OS;Gas;"73,3 "
2005;06 StB Klotzsche und nördliche OS;Öl;"16,9 "
2005;06 StB Klotzsche und nördliche OS;Strom;"4,7  "
2005;06 StB Klotzsche und nördliche OS;sonstige;"2,9  "
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"7,7  "
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"77,1 "
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"12,9 "
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"1,7  "
2005;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0,6  "
2005;08 Blasewitz, Striesen;Kohle;"0,3  "
2005;08 Blasewitz, Striesen;Gas;"85,4 "
2005;08 Blasewitz, Striesen;Öl;"9    "
2005;08 Blasewitz, Striesen;Strom;"3,7  "
2005;08 Blasewitz, Striesen;sonstige;"1,6  "
2005;09 Tolkewitz, Seidnitz, Gruna;Kohle;"2    "
2005;09 Tolkewitz, Seidnitz, Gruna;Gas;"91   "
2005;09 Tolkewitz, Seidnitz, Gruna;Öl;"7,1  "
2005;09 Tolkewitz, Seidnitz, Gruna;Strom;"0    "
2005;09 Tolkewitz, Seidnitz, Gruna;sonstige;"0    "
2005;10 StB Leuben;Kohle;"0,5  "
2005;10 StB Leuben;Gas;"90,6 "
2005;10 StB Leuben;Öl;"7    "
2005;10 StB Leuben;Strom;"1,1  "
2005;10 StB Leuben;sonstige;"0,8  "
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"5,2  "
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"86   "
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"4,2  "
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"3,5  "
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"1,1  "
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"2,2  "
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"79,2 "
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"10,7 "
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"6,6  "
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"1,2  "
2005;13 Südvorstadt, Zschertnitz;Kohle;"10,7 "
2005;13 Südvorstadt, Zschertnitz;Gas;"77,5 "
2005;13 Südvorstadt, Zschertnitz;Öl;"4,4  "
2005;13 Südvorstadt, Zschertnitz;Strom;"7,5  "
2005;13 Südvorstadt, Zschertnitz;sonstige;"0    "
2005;14 Mockritz, Coschütz, Plauen;Kohle;"0    "
2005;14 Mockritz, Coschütz, Plauen;Gas;"83   "
2005;14 Mockritz, Coschütz, Plauen;Öl;"14,3 "
2005;14 Mockritz, Coschütz, Plauen;Strom;"2,7  "
2005;14 Mockritz, Coschütz, Plauen;sonstige;"0    "
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"3,2  "
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"82,8 "
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"9,2  "
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"2,6  "
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"2,1  "
2005;16 Gorbitz;Kohle;"0    "
2005;16 Gorbitz;Gas;"73,2 "
2005;16 Gorbitz;Öl;"22,7 "
2005;16 Gorbitz;Strom;"0    "
2005;16 Gorbitz;sonstige;"4,1  "
2005;17 Briesnitz und westliche OS;Kohle;"5,3  "
2005;17 Briesnitz und westliche OS;Gas;"68,6 "
2005;17 Briesnitz und westliche OS;Öl;"23,8 "
2005;17 Briesnitz und westliche OS;Strom;"2,3  "
2005;17 Briesnitz und westliche OS;sonstige;"0    "
2005;18 Dresden gesamt;Kohle;"3,9  "
2005;18 Dresden gesamt;Gas;"79,9 "
2005;18 Dresden gesamt;Öl;"11,2 "
2005;18 Dresden gesamt;Strom;"3,9  "
2005;18 Dresden gesamt;sonstige;"1,1  "
2007;01 StB Altstadt ohne Johannstadt;Kohle;"2    "
2007;01 StB Altstadt ohne Johannstadt;Gas;"43,5 "
2007;01 StB Altstadt ohne Johannstadt;Öl;"18,3 "
2007;01 StB Altstadt ohne Johannstadt;Strom;"36,1 "
2007;01 StB Altstadt ohne Johannstadt;sonstige;"0    "
2007;02 Johannstadt;Kohle;"10,9 "
2007;02 Johannstadt;Gas;"62,1 "
2007;02 Johannstadt;Öl;"12,4 "
2007;02 Johannstadt;Strom;"13,2 "
2007;02 Johannstadt;sonstige;"1,3  "
2007;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"12,4 "
2007;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"64,5 "
2007;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"15,3 "
2007;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"5,3  "
2007;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"2,5  "
2007;04 Leipziger Vorstadt, Pieschen;Kohle;"10,4 "
2007;04 Leipziger Vorstadt, Pieschen;Gas;"74,8 "
2007;04 Leipziger Vorstadt, Pieschen;Öl;"9,4  "
2007;04 Leipziger Vorstadt, Pieschen;Strom;"4,6  "
2007;04 Leipziger Vorstadt, Pieschen;sonstige;"0,7  "
2007;05 Mickten, Kaditz, Trachau;Kohle;"0,6  "
2007;05 Mickten, Kaditz, Trachau;Gas;"77,4 "
2007;05 Mickten, Kaditz, Trachau;Öl;"14,8 "
2007;05 Mickten, Kaditz, Trachau;Strom;"5,6  "
2007;05 Mickten, Kaditz, Trachau;sonstige;"1,7  "
2007;06 StB Klotzsche und nördliche OS;Kohle;"2,3  "
2007;06 StB Klotzsche und nördliche OS;Gas;"66,5 "
2007;06 StB Klotzsche und nördliche OS;Öl;"22,5 "
2007;06 StB Klotzsche und nördliche OS;Strom;"6,4  "
2007;06 StB Klotzsche und nördliche OS;sonstige;"2,4  "
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"3    "
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"74   "
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"14,9 "
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"4    "
2007;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"4,1  "
2007;08 Blasewitz, Striesen;Kohle;"0,7  "
2007;08 Blasewitz, Striesen;Gas;"79,3 "
2007;08 Blasewitz, Striesen;Öl;"11,7 "
2007;08 Blasewitz, Striesen;Strom;"7,9  "
2007;08 Blasewitz, Striesen;sonstige;"0,5  "
2007;09 Tolkewitz, Seidnitz, Gruna;Kohle;"1,3  "
2007;09 Tolkewitz, Seidnitz, Gruna;Gas;"76,4 "
2007;09 Tolkewitz, Seidnitz, Gruna;Öl;"13,2 "
2007;09 Tolkewitz, Seidnitz, Gruna;Strom;"7    "
2007;09 Tolkewitz, Seidnitz, Gruna;sonstige;"2,1  "
2007;10 StB Leuben;Kohle;"0,3  "
2007;10 StB Leuben;Gas;"88,9 "
2007;10 StB Leuben;Öl;"3,4  "
2007;10 StB Leuben;Strom;"5,7  "
2007;10 StB Leuben;sonstige;"1,6  "
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"0    "
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"82,1 "
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"11,6 "
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"4,3  "
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"2    "
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"0,5  "
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"85,5 "
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"7    "
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"6    "
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"1    "
2007;13 Südvorstadt, Zschertnitz;Kohle;"3,1  "
2007;13 Südvorstadt, Zschertnitz;Gas;"81,1 "
2007;13 Südvorstadt, Zschertnitz;Öl;"10,6 "
2007;13 Südvorstadt, Zschertnitz;Strom;"3,5  "
2007;13 Südvorstadt, Zschertnitz;sonstige;"1,8  "
2007;14 Mockritz, Coschütz, Plauen;Kohle;"0,9  "
2007;14 Mockritz, Coschütz, Plauen;Gas;"84,8 "
2007;14 Mockritz, Coschütz, Plauen;Öl;"10,3 "
2007;14 Mockritz, Coschütz, Plauen;Strom;"4    "
2007;14 Mockritz, Coschütz, Plauen;sonstige;"0    "
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"4    "
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"83,4 "
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"6,7  "
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"4,9  "
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"1    "
2007;16 Gorbitz;Kohle;"0    "
2007;16 Gorbitz;Gas;"78,9 "
2007;16 Gorbitz;Öl;"3,1  "
2007;16 Gorbitz;Strom;"0    "
2007;16 Gorbitz;sonstige;"18   "
2007;17 Briesnitz und westliche OS;Kohle;"0,6  "
2007;17 Briesnitz und westliche OS;Gas;"70,4 "
2007;17 Briesnitz und westliche OS;Öl;"25,5 "
2007;17 Briesnitz und westliche OS;Strom;"3    "
2007;17 Briesnitz und westliche OS;sonstige;"0,5  "
2007;18 Dresden gesamt;Kohle;"3,1  "
2007;18 Dresden gesamt;Gas;"77   "
2007;18 Dresden gesamt;Öl;"12,6 "
2007;18 Dresden gesamt;Strom;"5,7  "
2007;18 Dresden gesamt;sonstige;"1,6  "
2010;01 StB Altstadt ohne Johannstadt;Kohle;"0    "
2010;01 StB Altstadt ohne Johannstadt;Gas;"k.A. "
2010;01 StB Altstadt ohne Johannstadt;Öl;"k.A. "
2010;01 StB Altstadt ohne Johannstadt;Strom;"k.A. "
2010;01 StB Altstadt ohne Johannstadt;sonstige;"0    "
2010;02 Johannstadt;Kohle;"0    "
2010;02 Johannstadt;Gas;"k.A. "
2010;02 Johannstadt;Öl;"0    "
2010;02 Johannstadt;Strom;"k.A. "
2010;02 Johannstadt;sonstige;"0    "
2010;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"8    "
2010;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"62,2 "
2010;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"24   "
2010;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"4,6  "
2010;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"1,2  "
2010;04 Leipziger Vorstadt, Pieschen;Kohle;"3,2  "
2010;04 Leipziger Vorstadt, Pieschen;Gas;"77,2 "
2010;04 Leipziger Vorstadt, Pieschen;Öl;"10,1 "
2010;04 Leipziger Vorstadt, Pieschen;Strom;"8,8  "
2010;04 Leipziger Vorstadt, Pieschen;sonstige;"0,8  "
2010;05 Mickten, Kaditz, Trachau;Kohle;"0    "
2010;05 Mickten, Kaditz, Trachau;Gas;"81,3 "
2010;05 Mickten, Kaditz, Trachau;Öl;"13,2 "
2010;05 Mickten, Kaditz, Trachau;Strom;"4,1  "
2010;05 Mickten, Kaditz, Trachau;sonstige;"1,4  "
2010;06 StB Klotzsche und nördliche OS;Kohle;"0,7  "
2010;06 StB Klotzsche und nördliche OS;Gas;"70,6 "
2010;06 StB Klotzsche und nördliche OS;Öl;"22,3 "
2010;06 StB Klotzsche und nördliche OS;Strom;"5    "
2010;06 StB Klotzsche und nördliche OS;sonstige;"1,4  "
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"0    "
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"83,4 "
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"9,8  "
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"5,8  "
2010;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"1    "
2010;08 Blasewitz, Striesen;Kohle;"3,5  "
2010;08 Blasewitz, Striesen;Gas;"79,7 "
2010;08 Blasewitz, Striesen;Öl;"11,8 "
2010;08 Blasewitz, Striesen;Strom;"5    "
2010;08 Blasewitz, Striesen;sonstige;"0    "
2010;09 Tolkewitz, Seidnitz, Gruna;Kohle;"0    "
2010;09 Tolkewitz, Seidnitz, Gruna;Gas;"88,6 "
2010;09 Tolkewitz, Seidnitz, Gruna;Öl;"8,3  "
2010;09 Tolkewitz, Seidnitz, Gruna;Strom;"1,1  "
2010;09 Tolkewitz, Seidnitz, Gruna;sonstige;"2    "
2010;10 StB Leuben;Kohle;"0    "
2010;10 StB Leuben;Gas;"86,9 "
2010;10 StB Leuben;Öl;"7    "
2010;10 StB Leuben;Strom;"4,6  "
2010;10 StB Leuben;sonstige;"1,5  "
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"0    "
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"k.A. "
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"k.A. "
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"0    "
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"0    "
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"0    "
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"84,8 "
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"7,8  "
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"5,4  "
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"2    "
2010;13 Südvorstadt, Zschertnitz;Kohle;"0    "
2010;13 Südvorstadt, Zschertnitz;Gas;"k.A. "
2010;13 Südvorstadt, Zschertnitz;Öl;"k.A. "
2010;13 Südvorstadt, Zschertnitz;Strom;"k.A. "
2010;13 Südvorstadt, Zschertnitz;sonstige;"k.A. "
2010;14 Mockritz, Coschütz, Plauen;Kohle;"0    "
2010;14 Mockritz, Coschütz, Plauen;Gas;"78,4 "
2010;14 Mockritz, Coschütz, Plauen;Öl;"15,5 "
2010;14 Mockritz, Coschütz, Plauen;Strom;"5    "
2010;14 Mockritz, Coschütz, Plauen;sonstige;"1    "
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"0,6  "
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"88   "
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"8,3  "
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"1,2  "
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"1,9  "
2010;16 Gorbitz;Kohle;"0    "
2010;16 Gorbitz;Gas;"0    "
2010;16 Gorbitz;Öl;"0    "
2010;16 Gorbitz;Strom;"0    "
2010;16 Gorbitz;sonstige;"0    "
2010;17 Briesnitz und westliche OS;Kohle;"0    "
2010;17 Briesnitz und westliche OS;Gas;"74,9 "
2010;17 Briesnitz und westliche OS;Öl;"16,4 "
2010;17 Briesnitz und westliche OS;Strom;"5,4  "
2010;17 Briesnitz und westliche OS;sonstige;"3,4  "
2010;18 Dresden gesamt;Kohle;"1,2  "
2010;18 Dresden gesamt;Gas;"79   "
2010;18 Dresden gesamt;Öl;"12,7 "
2010;18 Dresden gesamt;Strom;"5,8  "
2010;18 Dresden gesamt;sonstige;"1,4  "
2012;01 StB Altstadt ohne Johannstadt;Kohle;"k.A. "
2012;01 StB Altstadt ohne Johannstadt;Gas;"k.A. "
2012;01 StB Altstadt ohne Johannstadt;Öl;"k.A. "
2012;01 StB Altstadt ohne Johannstadt;Strom;"k.A. "
2012;01 StB Altstadt ohne Johannstadt;sonstige;"k.A. "
2012;02 Johannstadt;Kohle;"k.A. "
2012;02 Johannstadt;Gas;"k.A. "
2012;02 Johannstadt;Öl;"k.A. "
2012;02 Johannstadt;Strom;"k.A. "
2012;02 Johannstadt;sonstige;"k.A. "
2012;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"4,7  "
2012;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"77,1 "
2012;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"6,6  "
2012;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"10,4 "
2012;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"1,3  "
2012;04 Leipziger Vorstadt, Pieschen;Kohle;"0,8  "
2012;04 Leipziger Vorstadt, Pieschen;Gas;"79,8 "
2012;04 Leipziger Vorstadt, Pieschen;Öl;"7,8  "
2012;04 Leipziger Vorstadt, Pieschen;Strom;"4,6  "
2012;04 Leipziger Vorstadt, Pieschen;sonstige;"7    "
2012;05 Mickten, Kaditz, Trachau;Kohle;"0    "
2012;05 Mickten, Kaditz, Trachau;Gas;"84,7 "
2012;05 Mickten, Kaditz, Trachau;Öl;"4,3  "
2012;05 Mickten, Kaditz, Trachau;Strom;"6,4  "
2012;05 Mickten, Kaditz, Trachau;sonstige;"4,6  "
2012;06 StB Klotzsche und nördliche OS;Kohle;"0,7  "
2012;06 StB Klotzsche und nördliche OS;Gas;"71,4 "
2012;06 StB Klotzsche und nördliche OS;Öl;"14,3 "
2012;06 StB Klotzsche und nördliche OS;Strom;"11,1 "
2012;06 StB Klotzsche und nördliche OS;sonstige;"2,5  "
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"4,8  "
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"77,6 "
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"9,5  "
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"4,8  "
2012;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"3,4  "
2012;08 Blasewitz, Striesen;Kohle;"0    "
2012;08 Blasewitz, Striesen;Gas;"90,6 "
2012;08 Blasewitz, Striesen;Öl;"5,8  "
2012;08 Blasewitz, Striesen;Strom;"3    "
2012;08 Blasewitz, Striesen;sonstige;"0,5  "
2012;09 Tolkewitz, Seidnitz, Gruna;Kohle;"0    "
2012;09 Tolkewitz, Seidnitz, Gruna;Gas;"73,7 "
2012;09 Tolkewitz, Seidnitz, Gruna;Öl;"13,6 "
2012;09 Tolkewitz, Seidnitz, Gruna;Strom;"9,1  "
2012;09 Tolkewitz, Seidnitz, Gruna;sonstige;"3,7  "
2012;10 StB Leuben;Kohle;"0    "
2012;10 StB Leuben;Gas;"88,2 "
2012;10 StB Leuben;Öl;"4    "
2012;10 StB Leuben;Strom;"4,9  "
2012;10 StB Leuben;sonstige;"2,9  "
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"k.A. "
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"k.A. "
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"k.A. "
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"k.A. "
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"k.A. "
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"0    "
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"83,3 "
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"6,9  "
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"9,1  "
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0,8  "
2012;13 Südvorstadt, Zschertnitz;Kohle;"2,1  "
2012;13 Südvorstadt, Zschertnitz;Gas;"69,1 "
2012;13 Südvorstadt, Zschertnitz;Öl;"5,7  "
2012;13 Südvorstadt, Zschertnitz;Strom;"9,4  "
2012;13 Südvorstadt, Zschertnitz;sonstige;"13,8 "
2012;14 Mockritz, Coschütz, Plauen;Kohle;"1,6  "
2012;14 Mockritz, Coschütz, Plauen;Gas;"78   "
2012;14 Mockritz, Coschütz, Plauen;Öl;"13,7 "
2012;14 Mockritz, Coschütz, Plauen;Strom;"6,1  "
2012;14 Mockritz, Coschütz, Plauen;sonstige;"0,7  "
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"1,4  "
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"84,3 "
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"10,2 "
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"4,1  "
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0    "
2012;16 Gorbitz;Kohle;"k.A. "
2012;16 Gorbitz;Gas;"k.A. "
2012;16 Gorbitz;Öl;"k.A. "
2012;16 Gorbitz;Strom;"k.A. "
2012;16 Gorbitz;sonstige;"k.A. "
2012;17 Briesnitz und westliche OS;Kohle;"0    "
2012;17 Briesnitz und westliche OS;Gas;"57,4 "
2012;17 Briesnitz und westliche OS;Öl;"35,1 "
2012;17 Briesnitz und westliche OS;Strom;"5    "
2012;17 Briesnitz und westliche OS;sonstige;"2,6  "
2012;18 Dresden gesamt;Kohle;"1,3  "
2012;18 Dresden gesamt;Gas;"79,9 "
2012;18 Dresden gesamt;Öl;"9,9  "
2012;18 Dresden gesamt;Strom;"6,1  "
2012;18 Dresden gesamt;sonstige;"2,8  "
2014;01 StB Altstadt ohne Johannstadt;Kohle;"k.A. "
2014;01 StB Altstadt ohne Johannstadt;Gas;"k.A. "
2014;01 StB Altstadt ohne Johannstadt;Öl;"k.A. "
2014;01 StB Altstadt ohne Johannstadt;Strom;"k.A. "
2014;01 StB Altstadt ohne Johannstadt;sonstige;"k.A. "
2014;02 Johannstadt;Kohle;"k.A. "
2014;02 Johannstadt;Gas;"k.A. "
2014;02 Johannstadt;Öl;"k.A. "
2014;02 Johannstadt;Strom;"k.A. "
2014;02 Johannstadt;sonstige;"k.A. "
2014;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"0    "
2014;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"70,7 "
2014;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"12,3 "
2014;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"8,5  "
2014;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"8,6  "
2014;04 Leipziger Vorstadt, Pieschen;Kohle;"11,6 "
2014;04 Leipziger Vorstadt, Pieschen;Gas;"62,1 "
2014;04 Leipziger Vorstadt, Pieschen;Öl;"10,5 "
2014;04 Leipziger Vorstadt, Pieschen;Strom;"15   "
2014;04 Leipziger Vorstadt, Pieschen;sonstige;"0,8  "
2014;05 Mickten, Kaditz, Trachau;Kohle;"2,2  "
