Jahr;Stadtraum;Heizenergie;Anteil in %
1993;17 Briesnitz und westliche OS;Gas;"22,2 "
1993;17 Briesnitz und westliche OS;Öl;"7    "
1993;17 Briesnitz und westliche OS;Strom;"0    "
1993;17 Briesnitz und westliche OS;sonstige;"0    "
1993;18 Dresden gesamt;Kohle;"72,4 "
1993;18 Dresden gesamt;Gas;"19,4 "
1993;18 Dresden gesamt;Öl;"5,8  "
1993;18 Dresden gesamt;Strom;"1,8  "
1993;18 Dresden gesamt;sonstige;"0,7  "
1995;01 StB Altstadt ohne Johannstadt;Kohle;"54   "
1995;01 StB Altstadt ohne Johannstadt;Gas;"28,5 "
1995;01 StB Altstadt ohne Johannstadt;Öl;"0    "
1995;01 StB Altstadt ohne Johannstadt;Strom;"9,8  "
1995;01 StB Altstadt ohne Johannstadt;sonstige;"7,8  "
1995;02 Johannstadt;Kohle;"74,8 "
1995;02 Johannstadt;Gas;"16   "
1995;02 Johannstadt;Öl;"0    "
1995;02 Johannstadt;Strom;"5    "
1995;02 Johannstadt;sonstige;"4,2  "
1995;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"72,9 "
1995;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"22,4 "
1995;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"4,7  "
1995;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"0    "
1995;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"0    "
1995;04 Leipziger Vorstadt, Pieschen;Kohle;"86,7 "
1995;04 Leipziger Vorstadt, Pieschen;Gas;"9,7  "
1995;04 Leipziger Vorstadt, Pieschen;Öl;"1,5  "
1995;04 Leipziger Vorstadt, Pieschen;Strom;"1,1  "
1995;04 Leipziger Vorstadt, Pieschen;sonstige;"1,1  "
1995;05 Mickten, Kaditz, Trachau;Kohle;"62,1 "
1995;05 Mickten, Kaditz, Trachau;Gas;"31,8 "
1995;05 Mickten, Kaditz, Trachau;Öl;"5,5  "
1995;05 Mickten, Kaditz, Trachau;Strom;"0,5  "
1995;05 Mickten, Kaditz, Trachau;sonstige;"0    "
1995;06 StB Klotzsche und nördliche OS;Kohle;"37   "
1995;06 StB Klotzsche und nördliche OS;Gas;"39,5 "
1995;06 StB Klotzsche und nördliche OS;Öl;"18,1 "
1995;06 StB Klotzsche und nördliche OS;Strom;"5,4  "
1995;06 StB Klotzsche und nördliche OS;sonstige;"0    "
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"43,1 "
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"36,7 "
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"17   "
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"3,2  "
1995;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0    "
1995;08 Blasewitz, Striesen;Kohle;"66,5 "
1995;08 Blasewitz, Striesen;Gas;"28,4 "
1995;08 Blasewitz, Striesen;Öl;"2,4  "
1995;08 Blasewitz, Striesen;Strom;"2,6  "
1995;08 Blasewitz, Striesen;sonstige;"0    "
1995;09 Tolkewitz, Seidnitz, Gruna;Kohle;"74,2 "
1995;09 Tolkewitz, Seidnitz, Gruna;Gas;"20,2 "
1995;09 Tolkewitz, Seidnitz, Gruna;Öl;"1,7  "
1995;09 Tolkewitz, Seidnitz, Gruna;Strom;"3,9  "
1995;09 Tolkewitz, Seidnitz, Gruna;sonstige;"0    "
1995;10 StB Leuben;Kohle;"54,9 "
1995;10 StB Leuben;Gas;"34,3 "
1995;10 StB Leuben;Öl;"5,6  "
1995;10 StB Leuben;Strom;"4,7  "
1995;10 StB Leuben;sonstige;"0,5  "
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"49,9 "
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"46   "
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"0    "
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"2    "
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"2,1  "
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"35,3 "
