Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;26440;0;20429
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;4876;1757;1757
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;4275;2194;1097
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;1992;1265;372
2025;StB 0 Altstadt;02 Johannstadt;0 Kinder;16520;0;12252
2025;StB 0 Altstadt;02 Johannstadt;1 Kind;3733;1328;1328
2025;StB 0 Altstadt;02 Johannstadt;2 Kinder;3049;1572;786
2025;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;1362;861;256
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;22681;0;17756
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6994;2501;2501
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;6481;3350;1675
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1969;1229;384
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;8160;0;6553
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2507;907;907
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;2292;1178;589
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;530;332;103
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14703;0;11461
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4688;1714;1714
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;3853;2012;1006
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1161;729;230
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;18540;0;13383
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5428;1939;1939
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4280;2214;1107
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1289;812;254
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18616;0;11665
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;4799;1619;1619
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5318;2702;1351
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1866;1156;358
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19837;0;12345
