Jahr;Stadtteil zus. (Kriminalität);Stadtteil (Kriminalität);Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Fälle erfasst (Tatortprinzip);Fälle aufgeklärt;Tatverdächtige insgesamt
2002;61 Leuben;61 Leuben;10 StB Leuben;StB 6 Leuben;861;510;399
2002;62 Laubegast;62 Laubegast;10 StB Leuben;StB 6 Leuben;453;200;191
2002;63 Kleinzschachwitz;63 Kleinzschachwitz;10 StB Leuben;StB 6 Leuben;285;157;86
2002;64 Großzschachwitz;64 Großzschachwitz;10 StB Leuben;StB 6 Leuben;387;198;169
2002;71 Prohlis-Nord;71 Prohlis-Nord;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;582;326;312
2002;72 Prohlis-Süd;72 Prohlis-Süd;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;610;324;314
2002;73 Niedersedlitz;73 Niedersedlitz;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;124;65;49
2002;73 Niedersedlitz;73 Niedersedlitz;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;273;144;108
2002;74 Lockwitz;74 Lockwitz;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;1061;808;723
2002;75 Leubnitz-Neuostra;75 Leubnitz-Neuostra;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;579;261;203
2002;76 Strehlen;76 Strehlen;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;449;240;221
2002;76 Strehlen;76 Strehlen;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;572;305;281
2002;77 Reick;77 Reick;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;715;409;389
2002;81 Südvorstadt-West;81 Südvorstadt-West;13 Südvorstadt, Zschertnitz;StB 8 Plauen;1158;558;540
2002;82 Südvorstadt-Ost;82 Südvorstadt-Ost;13 Südvorstadt, Zschertnitz;StB 8 Plauen;786;241;215
2002;83 Räcknitz/Zschertnitz;83 Räcknitz/Zschertnitz;13 Südvorstadt, Zschertnitz;StB 8 Plauen;541;208;200
2002;84 Kleinpestitz/Mockritz;84 Kleinpestitz/Mockritz;14 Mockritz, Coschütz, Plauen;StB 8 Plauen;433;264;248
2002;85 Coschütz/Gittersee;85 Coschütz/Gittersee;14 Mockritz, Coschütz, Plauen;StB 8 Plauen;366;203;204
2002;86 Plauen;86 Plauen;14 Mockritz, Coschütz, Plauen;StB 8 Plauen;697;300;252
2002;90 Cossebaude/Mobschatz/Oberw.;90 Cossebaude/Mobschatz/Oberw.;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;488;259;289
2002;91 Cotta;91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;956;499;422
2002;92 Löbtau-Nord;92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;841;426;410
2002;93 Löbtau-Süd;93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;952;501;466
2002;94 Naußlitz;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;333;151;158
2002;95 Gorbitz-Süd;95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;689;345;282
2002;96 Gorbitz-Ost;96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;381;189;187
2002;97 Gorbitz-Nord/Neu-Omsewitz;97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;625;326;278
2002;98 Briesnitz;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;425;219;193
2002;99 Altfranken/Gompitz;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;343;238;232
2002;Korrektur Mehrfachzählung;Korrektur Mehrfachzählung;00 unbekannt;unbekannt;0;0;-3930
2003;unbekannt/unzutreffend;unbekannt/unzutreffend;00 unbekannt;unbekannt;2518;2258;0
2003;01 Innere Altstadt;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;2606;1517;1309
2003;02 Pirnaische Vorstadt;02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;912;490;462
2003;03 Seevorstadt-Ost;03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;2202;1235;1156
