Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;184
2025;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;183
2025;StB 0 Altstadt;02 Johannstadt;männlich;124
2025;StB 0 Altstadt;02 Johannstadt;weiblich;100
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;188
2025;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;175
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;74
2025;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;58
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;114
2025;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;102
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;112
2025;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;109
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;69
2025;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;77
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;75
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;69
2025;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;197
2025;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;171
2025;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;98
2025;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;96
2025;StB 6 Leuben;10 StB Leuben;männlich;95
2025;StB 6 Leuben;10 StB Leuben;weiblich;91
2025;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;93
2025;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;83
2025;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;96
2025;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;86
2025;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;85
2025;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;127
2025;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;62
2025;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;59
2025;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;162
2025;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;177
2025;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;96
2025;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;70
2025;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;70
2025;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;55
