Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;346
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;330
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;326
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;366
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;349
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;319
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;293
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;319
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;277
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;295
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;264
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;248
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;252
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;257
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;224
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;204
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;244
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;248
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;364
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;504
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;686
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;804
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22 Jahre;884
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23 Jahre;1030
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;24 Jahre;1107
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 Jahre;1072
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;26 Jahre;1096
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;27 Jahre;1095
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;28 Jahre;1052
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;29 Jahre;953
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;30 Jahre;876
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;31 Jahre;893
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;32 Jahre;809
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;33 Jahre;784
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;34 Jahre;832
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;35 Jahre;888
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;36 Jahre;815
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;37 Jahre;735
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;38 Jahre;652
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;39 Jahre;636
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;40 Jahre;556
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;41 Jahre;525
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;42 Jahre;489
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;43 Jahre;446
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44 Jahre;444
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 Jahre;392
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;46 Jahre;359
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;47 Jahre;369
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;48 Jahre;306
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;49 Jahre;271
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;50 Jahre;239
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;51 Jahre;242
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;52 Jahre;248
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;53 Jahre;283
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;54 Jahre;244
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;55 Jahre;271
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;56 Jahre;276
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;57 Jahre;293
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;58 Jahre;300
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;59 Jahre;309
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 Jahre;320
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;61 Jahre;326
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;62 Jahre;298
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;63 Jahre;313
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;64 Jahre;343
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre;303
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;66 Jahre;278
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;67 Jahre;262
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;68 Jahre;280
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;69 Jahre;273
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;70 Jahre;253
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;71 Jahre;239
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;72 Jahre;248
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;73 Jahre;265
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;74 Jahre;225
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;75 Jahre;252
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;76 Jahre;208
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;77 Jahre;189
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;78 Jahre;156
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;79 Jahre;180
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;80 Jahre;245
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;81 Jahre;232
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;82 Jahre;244
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;83 Jahre;333
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;84 Jahre;363
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;85 Jahre u.älter;2743
2024;StB 0 Altstadt;02 Johannstadt;0 Jahre;219
2024;StB 0 Altstadt;02 Johannstadt;1 Jahre;198
2024;StB 0 Altstadt;02 Johannstadt;2 Jahre;238
2024;StB 0 Altstadt;02 Johannstadt;3 Jahre;248
2024;StB 0 Altstadt;02 Johannstadt;4 Jahre;248
2024;StB 0 Altstadt;02 Johannstadt;5 Jahre;225
2024;StB 0 Altstadt;02 Johannstadt;6 Jahre;217
2024;StB 0 Altstadt;02 Johannstadt;7 Jahre;239
2024;StB 0 Altstadt;02 Johannstadt;8 Jahre;221
2024;StB 0 Altstadt;02 Johannstadt;9 Jahre;221
2024;StB 0 Altstadt;02 Johannstadt;10 Jahre;188
2024;StB 0 Altstadt;02 Johannstadt;11 Jahre;198
2024;StB 0 Altstadt;02 Johannstadt;12 Jahre;210
2024;StB 0 Altstadt;02 Johannstadt;13 Jahre;228
2024;StB 0 Altstadt;02 Johannstadt;14 Jahre;176
2024;StB 0 Altstadt;02 Johannstadt;15 Jahre;185
2024;StB 0 Altstadt;02 Johannstadt;16 Jahre;172
2024;StB 0 Altstadt;02 Johannstadt;17 Jahre;181
2024;StB 0 Altstadt;02 Johannstadt;18 Jahre;207
2024;StB 0 Altstadt;02 Johannstadt;19 Jahre;248
2024;StB 0 Altstadt;02 Johannstadt;20 Jahre;319
2024;StB 0 Altstadt;02 Johannstadt;21 Jahre;310
2024;StB 0 Altstadt;02 Johannstadt;22 Jahre;356
2024;StB 0 Altstadt;02 Johannstadt;23 Jahre;406
2024;StB 0 Altstadt;02 Johannstadt;24 Jahre;479
2024;StB 0 Altstadt;02 Johannstadt;25 Jahre;455
2024;StB 0 Altstadt;02 Johannstadt;26 Jahre;443
2024;StB 0 Altstadt;02 Johannstadt;27 Jahre;420
2024;StB 0 Altstadt;02 Johannstadt;28 Jahre;404
2024;StB 0 Altstadt;02 Johannstadt;29 Jahre;403
2024;StB 0 Altstadt;02 Johannstadt;30 Jahre;330
2024;StB 0 Altstadt;02 Johannstadt;31 Jahre;356
2024;StB 0 Altstadt;02 Johannstadt;32 Jahre;362
2024;StB 0 Altstadt;02 Johannstadt;33 Jahre;372
2024;StB 0 Altstadt;02 Johannstadt;34 Jahre;442
2024;StB 0 Altstadt;02 Johannstadt;35 Jahre;434
2024;StB 0 Altstadt;02 Johannstadt;36 Jahre;446
2024;StB 0 Altstadt;02 Johannstadt;37 Jahre;405
2024;StB 0 Altstadt;02 Johannstadt;38 Jahre;392
2024;StB 0 Altstadt;02 Johannstadt;39 Jahre;352
2024;StB 0 Altstadt;02 Johannstadt;40 Jahre;315
2024;StB 0 Altstadt;02 Johannstadt;41 Jahre;341
2024;StB 0 Altstadt;02 Johannstadt;42 Jahre;301
2024;StB 0 Altstadt;02 Johannstadt;43 Jahre;289
2024;StB 0 Altstadt;02 Johannstadt;44 Jahre;259
2024;StB 0 Altstadt;02 Johannstadt;45 Jahre;271
2024;StB 0 Altstadt;02 Johannstadt;46 Jahre;235
2024;StB 0 Altstadt;02 Johannstadt;47 Jahre;291
2024;StB 0 Altstadt;02 Johannstadt;48 Jahre;197
2024;StB 0 Altstadt;02 Johannstadt;49 Jahre;199
2024;StB 0 Altstadt;02 Johannstadt;50 Jahre;204
2024;StB 0 Altstadt;02 Johannstadt;51 Jahre;208
2024;StB 0 Altstadt;02 Johannstadt;52 Jahre;216
2024;StB 0 Altstadt;02 Johannstadt;53 Jahre;217
2024;StB 0 Altstadt;02 Johannstadt;54 Jahre;263
2024;StB 0 Altstadt;02 Johannstadt;55 Jahre;233
2024;StB 0 Altstadt;02 Johannstadt;56 Jahre;216
2024;StB 0 Altstadt;02 Johannstadt;57 Jahre;235
2024;StB 0 Altstadt;02 Johannstadt;58 Jahre;236
2024;StB 0 Altstadt;02 Johannstadt;59 Jahre;261
2024;StB 0 Altstadt;02 Johannstadt;60 Jahre;251
2024;StB 0 Altstadt;02 Johannstadt;61 Jahre;244
2024;StB 0 Altstadt;02 Johannstadt;62 Jahre;260
2024;StB 0 Altstadt;02 Johannstadt;63 Jahre;221
2024;StB 0 Altstadt;02 Johannstadt;64 Jahre;267
2024;StB 0 Altstadt;02 Johannstadt;65 Jahre;244
2024;StB 0 Altstadt;02 Johannstadt;66 Jahre;216
2024;StB 0 Altstadt;02 Johannstadt;67 Jahre;204
2024;StB 0 Altstadt;02 Johannstadt;68 Jahre;220
2024;StB 0 Altstadt;02 Johannstadt;69 Jahre;259
2024;StB 0 Altstadt;02 Johannstadt;70 Jahre;254
2024;StB 0 Altstadt;02 Johannstadt;71 Jahre;250
2024;StB 0 Altstadt;02 Johannstadt;72 Jahre;266
2024;StB 0 Altstadt;02 Johannstadt;73 Jahre;281
2024;StB 0 Altstadt;02 Johannstadt;74 Jahre;269
2024;StB 0 Altstadt;02 Johannstadt;75 Jahre;283
2024;StB 0 Altstadt;02 Johannstadt;76 Jahre;212
2024;StB 0 Altstadt;02 Johannstadt;77 Jahre;271
2024;StB 0 Altstadt;02 Johannstadt;78 Jahre;210
2024;StB 0 Altstadt;02 Johannstadt;79 Jahre;285
2024;StB 0 Altstadt;02 Johannstadt;80 Jahre;395
2024;StB 0 Altstadt;02 Johannstadt;81 Jahre;369
2024;StB 0 Altstadt;02 Johannstadt;82 Jahre;334
2024;StB 0 Altstadt;02 Johannstadt;83 Jahre;422
2024;StB 0 Altstadt;02 Johannstadt;84 Jahre;390
2024;StB 0 Altstadt;02 Johannstadt;85 Jahre u.älter;2198
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Jahre;343
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Jahre;364
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Jahre;427
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 Jahre;438
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;4 Jahre;420
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;5 Jahre;464
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;6 Jahre;466
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;7 Jahre;441
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;8 Jahre;403
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;9 Jahre;444
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;10 Jahre;430
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;11 Jahre;406
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;12 Jahre;413
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;13 Jahre;393
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;14 Jahre;404
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;15 Jahre;406
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;16 Jahre;396
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;17 Jahre;396
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;18 Jahre;417
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;19 Jahre;389
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;20 Jahre;474
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;21 Jahre;460
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;22 Jahre;518
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;23 Jahre;573
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;24 Jahre;685
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;25 Jahre;786
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;26 Jahre;779
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;27 Jahre;832
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;28 Jahre;918
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;29 Jahre;833
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;30 Jahre;847
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;31 Jahre;847
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;32 Jahre;770
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;33 Jahre;783
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;34 Jahre;977
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;35 Jahre;948
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;36 Jahre;928
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;37 Jahre;906
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;38 Jahre;836
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;39 Jahre;782
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;40 Jahre;769
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;41 Jahre;730
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;42 Jahre;706
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;43 Jahre;622
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;44 Jahre;680
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;45 Jahre;691
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;46 Jahre;632
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;47 Jahre;651
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;48 Jahre;551
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;49 Jahre;502
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;50 Jahre;489
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;51 Jahre;428
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;52 Jahre;433
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;53 Jahre;505
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;54 Jahre;478
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;55 Jahre;478
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;56 Jahre;442
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;57 Jahre;462
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;58 Jahre;397
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;59 Jahre;376
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;60 Jahre;365
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;61 Jahre;336
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;62 Jahre;307
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;63 Jahre;310
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;64 Jahre;276
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;65 Jahre;258
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;66 Jahre;224
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;67 Jahre;193
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;68 Jahre;196
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;69 Jahre;208
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;70 Jahre;193
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;71 Jahre;190
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;72 Jahre;180
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;73 Jahre;166
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;74 Jahre;181
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;75 Jahre;166
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;76 Jahre;122
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;77 Jahre;134
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;78 Jahre;108
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;79 Jahre;123
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;80 Jahre;181
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;81 Jahre;189
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;82 Jahre;145
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;83 Jahre;174
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;84 Jahre;162
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;85 Jahre u.älter;855
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Jahre;117
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Jahre;119
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Jahre;157
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 Jahre;150
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;4 Jahre;149
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;5 Jahre;146
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;6 Jahre;145
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;7 Jahre;149
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;8 Jahre;155
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;9 Jahre;138
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;10 Jahre;128
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;11 Jahre;148
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;12 Jahre;152
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;13 Jahre;134
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;14 Jahre;115
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;15 Jahre;121
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;16 Jahre;124
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;17 Jahre;104
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;18 Jahre;134
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;19 Jahre;141
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;20 Jahre;192
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;21 Jahre;189
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;22 Jahre;266
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;23 Jahre;270
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;24 Jahre;279
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;25 Jahre;302
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;26 Jahre;336
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;27 Jahre;355
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;28 Jahre;325
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;29 Jahre;302
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;30 Jahre;317
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;31 Jahre;281
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;32 Jahre;265
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;33 Jahre;285
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;34 Jahre;410
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;35 Jahre;391
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;36 Jahre;362
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;37 Jahre;326
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;38 Jahre;301
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;39 Jahre;279
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;40 Jahre;276
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;41 Jahre;275
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;42 Jahre;282
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;43 Jahre;238
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;44 Jahre;234
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;45 Jahre;253
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;46 Jahre;257
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;47 Jahre;213
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;48 Jahre;195
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;49 Jahre;163
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;50 Jahre;129
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;51 Jahre;132
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;52 Jahre;131
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;53 Jahre;144
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;54 Jahre;115
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;55 Jahre;101
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;56 Jahre;107
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;57 Jahre;108
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;58 Jahre;95
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;59 Jahre;83
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;60 Jahre;96
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;61 Jahre;98
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;62 Jahre;80
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;63 Jahre;87
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;64 Jahre;78
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;65 Jahre;59
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;66 Jahre;67
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;67 Jahre;59
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;68 Jahre;64
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;69 Jahre;52
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;70 Jahre;54
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;71 Jahre;47
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;72 Jahre;49
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;73 Jahre;53
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;74 Jahre;55
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;75 Jahre;36
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;76 Jahre;31
