Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;22814;0;17484
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3489;1318;1318
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;2226;1164;582
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;856;542;161
2016;StB 0 Altstadt;02 Johannstadt;0 Kinder;16751;0;11991
2016;StB 0 Altstadt;02 Johannstadt;1 Kind;2822;1033;1033
2016;StB 0 Altstadt;02 Johannstadt;2 Kinder;2517;1304;652
2016;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;970;610;189
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;22219;0;17562
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6033;2212;2212
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;6075;3142;1571
2016;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;2185;1368;431
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7607;0;6140
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2102;794;794
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;2067;1076;538
2016;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;588;372;117
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14472;0;11147
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4608;1703;1703
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;3883;2018;1009
2016;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1306;841;258
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17601;0;12477
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5267;1927;1927
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4463;2316;1158
2016;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1384;868;274
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18122;0;11113
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;4934;1675;1675
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5620;2836;1418
2016;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1937;1192;373
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19431;0;11877
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5401;1836;1836
