Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2018;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;192
2018;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;176
2018;StB 0 Altstadt;02 Johannstadt;männlich;136
2018;StB 0 Altstadt;02 Johannstadt;weiblich;125
2018;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;337
2018;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;280
2018;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;102
2018;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;89
2018;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;176
2018;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;185
2018;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;165
2018;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;138
2018;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;131
2018;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;126
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;122
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;142
2018;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;333
2018;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;306
2018;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;198
2018;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;182
2018;StB 6 Leuben;10 StB Leuben;männlich;177
2018;StB 6 Leuben;10 StB Leuben;weiblich;158
2018;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;101
2018;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;97
2018;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;142
2018;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;150
2018;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;171
2018;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;153
2018;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;146
2018;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;129
2018;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;315
2018;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;296
2018;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;109
2018;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;80
2018;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;90
2018;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;94
