Jahr;Stadtraum;Note für Wohnung;Note für Wohngegend;Note für Stadt
2018;05 Mickten, Kaditz, Trachau;1,8;1,9;2
2018;06 StB Klotzsche und nördliche OS;1,7;1,6;2,1
2018;07 StB Loschwitz und OS Schönfeld-Weißig;1,7;1,5;1,8
2018;08 Blasewitz, Striesen;2;1,7;1,9
2018;09 Tolkewitz, Seidnitz, Gruna;1,9;1,9;1,9
2018;10 StB Leuben;1,9;1,9;2
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,2;2,7;2,2
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1,7;1,8;1,9
2018;13 Südvorstadt, Zschertnitz;2,2;2;1,9
2018;14 Mockritz, Coschütz, Plauen;1,8;1,7;1,9
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;1,9;2,1;2
2018;16 Gorbitz;2;2,6;1,8
2018;17 Briesnitz und westliche OS;1,6;1,6;2
2018;18 Dresden gesamt;1,9;1,9;2
2020;01 StB Altstadt ohne Johannstadt;2;2,1;1,9
2020;02 Johannstadt;2;1,9;1,9
2020;03 StB Neustadt ohne Leipziger Vorstadt;1,7;1,7;2
2020;04 Leipziger Vorstadt, Pieschen;1,9;1,8;1,9
2020;05 Mickten, Kaditz, Trachau;1,9;1,9;1,9
2020;06 StB Klotzsche und nördliche OS;1,6;1,5;1,9
2020;07 StB Loschwitz und OS Schönfeld-Weißig;1,6;1,5;2
2020;08 Blasewitz, Striesen;1,8;1,5;1,8
2020;09 Tolkewitz, Seidnitz, Gruna;2;2;1,9
2020;10 StB Leuben;1,8;1,7;1,9
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2;2,7;2
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1,7;1,7;1,8
2020;13 Südvorstadt, Zschertnitz;2;1,8;1,9
2020;14 Mockritz, Coschütz, Plauen;1,7;1,5;1,9
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;1,9;1,8;1,8
2020;16 Gorbitz;2,1;2,8;2
2020;17 Briesnitz und westliche OS;1,5;1,6;1,8
2020;18 Dresden gesamt;1,8;1,8;1,9
2022;01 StB Altstadt ohne Johannstadt;1,9;2,1;2
2022;02 Johannstadt;1,8;2;1,9
2022;03 StB Neustadt ohne Leipziger Vorstadt;1,8;1,6;2,1
2022;04 Leipziger Vorstadt, Pieschen;2;2;2,1
2022;05 Mickten, Kaditz, Trachau;1,7;1,9;2,1
2022;06 StB Klotzsche und nördliche OS;1,6;1,7;1,9
2022;07 StB Loschwitz und OS Schönfeld-Weißig;1,6;1,5;2
2022;08 Blasewitz, Striesen;1,7;1,5;1,9
2022;09 Tolkewitz, Seidnitz, Gruna;1,8;1,9;2
2022;10 StB Leuben;1,9;1,8;2,2
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,3;2,8;2,2
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1,7;1,8;2
2022;13 Südvorstadt, Zschertnitz;1,9;1,8;1,9
2022;14 Mockritz, Coschütz, Plauen;1,6;1,5;2
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;1,9;1,8;2
2022;16 Gorbitz;1,9;2,7;2
2022;17 Briesnitz und westliche OS;1,7;1,6;2,1
2022;18 Dresden gesamt;1,8;1,8;2
2024;01 StB Altstadt ohne Johannstadt;1,9;1,9;1,9
2024;02 Johannstadt;1,9;2,1;2
2024;03 StB Neustadt ohne Leipziger Vorstadt;1,8;1,7;2,1
2024;04 Leipziger Vorstadt, Pieschen;1,9;1,9;2,1
2024;05 Mickten, Kaditz, Trachau;1,8;1,9;2
2024;06 StB Klotzsche und nördliche OS;1,7;1,7;2,3
2024;07 StB Loschwitz und OS Schönfeld-Weißig;1,5;1,5;2,1
2024;08 Blasewitz, Striesen;1,7;1,5;1,9
2024;09 Tolkewitz, Seidnitz, Gruna;1,9;1,9;2
2024;10 StB Leuben;1,7;1,8;2
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,1;2,6;1,9
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1,7;1,7;2,1
2024;13 Südvorstadt, Zschertnitz;2;2;2
2024;14 Mockritz, Coschütz, Plauen;1,6;1,5;1,9
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;1,8;1,8;2,1
2024;16 Gorbitz;1,8;2,5;1,9
2024;17 Briesnitz und westliche OS;1,5;1,7;1,9
2024;18 Dresden gesamt;1,8;1,8;2
