Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2013;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;135
2013;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;144
2013;StB 0 Altstadt;02 Johannstadt;männlich;112
2013;StB 0 Altstadt;02 Johannstadt;weiblich;103
2013;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;294
2013;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;270
2013;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;103
2013;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;101
2013;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;215
2013;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;223
2013;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;169
2013;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;183
2013;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;126
2013;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;133
2013;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;153
2013;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;145
2013;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;331
2013;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;283
2013;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;197
2013;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;167
2013;StB 6 Leuben;10 StB Leuben;männlich;180
2013;StB 6 Leuben;10 StB Leuben;weiblich;151
2013;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;99
2013;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;103
2013;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;181
2013;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;177
2013;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;134
2013;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;116
2013;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;150
2013;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;135
2013;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;327
2013;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;274
2013;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;112
2013;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;84
2013;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;133
2013;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;123
