Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1795;1121;349
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;18933;0;13626
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3725;1313;1313
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;3754;1906;953
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;2210;1390;408
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;15484;0;10531
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;4044;1399;1399
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;4153;2104;1052
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;1354;829;261
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;26483;0;19620
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;7110;2546;2546
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;6294;3210;1605
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;2140;1314;416
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;13900;0;10438
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;2789;1050;1050
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;2631;1394;697
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;1865;1217;351
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;13990;0;8686
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;3937;1343;1343
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;4322;2188;1094
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;1255;772;246
