Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Genehmigungsjahr;Anzahl Gebäude;Wohnungen gesamt
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2019;7;33
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2020;5;12
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2021;6;21
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2023;6;39
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2024;6;53
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2025;4;20
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1992;5;15
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1993;1;1
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1994;5;17
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1995;1;1
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1996;9;86
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1997;5;50
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1998;16;264
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1999;5;29
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2000;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2001;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2002;3;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2003;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2005;4;5
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2006;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2007;7;6
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2008;9;15
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2009;5;6
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2010;7;18
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2011;2;35
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2012;4;21
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2013;3;10
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2014;6;55
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2015;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2016;19;161
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2017;21;198
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2018;7;69
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2019;5;9
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2020;24;345
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2021;10;232
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2022;1;1
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2023;1;37
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2024;5;181
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2025;4;24
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1992;2;22
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1993;5;27
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1994;1;14
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1995;7;56
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1996;16;215
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1997;34;344
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1998;14;173
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1999;25;278
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2000;13;101
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2001;8;67
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2002;15;127
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2003;6;41
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2004;10;80
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2005;9;59
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2006;21;174
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2007;26;247
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2008;14;97
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2009;10;57
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2010;16;86
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2011;15;177
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2012;9;80
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2013;9;62
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2014;8;38
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2015;16;159
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2016;9;93
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2017;7;44
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2018;1;10
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2019;8;51
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2020;6;71
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2021;8;44
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2022;7;47
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2023;2;16
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2024;8;68
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2025;8;66
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2026;5;36
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1992;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1994;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1996;5;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1997;13;244
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1998;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1999;9;103
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2000;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2001;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2002;3;71
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2003;3;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2004;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2005;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2006;2;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2008;27;42
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2009;4;4
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2010;31;78
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2011;2;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2012;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2013;29;26
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2014;69;105
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2015;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2016;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2017;7;60
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2018;10;56
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2019;5;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2020;6;72
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2021;21;208
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2022;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2023;6;55
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2024;16;207
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2025;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2026;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1992;1;2
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1993;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1994;2;142
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1995;1;2
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1996;9;115
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1997;3;18
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1999;6;22
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2000;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2001;3;20
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2002;5;42
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2003;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2004;8;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2005;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2006;2;32
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2007;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2008;6;3
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2009;14;234
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2010;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2011;5;7
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2012;2;20
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2013;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2014;2;11
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2016;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2017;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2018;10;37
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2019;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2020;9;65
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2022;2;3
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2023;2;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2024;5;61
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2025;2;4
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1992;3;30
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1993;8;51
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1994;15;147
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1995;11;165
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1996;11;157
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1997;23;196
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1998;4;17
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1999;7;7
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2000;3;32
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2001;3;6
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2004;6;2
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2005;5;5
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2006;2;1
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2008;2;4
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2009;1;0
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2011;2;4
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2012;9;15
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2013;7;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2014;2;10
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2015;8;16
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2016;13;131
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2017;5;71
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2018;3;6
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2019;9;32
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2020;5;38
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2021;3;8
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2022;5;53
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2023;4;37
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2024;2;0
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2025;8;62
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1992;8;43
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1993;11;69
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1994;9;56
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1995;25;216
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1996;23;238
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1997;36;368
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1998;27;259
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1999;20;162
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2000;13;102
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2001;13;95
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2002;9;79
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2003;10;64
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2004;14;114
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2005;26;141
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2006;10;62
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2007;15;94
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2008;13;109
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2009;17;123
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2010;4;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2011;5;29
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2012;13;86
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2013;7;65
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2014;12;71
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2015;5;38
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2016;15;77
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2017;5;59
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2018;7;85
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2019;8;58
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2020;3;11
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2021;2;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2022;1;1
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2023;10;100
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2024;4;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2025;4;23
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2026;4;27
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1992;11;157
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1993;6;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1994;23;254
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1995;40;507
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1996;42;293
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1997;38;328
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1998;21;153
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1999;10;52
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2000;6;7
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2001;7;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2002;3;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2003;3;1
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2004;4;3
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2005;11;11
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2006;6;6
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2007;7;3
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2008;16;12
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2009;12;9
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2010;9;6
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2011;7;3
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2012;4;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2013;12;9
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2014;4;13
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2015;16;71
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2016;20;189
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2017;14;95
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2018;10;95
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2019;16;207
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2020;16;41
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2021;16;190
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2022;3;16
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2023;34;545
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2024;3;318
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2025;14;96
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2026;2;1
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1992;1;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1993;23;130
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1994;12;65
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1995;9;79
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1996;16;182
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1997;24;212
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1998;16;126
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1999;13;155
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2000;12;81
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2001;25;170
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2002;3;20
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2003;1;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2004;10;69
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2005;3;19
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2006;19;124
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2007;9;78
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2008;9;29
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2009;23;155
