Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Genehmigungsjahr;Anzahl Gebäude;Wohnungen gesamt
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2018;2;170
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2019;3;81
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2020;3;58
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2021;6;109
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2022;1;49
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2024;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2025;24;674
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1993;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1994;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1999;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2000;9;95
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2001;4;45
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2002;24;245
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2003;42;684
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2004;20;345
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2005;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2007;7;432
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2008;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2010;3;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2012;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2016;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2017;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2018;4;160
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2019;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2022;6;135
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2024;3;20
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2025;2;73
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2026;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1993;6;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;8;57
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1995;7;114
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;9;69
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;6;13
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;8;63
