Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Familienstand;Geschlecht;Anzahl Einwohner
2018;01 Innere Altstadt;StB 0 Altstadt;ledig;männlich;492
2018;01 Innere Altstadt;StB 0 Altstadt;ledig;weiblich;393
2018;01 Innere Altstadt;StB 0 Altstadt;verheiratet;männlich;283
2018;01 Innere Altstadt;StB 0 Altstadt;verheiratet;weiblich;268
2018;01 Innere Altstadt;StB 0 Altstadt;verwitwet;männlich;36
2018;01 Innere Altstadt;StB 0 Altstadt;verwitwet;weiblich;138
2018;01 Innere Altstadt;StB 0 Altstadt;geschieden;männlich;37
2018;01 Innere Altstadt;StB 0 Altstadt;geschieden;weiblich;71
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;männlich;1777
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;weiblich;1373
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;männlich;819
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;weiblich;797
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;männlich;84
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;weiblich;497
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;männlich;208
2018;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;weiblich;334
2018;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;männlich;2528
2018;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;weiblich;1762
2018;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;männlich;1167
2018;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;weiblich;1154
2018;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;männlich;141
2018;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;weiblich;593
2018;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;männlich;242
2018;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;weiblich;355
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;männlich;2414
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;weiblich;1923
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;männlich;1486
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;weiblich;1471
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;männlich;169
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;weiblich;768
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;männlich;325
2018;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;weiblich;563
2018;05 Friedrichstadt;StB 0 Altstadt;ledig;männlich;3983
2018;05 Friedrichstadt;StB 0 Altstadt;ledig;weiblich;2753
2018;05 Friedrichstadt;StB 0 Altstadt;verheiratet;männlich;944
2018;05 Friedrichstadt;StB 0 Altstadt;verheiratet;weiblich;884
2018;05 Friedrichstadt;StB 0 Altstadt;verwitwet;männlich;80
2018;05 Friedrichstadt;StB 0 Altstadt;verwitwet;weiblich;347
2018;05 Friedrichstadt;StB 0 Altstadt;geschieden;männlich;256
2018;05 Friedrichstadt;StB 0 Altstadt;geschieden;weiblich;333
2018;06 Johannstadt-Nord;StB 0 Altstadt;ledig;männlich;3247
2018;06 Johannstadt-Nord;StB 0 Altstadt;ledig;weiblich;3017
2018;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;männlich;2082
2018;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;weiblich;2103
2018;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;männlich;213
2018;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;weiblich;872
2018;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;männlich;346
2018;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;weiblich;609
2018;07 Johannstadt-Süd;StB 0 Altstadt;ledig;männlich;2443
2018;07 Johannstadt-Süd;StB 0 Altstadt;ledig;weiblich;2364
2018;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;männlich;2472
2018;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;weiblich;2489
2018;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;männlich;290
2018;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;weiblich;1224
2018;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;männlich;342
2018;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;weiblich;835
