Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2017;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;1. Quartal;03;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;1. Quartal;03;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;1. Quartal;03;32-Herst. von sonstigen Waren;5;568;2,4;83;146;1259;2217;4266;-;-;7510;0,8;2433;-;4283
2017;1. Quartal;03;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1135;4,7;179;158;4053;3571;12512;-;-;11023;2,4;12245;-;10789
2017;2. Quartal;04;Verarbeitendes Gewerbe gesamt;118;23987;100;3057;127;97466;4063;453110;219784;148011;18889;100;439614;216886;18327
2017;2. Quartal;04;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1617;6,7;200;124;4176;2583;16603;-;-;10267;3,7;15742;-;9735
2017;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;4;347;1,4;43;124;891;2568;8206;3341;2293;23648;1,8;7160;3136;20634
2017;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;6;1612;6,7;209;130;6116;3794;25416;-;-;15766;5,6;23948;-;14856
2017;2. Quartal;04;22-Herst. von Gummi- und Kunststoffwaren;3;346;1,4;43;124;783;2263;4331;-;-;12517;1;4326;-;12503
2017;2. Quartal;04;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;25-Herst. von Metallerzeugnissen;11;1165;4,9;148;127;2607;2238;9166;1090;777;7867;2;9112;1063;7821
2017;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8132;33,9;1058;130;40745;5010;212343;-;-;26112;46,9;208679;-;25661
2017;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;11;1579;6,6;204;129;5683;3599;22140;10617;1449;14021;4,9;21663;10425;13719
2017;2. Quartal;04;28-Maschinenbau;22;4198;17,5;549;131;17623;4198;36411;21918;3967;8673;8;35116;21122;8365
2017;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;04;32-Herst. von sonstigen Waren;5;574;2,4;69;120;1258;2192;3076;-;-;5358;0,7;1733;-;3019
2017;2. Quartal;04;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1127;4,7;150;133;3990;3540;10809;-;-;9590;2,4;10448;-;9271
2017;2. Quartal;05;Verarbeitendes Gewerbe gesamt;118;23977;100;3361;140;95324;3976;493260;243839;152347;20572;100;478989;240395;19977
2017;2. Quartal;05;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1599;6,7;210;131;4124;2579;17783;-;-;11121;3,6;16764;-;10484
2017;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;4;346;1,4;46;133;905;2616;8640;3078;2017;24971;1,8;7209;3040;20835
2017;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;6;1616;6,7;227;140;6331;3918;29474;-;-;18238;6;27576;-;17064
2017;2. Quartal;05;22-Herst. von Gummi- und Kunststoffwaren;3;346;1,4;47;136;801;2315;5259;-;-;15199;1,1;5239;-;15142
2017;2. Quartal;05;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;25-Herst. von Metallerzeugnissen;11;1163;4,9;167;144;2797;2405;10635;1304;896;9144;2,2;10591;1268;9107
2017;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8142;34;1144;141;39005;4791;210514;121322;103939;25855;42,7;206129;119840;25317
2017;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;11;1567;6,5;230;147;5953;3799;26482;13621;2187;16899;5,4;26057;13422;16629
2017;2. Quartal;05;28-Maschinenbau;22;4207;17,5;614;146;15773;3749;52466;33771;5926;12471;10,6;50789;32744;12072
2017;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;05;32-Herst. von sonstigen Waren;5;570;2,4;77;135;1278;2242;4334;-;-;7603;0,9;2694;-;4726
2017;2. Quartal;05;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1129;4,7;161;143;4028;3568;13771;-;-;12197;2,8;13341;-;11817
2017;2. Quartal;06;Verarbeitendes Gewerbe gesamt;118;24037;100;3294;137;97051;4038;452869;204047;110736;18840;100;440578;200176;18329
2017;2. Quartal;06;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1581;6,6;202;128;4765;3014;15564;-;-;9844;3,4;14645;-;9263
2017;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;4;350;1,5;49;140;1006;2874;7505;3515;2293;21442;1,7;6213;3343;17751
2017;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;6;1625;6,8;243;150;6923;4260;27631;-;-;17003;6,1;26591;-;16364
2017;2. Quartal;06;22-Herst. von Gummi- und Kunststoffwaren;3;350;1,5;46;131;897;2563;4797;-;-;13705;1,1;4789;-;13683
2017;2. Quartal;06;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;25-Herst. von Metallerzeugnissen;11;1175;4,9;162;138;2987;2542;12501;-;-;10639;2,8;12470;-;10613
2017;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8133;33,8;1106;136;39504;4857;179026;93852;66137;22012;39,5;175153;92231;21536
2017;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;11;1598;6,6;230;144;5826;3646;19756;7611;2560;12362;4,4;19369;7461;12121
2017;2. Quartal;06;28-Maschinenbau;22;4237;17,6;602;142;15976;3771;64966;43174;9026;15333;14,3;63323;42056;14945
2017;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;2. Quartal;06;32-Herst. von sonstigen Waren;5;567;2,4;74;131;1702;3002;4036;-;-;7118;0,9;2242;-;3954
2017;2. Quartal;06;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1124;4,7;157;140;4089;3638;15472;-;-;13765;3,4;15175;-;13501
2017;3. Quartal;07;Verarbeitendes Gewerbe gesamt;118;24096;100;3062;127;86409;3586;481920;224726;156398;20000;100;467193;221642;19389
2017;3. Quartal;07;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1567;6,5;194;124;4090;2610;15932;-;-;10167;3,3;14999;-;9572
2017;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;4;352;1,5;46;131;1057;3003;7202;2563;1779;20460;1,5;5875;2466;16690
2017;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;6;1620;6,7;219;135;6104;3768;29202;-;-;18025;6,1;26976;-;16652
2017;3. Quartal;07;22-Herst. von Gummi- und Kunststoffwaren;3;346;1,4;45;130;804;2324;4526;-;-;13080;0,9;4490;-;12977
2017;3. Quartal;07;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;25-Herst. von Metallerzeugnissen;11;1171;4,9;150;128;2884;2463;24083;1153;910;20566;5;24025;1151;20517
2017;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8186;34;1038;127;32652;3989;217738;133145;111330;26598;45,2;212965;132255;26016
2017;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;11;1589;6,6;222;140;5721;3600;16127;5965;2777;10149;3,3;15528;5817;9772
2017;3. Quartal;07;28-Maschinenbau;22;4219;17,5;565;134;15826;3751;45551;22260;7515;10796;9,5;43997;21228;10428
2017;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;07;32-Herst. von sonstigen Waren;5;593;2,5;71;120;1320;2226;3557;-;-;5998;0,7;1881;-;3172
2017;3. Quartal;07;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1125;4,7;146;130;3888;3456;16638;-;-;14789;3,5;16268;-;14460
2017;3. Quartal;08;Verarbeitendes Gewerbe gesamt;118;24257;100;3458;143;86657;3572;530470;270067;188060;21868;100;518124;266811;21360
2017;3. Quartal;08;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1578;6,5;219;139;4119;2610;17284;-;-;10953;3,3;16366;-;10371
2017;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;4;365;1,5;55;151;908;2488;7674;3045;1999;21024;1,4;6507;2977;17827
2017;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;6;1623;6,7;228;140;6049;3727;28997;-;-;17866;5,5;27791;-;17123
2017;3. Quartal;08;22-Herst. von Gummi- und Kunststoffwaren;3;346;1,4;46;133;931;2691;4438;-;-;12826;0,8;4423;-;12783
2017;3. Quartal;08;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;25-Herst. von Metallerzeugnissen;11;1188;4,9;174;146;2813;2368;12873;1109;746;10835;2,4;12864;1108;10828
2017;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8228;33,9;1171;142;34568;4201;236514;153347;127644;28745;44,6;232499;152266;28257
2017;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;11;1612;6,6;243;151;5744;3563;21282;7372;2971;13202;4;20849;7128;12934
2017;3. Quartal;08;28-Maschinenbau;22;4265;17,6;627;147;14890;3491;54519;28871;5298;12782;10,3;53005;27870;12428
2017;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;08;32-Herst. von sonstigen Waren;5;602;2,5;80;133;1352;2246;3704;-;-;6152;0,7;2007;-;3334
2017;3. Quartal;08;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1122;4,6;164;146;3956;3526;31997;16208;15875;28517;6;31614;16208;28176
2017;3. Quartal;09;Verarbeitendes Gewerbe gesamt;118;24380;100;3292;135;84683;3473;529531;272795;157306;21719;100;513551;268286;21064
2017;3. Quartal;09;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1573;6,5;209;133;4206;2674;18442;-;-;11724;3,5;17307;-;11003
2017;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;4;352;1,4;49;139;905;2571;9680;3010;2175;27500;1,8;8454;2773;24017
2017;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;6;1638;6,7;202;123;6203;3787;29723;-;-;18145;5,6;28444;-;17365
2017;3. Quartal;09;22-Herst. von Gummi- und Kunststoffwaren;3;337;1,4;45;134;767;2276;4333;-;-;12857;0,8;4319;-;12816
2017;3. Quartal;09;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;25-Herst. von Metallerzeugnissen;11;1181;4,8;161;136;2725;2307;11206;1042;527;9488;2,1;11141;1030;9434
2017;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8308;34,1;1129;136;32499;3912;224142;145750;113815;26979;42,3;219387;143431;26407
2017;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;11;1605;6,6;229;143;5776;3599;35440;-;-;22080;6,7;35001;-;21807
2017;3. Quartal;09;28-Maschinenbau;22;4295;17,6;600;140;14993;3491;55804;31841;3628;12992;10,5;54406;30936;12667
2017;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;3. Quartal;09;32-Herst. von sonstigen Waren;5;607;2,5;78;129;1326;2185;3843;-;-;6331;0,7;2096;-;3453
2017;3. Quartal;09;33-Rep. + Install. v. Maschinen + Ausrüstungen;11;1119;4,6;162;145;3893;3479;16551;-;-;14790;3,1;16281;-;14550
2017;4. Quartal;10;Verarbeitendes Gewerbe gesamt;117;24548;100;3147;128;87695;3572;443485;210630;130905;18066;100;428910;208065;17472
2017;4. Quartal;10;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1596;6,5;203;127;4301;2695;19746;-;-;12372;4,5;18605;-;11657
2017;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;4;352;1,4;48;136;1041;2957;9344;2948;1593;26545;2,1;8049;2858;22866
2017;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;6;1642;6,7;177;108;6092;3710;33852;-;-;20616;7,6;31154;-;18973
2017;4. Quartal;10;22-Herst. von Gummi- und Kunststoffwaren;3;338;1,4;43;127;901;2666;4277;-;-;12653;1;4270;-;12633
2017;4. Quartal;10;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;25-Herst. von Metallerzeugnissen;11;1175;4,8;152;129;2733;2326;10182;-;-;8665;2,3;10101;-;8597
2017;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8366;34,1;1093;131;33943;4057;177854;103543;80653;21259;40,1;175253;103340;20948
2017;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;11;1624;6,6;220;135;5737;3533;18492;10480;4737;11386;4,2;17880;10268;11010
2017;4. Quartal;10;28-Maschinenbau;22;4338;17,7;588;136;15911;3668;57168;38160;4259;13178;12,9;55453;37037;12783
2017;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;10;32-Herst. von sonstigen Waren;5;601;2,4;73;121;1478;2459;3687;-;-;6134;0,8;1871;-;3113
2017;4. Quartal;10;33-Rep. + Install. v. Maschinen + Ausrüstungen;10;1067;4,3;142;133;3791;3553;10070;-;-;9437;2,3;9918;-;9295
2017;4. Quartal;11;Verarbeitendes Gewerbe gesamt;117;24596;100;3444;140;118438;4815;555874;288289;172260;22600;100;538088;283956;21877
2017;4. Quartal;11;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1583;6,4;215;136;5700;3601;20426;-;-;12903;3,7;19041;-;12028
2017;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;4;359;1,5;50;139;1243;3462;9076;2817;1977;25281;1,6;7741;2733;21563
2017;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;6;1635;6,6;218;133;10662;6521;37230;-;-;22770;6,7;35832;-;21916
2017;4. Quartal;11;22-Herst. von Gummi- und Kunststoffwaren;3;339;1,4;45;133;905;2670;4190;-;-;12359;0,8;4183;-;12339
2017;4. Quartal;11;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;25-Herst. von Metallerzeugnissen;11;1176;4,8;171;145;3187;2710;11038;1162;827;9386;2;10970;1124;9328
2017;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8404;34,2;1181;141;45766;5446;224349;135128;109561;26695;40,4;217897;134114;25928
2017;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;11;1618;6,6;235;145;6269;3875;21721;10191;3105;13424;3,9;20859;9808;12892
2017;4. Quartal;11;28-Maschinenbau;22;4348;17,7;630;145;20626;4744;73768;48697;9535;16965;13,3;71429;47031;16428
2017;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;11;32-Herst. von sonstigen Waren;5;603;2,5;80;133;1487;2466;4428;-;-;7343;0,8;2287;-;3793
2017;4. Quartal;11;33-Rep. + Install. v. Maschinen + Ausrüstungen;10;1075;4,4;159;148;5101;4745;13198;-;-;12277;2,4;12845;-;11949
2017;4. Quartal;12;Verarbeitendes Gewerbe gesamt;117;24750;100;2924;118;97849;3953;817071;553783;382219;33012;100;800556;549758;32346
2017;4. Quartal;12;10-Herst. von Nahrungs- und Futtermitteln;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1589;6,4;186;117;3980;2505;17317;-;-;10898;2,1;16373;-;10304
2017;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;4;354;1,4;37;105;989;2794;7401;2712;1336;20906;0,9;6286;2615;17757
2017;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;6;1633;6,6;189;116;6639;4066;23840;-;-;14598;2,9;21110;-;12927
2017;4. Quartal;12;22-Herst. von Gummi- und Kunststoffwaren;3;337;1,4;38;113;752;2231;3696;-;-;10967;0,5;3494;-;10368
2017;4. Quartal;12;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;25-Herst. von Metallerzeugnissen;11;1171;4,7;132;113;2896;2473;14475;1143;813;12361;1,8;14463;1138;12351
2017;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;23;8502;34,4;1042;123;40761;4794;460721;-;-;54189;56,4;457007;-;53753
2017;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;11;1611;6,5;208;129;5902;3664;25532;9694;1296;15848;3,1;25003;9579;15520
2017;4. Quartal;12;28-Maschinenbau;22;4359;17,6;533;122;16869;3870;138802;111960;7253;31842;17;135746;109722;31142
2017;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;4. Quartal;12;32-Herst. von sonstigen Waren;5;605;2,4;69;114;1407;2326;4528;-;-;7484;0,6;2105;-;3479
2017;4. Quartal;12;33-Rep. + Install. v. Maschinen + Ausrüstungen;10;1083;4,4;136;126;4652;4295;22576;-;-;20845;2,8;22346;-;20633
2018;1. Quartal;01;Verarbeitendes Gewerbe gesamt;121;24733;100;3639;147;90957;3678;394721;151695;82063;15959;100;381827;147367;15438
2018;1. Quartal;01;10-Herst. von Nahrungs- und Futtermitteln;7;598;2,4;79;132;1353;2263;7108;933;793;11886;1,8;6833;933;11426
2018;1. Quartal;01;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1575;6,4;224;142;4222;2681;15675;-;-;9952;4;14675;-;9317
2018;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;4;350;1,4;55;157;906;2589;7633;2969;2132;21808;1,9;6148;2837;17566
2018;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;6;1623;6,6;239;147;6323;3896;29158;-;-;17965;7,4;27583;-;16995
2018;1. Quartal;01;22-Herst. von Gummi- und Kunststoffwaren;3;336;1,4;49;146;858;2554;4573;-;-;13610;1,2;4541;-;13515
2018;1. Quartal;01;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;25-Herst. von Metallerzeugnissen;11;1178;4,8;176;149;2874;2440;13656;-;-;11592;3,5;13645;-;11583
2018;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;24;8475;34,3;1264;149;35847;4230;139969;55121;31237;16515;35,5;136911;54235;16155
2018;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;12;1663;6,7;247;149;5890;3542;16796;6597;3832;10099;4,3;16394;6519;9858
2018;1. Quartal;01;28-Maschinenbau;23;4351;17,6;678;156;16178;3718;44059;20311;3614;10126;11,2;41364;18249;9507
2018;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;31-Herst. von Möbeln;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;01;32-Herst. von sonstigen Waren;5;603;2,4;81;134;1343;2227;3092;-;-;5127;0,8;1425;-;2363
2018;1. Quartal;01;33-Rep. + Install. v. Maschinen + Ausrüstungen;9;1034;4,2;152;147;4111;3976;14459;-;-;13983;3,7;14219;-;13751
2018;1. Quartal;02;Verarbeitendes Gewerbe gesamt;121;24809;100;3273;132;89922;3625;468780;237538;141464;18895;100;453910;233609;18296
2018;1. Quartal;02;10-Herst. von Nahrungs- und Futtermitteln;7;608;2,5;72;118;1359;2235;7702;1223;1157;12667;1,6;7306;1208;12016
2018;1. Quartal;02;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;02;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;02;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;1. Quartal;02;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1551;6,3;197;127;4326;2789;16852;-;-;10865;3,6;15844;-;10215
2018;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;4;354;1,4;47;133;910;2571;7372;2612;1184;20824;1,6;6150;2469;17373
