Jahr;Stadtraum;Eigentümer des Gebäudes;Anteil in %
2002;18 Dresden gesamt;Eigentümer Stadt;19
2002;18 Dresden gesamt;Eigentümer privat;41,9
2005;01 StB Altstadt ohne Johannstadt;Eigennutzung;0,3
2005;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;44,7
2005;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;40,3
2005;01 StB Altstadt ohne Johannstadt;Eigentümer privat;14,6
2005;02 Johannstadt;Eigennutzung;0,6
2005;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46,8
2005;02 Johannstadt;Eigentümer Stadt;33,1
2005;02 Johannstadt;Eigentümer privat;19,4
2005;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;7,2
2005;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;8,1
2005;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;20,9
2005;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;63,8
2005;04 Leipziger Vorstadt, Pieschen;Eigennutzung;5,8
2005;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;17,6
2005;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;7
2005;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;69,6
2005;05 Mickten, Kaditz, Trachau;Eigennutzung;9,9
2005;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;33,5
2005;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;6,3
2005;05 Mickten, Kaditz, Trachau;Eigentümer privat;50,3
2005;06 StB Klotzsche und nördliche OS;Eigennutzung;40,4
2005;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;17,5
2005;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;4,5
2005;06 StB Klotzsche und nördliche OS;Eigentümer privat;37,6
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;44,7
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;2,9
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;1
2005;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;51,4
2005;08 Blasewitz, Striesen;Eigennutzung;6
2005;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;20,1
2005;08 Blasewitz, Striesen;Eigentümer Stadt;12,6
2005;08 Blasewitz, Striesen;Eigentümer privat;61,3
2005;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;4,9
2005;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;39,9
2005;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;13,7
2005;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;41,5
2005;10 StB Leuben;Eigennutzung;16,8
2005;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;31,2
2005;10 StB Leuben;Eigentümer Stadt;14,5
2005;10 StB Leuben;Eigentümer privat;37,5
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;7
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;28,3
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;35,2
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;29,4
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;31,8
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;16,5
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;7,6
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;44,1
2005;13 Südvorstadt, Zschertnitz;Eigennutzung;12,5
2005;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;30,4
2005;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;35,2
2005;13 Südvorstadt, Zschertnitz;Eigentümer privat;21,8
2005;14 Mockritz, Coschütz, Plauen;Eigennutzung;21
2005;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;19,4
2005;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;9,6
2005;14 Mockritz, Coschütz, Plauen;Eigentümer privat;50
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;10,4
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;15
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;3,2
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;71,4
2005;16 Gorbitz;Eigennutzung;5,3
2005;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;49,4
2005;16 Gorbitz;Eigentümer Stadt;35
2005;16 Gorbitz;Eigentümer privat;10,3
2005;17 Briesnitz und westliche OS;Eigennutzung;40,4
2005;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;5,5
2005;17 Briesnitz und westliche OS;Eigentümer Stadt;1,7
2005;17 Briesnitz und westliche OS;Eigentümer privat;52,5
2005;18 Dresden gesamt;Eigennutzung;14,8
2005;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;25,5
2005;18 Dresden gesamt;Eigentümer Stadt;16,5
2005;18 Dresden gesamt;Eigentümer privat;43,2
2007;01 StB Altstadt ohne Johannstadt;Eigennutzung;1,9
2007;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;35,7
2007;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;39,2
2007;01 StB Altstadt ohne Johannstadt;Eigentümer privat;23,1
2007;02 Johannstadt;Eigennutzung;1,3
2007;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46,5
2007;02 Johannstadt;Eigentümer Stadt;30,4
2007;02 Johannstadt;Eigentümer privat;21,8
2007;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;5,9
2007;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;5,7
2007;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;12,8
2007;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;75,6
2007;04 Leipziger Vorstadt, Pieschen;Eigennutzung;7,2
2007;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;12,1
2007;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;5,1
2007;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;75,7
2007;05 Mickten, Kaditz, Trachau;Eigennutzung;13,4
2007;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;27,3
2007;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;2,8
2007;05 Mickten, Kaditz, Trachau;Eigentümer privat;56,5
2007;06 StB Klotzsche und nördliche OS;Eigennutzung;45
2007;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;13,6
2007;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;3,3
2007;06 StB Klotzsche und nördliche OS;Eigentümer privat;38
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;43,3
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;2,2
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;1,2
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;53,2
2007;08 Blasewitz, Striesen;Eigennutzung;7,7
2007;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;18
2007;08 Blasewitz, Striesen;Eigentümer Stadt;8,5
2007;08 Blasewitz, Striesen;Eigentümer privat;65,8
2007;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;8,5
2007;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;36,7
2007;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;18,2
2007;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;36,5
2007;10 StB Leuben;Eigennutzung;17,7
2007;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;33,4
2007;10 StB Leuben;Eigentümer Stadt;12,6
2007;10 StB Leuben;Eigentümer privat;36,3
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;2,6
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;43,7
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;30,4
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;23,3
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;31,7
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;14,9
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;2,6
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;50,7
2007;13 Südvorstadt, Zschertnitz;Eigennutzung;10
2007;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;25,2
2007;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;39,4
2007;13 Südvorstadt, Zschertnitz;Eigentümer privat;25,5
2007;14 Mockritz, Coschütz, Plauen;Eigennutzung;25,1
2007;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;23,8
2007;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;9
2007;14 Mockritz, Coschütz, Plauen;Eigentümer privat;42,2
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;9,5
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;14,5
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;7,4
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;68,7
2007;16 Gorbitz;Eigennutzung;3,4
2007;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;54,7
2007;16 Gorbitz;Eigentümer Stadt;29,5
2007;16 Gorbitz;Eigentümer privat;12,5
2007;17 Briesnitz und westliche OS;Eigennutzung;42,4
2007;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;9,8
2007;17 Briesnitz und westliche OS;Eigentümer Stadt;1,1
2007;17 Briesnitz und westliche OS;Eigentümer privat;46,8
2007;18 Dresden gesamt;Eigennutzung;15,2
2007;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;24
2007;18 Dresden gesamt;Eigentümer Stadt;14,5
2007;18 Dresden gesamt;Eigentümer privat;46,3
2010;01 StB Altstadt ohne Johannstadt;Eigennutzung;2,1
2010;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;37,4
2010;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;33,6
2010;01 StB Altstadt ohne Johannstadt;Eigentümer privat;26,9
2010;02 Johannstadt;Eigennutzung;0,6
2010;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46,3
2010;02 Johannstadt;Eigentümer Stadt;25,8
2010;02 Johannstadt;Eigentümer privat;27,3
2010;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;6,5
2010;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;5,2
2010;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;12,4
2010;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;75,9
2010;04 Leipziger Vorstadt, Pieschen;Eigennutzung;5,7
2010;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;5,3
2010;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;7,2
2010;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;81,8
2010;05 Mickten, Kaditz, Trachau;Eigennutzung;11,3
2010;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;30,3
2010;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;5,2
2010;05 Mickten, Kaditz, Trachau;Eigentümer privat;53,2
2010;06 StB Klotzsche und nördliche OS;Eigennutzung;46,1
2010;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;17,8
2010;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;6,8
2010;06 StB Klotzsche und nördliche OS;Eigentümer privat;29,2
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;44,3
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;2,3
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;1,2
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;52,2
2010;08 Blasewitz, Striesen;Eigennutzung;8,4
2010;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;16,9
2010;08 Blasewitz, Striesen;Eigentümer Stadt;13,1
2010;08 Blasewitz, Striesen;Eigentümer privat;61,6
2010;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;4,8
2010;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;42,9
2010;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;17,3
2010;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;35
2010;10 StB Leuben;Eigennutzung;18,4
2010;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;24,6
2010;10 StB Leuben;Eigentümer Stadt;14,1
2010;10 StB Leuben;Eigentümer privat;42,9
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;6,3
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;42,3
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;25,8
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;25,6
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;25,1
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;22,5
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;3,6
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;48,9
2010;13 Südvorstadt, Zschertnitz;Eigennutzung;3,9
2010;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;30,6
2010;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;38,3
2010;13 Südvorstadt, Zschertnitz;Eigentümer privat;27,2
2010;14 Mockritz, Coschütz, Plauen;Eigennutzung;26,7
2010;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;20,8
2010;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;7,7
2010;14 Mockritz, Coschütz, Plauen;Eigentümer privat;44,8
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;9,3
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;11,5
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;7,4
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;71,8
2010;16 Gorbitz;Eigennutzung;2,4
2010;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;55
2010;16 Gorbitz;Eigentümer Stadt;27,4
2010;16 Gorbitz;Eigentümer privat;15,3
2010;17 Briesnitz und westliche OS;Eigennutzung;35,2
2010;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;9,7
2010;17 Briesnitz und westliche OS;Eigentümer Stadt;2,1
2010;17 Briesnitz und westliche OS;Eigentümer privat;52,9
2010;18 Dresden gesamt;Eigennutzung;14
2010;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;23,5
2010;18 Dresden gesamt;Eigentümer Stadt;14,3
2010;18 Dresden gesamt;Eigentümer privat;48,2
2012;01 StB Altstadt ohne Johannstadt;Eigennutzung;1,9
2012;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;34,7
2012;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;29,7
2012;01 StB Altstadt ohne Johannstadt;Eigentümer privat;33,6
2012;02 Johannstadt;Eigennutzung;0,7
2012;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46
2012;02 Johannstadt;Eigentümer Stadt;29,3
2012;02 Johannstadt;Eigentümer privat;24
2012;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;7,6
2012;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;7,6
2012;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;14,6
2012;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;70,1
2012;04 Leipziger Vorstadt, Pieschen;Eigennutzung;6
2012;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;12,5
2012;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;3
2012;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;78,4
2012;05 Mickten, Kaditz, Trachau;Eigennutzung;12
2012;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;29,8
2012;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;5,7
2012;05 Mickten, Kaditz, Trachau;Eigentümer privat;52,5
2012;06 StB Klotzsche und nördliche OS;Eigennutzung;48,7
2012;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;22,3
2012;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;2,6
2012;06 StB Klotzsche und nördliche OS;Eigentümer privat;26,4
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;53,7
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;3,6
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;2,2
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;40,5
2012;08 Blasewitz, Striesen;Eigennutzung;10,7
2012;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;20,6
2012;08 Blasewitz, Striesen;Eigentümer Stadt;12,8
2012;08 Blasewitz, Striesen;Eigentümer privat;55,9
2012;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;8,6
2012;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;39
2012;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;18
2012;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;34,4
2012;10 StB Leuben;Eigennutzung;17
2012;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;32,3
2012;10 StB Leuben;Eigentümer Stadt;15,6
2012;10 StB Leuben;Eigentümer privat;35,1
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;8,9
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;38,6
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;28,3
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;24,3
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;30,1
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;19,6
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;5,2
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;45,1
2012;13 Südvorstadt, Zschertnitz;Eigennutzung;7,5
2012;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;33,9
2012;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;34,6
2012;13 Südvorstadt, Zschertnitz;Eigentümer privat;24
2012;14 Mockritz, Coschütz, Plauen;Eigennutzung;23,4
2012;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;21,6
2012;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;7,6
2012;14 Mockritz, Coschütz, Plauen;Eigentümer privat;47,4
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;11,2
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;24,3
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;3,1
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;61,3
2012;16 Gorbitz;Eigennutzung;5,1
2012;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;52,7
2012;16 Gorbitz;Eigentümer Stadt;31,3
2012;16 Gorbitz;Eigentümer privat;10,8
2012;17 Briesnitz und westliche OS;Eigennutzung;42,2
2012;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;11,5
2012;17 Briesnitz und westliche OS;Eigentümer Stadt;2
2012;17 Briesnitz und westliche OS;Eigentümer privat;44,3
2012;18 Dresden gesamt;Eigennutzung;15,5
2012;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;25,9
2012;18 Dresden gesamt;Eigentümer Stadt;14,3
2012;18 Dresden gesamt;Eigentümer privat;44,2
2014;01 StB Altstadt ohne Johannstadt;Eigennutzung;1,5
2014;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;34,5
2014;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;27,2
2014;01 StB Altstadt ohne Johannstadt;Eigentümer privat;36,9
2014;02 Johannstadt;Eigennutzung;0,2
2014;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;47,1
2014;02 Johannstadt;Eigentümer Stadt;24
2014;02 Johannstadt;Eigentümer privat;28,8
2014;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;7,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;6
2014;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;10,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;76,8
2014;04 Leipziger Vorstadt, Pieschen;Eigennutzung;9,3
2014;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;11,1
2014;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;4,8
2014;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;74,7
2014;05 Mickten, Kaditz, Trachau;Eigennutzung;13,6
2014;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;20,4
2014;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;4
2014;05 Mickten, Kaditz, Trachau;Eigentümer privat;62
2014;06 StB Klotzsche und nördliche OS;Eigennutzung;47,2
2014;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;11,6
2014;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;3,8
2014;06 StB Klotzsche und nördliche OS;Eigentümer privat;37,4
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;48,6
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;5,8
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;0,7
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;44,9
2014;08 Blasewitz, Striesen;Eigennutzung;10,2
2014;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;16,4
2014;08 Blasewitz, Striesen;Eigentümer Stadt;13,2
2014;08 Blasewitz, Striesen;Eigentümer privat;60,2
2014;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;7,5
2014;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;37,5
2014;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;16,8
2014;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;38,2
2014;10 StB Leuben;Eigennutzung;19,5
2014;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;29,4
2014;10 StB Leuben;Eigentümer Stadt;16,8
2014;10 StB Leuben;Eigentümer privat;34,2
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;5,9
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;38,7
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;32,5
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;22,9
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;36,3
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;14,9
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;5,7
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;43,1
2014;13 Südvorstadt, Zschertnitz;Eigennutzung;8
2014;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;27,7
2014;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;43,4
2014;13 Südvorstadt, Zschertnitz;Eigentümer privat;20,9
2014;14 Mockritz, Coschütz, Plauen;Eigennutzung;22,7
2014;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;21,2
2014;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;9,5
2014;14 Mockritz, Coschütz, Plauen;Eigentümer privat;46,5
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;10,9
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;17,9
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;3,5
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;67,7
2014;16 Gorbitz;Eigennutzung;5,2
2014;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;44,3
2014;16 Gorbitz;Eigentümer Stadt;34,9
2014;16 Gorbitz;Eigentümer privat;15,5
2014;17 Briesnitz und westliche OS;Eigennutzung;46,2
2014;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;9,4
2014;17 Briesnitz und westliche OS;Eigentümer Stadt;3,1
2014;17 Briesnitz und westliche OS;Eigentümer privat;41,3
2014;18 Dresden gesamt;Eigennutzung;15,7
2014;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;22,2
2014;18 Dresden gesamt;Eigentümer Stadt;14,3
2014;18 Dresden gesamt;Eigentümer privat;47,8
2016;01 StB Altstadt ohne Johannstadt;Eigennutzung;1
