Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;686;343;343
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;405;270;135
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;138;106;32
2019;StB 0 Altstadt;02 Johannstadt;1 Kind;584;292;292
2019;StB 0 Altstadt;02 Johannstadt;2 Kinder;378;252;126
2019;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;116;88;28
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;1348;674;674
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;906;604;302
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;232;175;57
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;514;257;257
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;279;186;93
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;80;61;19
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;1030;515;515
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;630;420;210
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;230;176;54
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;1222;611;611
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;588;392;196
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;215;163;52
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;764;382;382
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;519;346;173
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;121;92;29
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;820;410;410
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;537;358;179
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;177;135;42
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;1566;783;783
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;933;622;311
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;181;138;43
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;1536;768;768
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;786;524;262
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;177;135;42
2019;StB 6 Leuben;10 StB Leuben;1 Kind;1416;708;708
2019;StB 6 Leuben;10 StB Leuben;2 Kinder;780;520;260
2019;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;237;182;55
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;846;423;423
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;609;406;203
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;433;334;99
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;940;470;470
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;507;338;169
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;169;129;40
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;644;322;322
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;447;298;149
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;188;144;44
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;652;326;326
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;408;272;136
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;81;61;20
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;1386;693;693
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;696;464;232
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;168;127;41
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;876;438;438
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;636;424;212
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;425;329;96
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;564;282;282
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;396;264;132
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;113;86;27
