Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;140
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;118
2014;StB 0 Altstadt;02 Johannstadt;männlich;118
2014;StB 0 Altstadt;02 Johannstadt;weiblich;113
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;334
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;294
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;111
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;91
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;218
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;212
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;196
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;183
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;152
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;135
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;166
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;156
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;315
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;323
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;193
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;215
2014;StB 6 Leuben;10 StB Leuben;männlich;169
2014;StB 6 Leuben;10 StB Leuben;weiblich;166
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;115
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;83
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;167
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;139
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;168
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;126
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;152
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;148
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;325
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;334
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;90
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;91
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;117
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;118
