Jahr;WZ-Abschnitt 2008 (1 Buchstabe) zus.;WZ-Abschnitt 2008 (1 Buchstabe);WZ-Abteilung 2008 (2 Ziffern);Anzahl Betriebe
2020;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;"38-Abfallsamml.,Behandl.,Beseitig.; Rückgewinn.";64
2020;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;39-Beseit. v. Umweltverschmutz.+sonst. Entsorg.;10
2020;X - übrige Wirtschaftszweige;O - Öff. Verwaltung,Verteidigung - Sozialvers.;"84-Öff. Verw.,Verteidigung;Sozialversicherung";5
2020;X - übrige Wirtschaftszweige;P - Erziehung u. Unterricht;85-Erziehung und Unterricht;764
2020;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;86-Gesundheitswesen;325
2020;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;87-Heime (ohne Erholungs- und Ferienheime);34
2020;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;88-Sozialwesen (ohne Heime);540
2020;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;90-Kreative,künstler.+ unterhaltende Tätigk.;770
2020;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;91-Biblioth.,Archive,Museen,bot.+zool. Gärten;21
2020;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;92-Spiel-, Wett- und Lotteriewesen;90
2020;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;93-DL des Sports, der Unterhaltung+Erholung;287
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;10-Herst. von Nahrungs- und Futtermitteln;64
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;11-Getränkeherstellung;20
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;12-TabakVerarb.;2
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;13-Herst. von Textilien;57
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;14-Herst. von Bekleidung;25
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;15-Herst. von Leder, Lederwaren und Schuhen;2
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);30
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;17-Herst. von Papier, Pappe und Waren daraus;18
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";142
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;19-Kokerei und MineralölVerarb.;3
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;20-Herst. von chemischen Erzeugnissen;43
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;21-Herst. von pharmazeutischen Erzeugnissen;9
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;22-Herst. von Gummi- und Kunststoffwaren;43
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;37
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;24-Metallerzeugung und -bearbeitung;7
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;25-Herst. von Metallerzeugnissen;101
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;170
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;27-Herst. von elektrischen Ausrüstungen;59
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;28-Maschinenbau;112
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;29-Herst. von Kraftwagen und Kraftwagenteilen;17
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;30-Sonstiger Fahrzeugbau;14
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;31-Herst. von Möbeln;10
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;32-Herst. von sonstigen Waren;247
2021;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;33-Rep. + Install. v. Maschinen + Ausrüstungen;88
2021;F - Baugewerbe;F - Baugewerbe;41-Hochbau;230
2021;F - Baugewerbe;F - Baugewerbe;42-Tiefbau;39
2021;F - Baugewerbe;F - Baugewerbe;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;1387
2021;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;"45-Handel Kfz; Instandh.+Rep. v. Kraftfahrz.";651
2021;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;46-Großhandel (ohne Handel mit Kraftfahrzeugen);2092
2021;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);4630
2021;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;"49-Landverkehr; Transport in Rohrfernleitungen";476
2021;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;50-Schifffahrt;2
2021;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;51-Luftfahrt;11
2021;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;52-Lagerei sowie sonst. DL für den Verkehr;224
2021;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;53-Post-, Kurier- und Expressdienste;305
2021;I - Gastgewerbe;I - Gastgewerbe;55-Beherbergung;301
2021;I - Gastgewerbe;I - Gastgewerbe;56-Gastronomie;1840
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;58-Verlagswesen;137
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;"59-Film+Musikherst.,Verleih,Vertrieb; Kinos";243
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;60-Rundfunkveranstalter;12
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;61-Telekommunikation;52
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;62-Erbr. von DL der Informationstechnologie;1947
2021;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;63-InformationsDL;402
2021;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;64-Erbr. von FinanzDL;503
2021;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;65-Versich.,Rückvers.,Pensionsk.(oh Sozialver.);29
2021;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;66-Mit Finanz-+ Versich.DL verb. Tätigkeiten;1309
2021;L - Grundstücks- u. Wohnungswesen;L - Grundstücks- u. Wohnungswesen;68-Grundstücks- und Wohnungswesen;1967
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;69-Rechts- + Steuerberatung, Wirtschaftsprüfung;434
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"70-Verw.+Führg v. Untern.+Betr.;Untern.beratung";1671
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"71-Arch./Ing.büros;techn.,phys.+chem. Unters.";1031
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;72-Forschung und Entwicklung;140
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;73-Werbung und Marktforschung;1626
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;74-Sonst. freiber., wiss. + techn. Tätigkeiten;1425
2021;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;75-Veterinärwesen;8
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;77-Verm. von beweglichen Sachen;335
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;78-Vermittl. + Überlassung von Arbeitskräften;230
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;79-Reisebüros,-veranstalter,sonst. Reservier.DL;393
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;80-Wach- + Sicherheitsdienste sowie Detekteien;82
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;"81-Gebäudebetreuung;Garten- und Landschaftsbau";1687
2021;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;82-wirtsch. DL f. Untern.+Privatpersonen a.n.g.;2176
2021;S - Sonstige DL;S - Sonstige DL;94-Int.vertr., rel. Verein. (o. Sozialw.,Sport);102
2021;S - Sonstige DL;S - Sonstige DL;95-Rep. von DVgeräten und Gebrauchsgütern;55
2021;S - Sonstige DL;S - Sonstige DL;96-sonstige überwiegend persönliche DL;2609
2021;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;01-Landwirtschaft,Jagd,damit verb. Tätigkeiten;78
2021;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;02-Forstwirtschaft und Holzeinschlag;8
2021;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;03-Fischerei und Aquakultur;3
2021;X - übrige Wirtschaftszweige;B - Bergbau u. Gewinn. v. Steinen u. Erden;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;9
2021;X - übrige Wirtschaftszweige;D - Energieversorgung;35-Energieversorgung;347
2021;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;36-Wasserversorgung;1
2021;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;37-Abwasserentsorgung;13
2021;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;"38-Abfallsamml.,Behandl.,Beseitig.; Rückgewinn.";60
2021;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;39-Beseit. v. Umweltverschmutz.+sonst. Entsorg.;9
2021;X - übrige Wirtschaftszweige;O - Öff. Verwaltung,Verteidigung - Sozialvers.;"84-Öff. Verw.,Verteidigung;Sozialversicherung";5
2021;X - übrige Wirtschaftszweige;P - Erziehung u. Unterricht;85-Erziehung und Unterricht;828
2021;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;86-Gesundheitswesen;370
2021;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;87-Heime (ohne Erholungs- und Ferienheime);34
2021;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;88-Sozialwesen (ohne Heime);555
2021;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;90-Kreative,künstler.+ unterhaltende Tätigk.;787
2021;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;91-Biblioth.,Archive,Museen,bot.+zool. Gärten;22
2021;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;92-Spiel-, Wett- und Lotteriewesen;83
2021;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;93-DL des Sports, der Unterhaltung+Erholung;289
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;10-Herst. von Nahrungs- und Futtermitteln;62
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;11-Getränkeherstellung;23
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;12-TabakVerarb.;2
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;13-Herst. von Textilien;58
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;14-Herst. von Bekleidung;25
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;15-Herst. von Leder, Lederwaren und Schuhen;2
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);35
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;17-Herst. von Papier, Pappe und Waren daraus;20
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";143
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;19-Kokerei und MineralölVerarb.;3
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;20-Herst. von chemischen Erzeugnissen;44
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;21-Herst. von pharmazeutischen Erzeugnissen;9
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;22-Herst. von Gummi- und Kunststoffwaren;41
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;36
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;24-Metallerzeugung und -bearbeitung;7
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;25-Herst. von Metallerzeugnissen;105
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;175
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;27-Herst. von elektrischen Ausrüstungen;56
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;28-Maschinenbau;109
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;29-Herst. von Kraftwagen und Kraftwagenteilen;18
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;30-Sonstiger Fahrzeugbau;14
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;31-Herst. von Möbeln;9
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;32-Herst. von sonstigen Waren;234
2022;C - Verarbeitendes Gewerbe;C - Verarbeitendes Gewerbe;33-Rep. + Install. v. Maschinen + Ausrüstungen;91
2022;F - Baugewerbe;F - Baugewerbe;41-Hochbau;231
2022;F - Baugewerbe;F - Baugewerbe;42-Tiefbau;41
2022;F - Baugewerbe;F - Baugewerbe;43-Baustellenvorb.,Bauinst.,sonst. Ausbaugew.;1166
2022;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;"45-Handel Kfz; Instandh.+Rep. v. Kraftfahrz.";650
2022;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;46-Großhandel (ohne Handel mit Kraftfahrzeugen);2050
2022;"G - Handel;Instandh.+ Rep. v. KFZ";G - Handel - Instandh.+ Rep. v. KFZ;47-Einzelhandel (ohne Handel mit Kraftfahrzeugen);4516
2022;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;"49-Landverkehr; Transport in Rohrfernleitungen";461
2022;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;50-Schifffahrt;2
2022;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;51-Luftfahrt;8
2022;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;52-Lagerei sowie sonst. DL für den Verkehr;220
2022;H - Verkehr u. Lagerei;H - Verkehr u. Lagerei;53-Post-, Kurier- und Expressdienste;263
2022;I - Gastgewerbe;I - Gastgewerbe;55-Beherbergung;298
2022;I - Gastgewerbe;I - Gastgewerbe;56-Gastronomie;1818
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;58-Verlagswesen;136
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;"59-Film+Musikherst.,Verleih,Vertrieb; Kinos";252
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;60-Rundfunkveranstalter;12
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;61-Telekommunikation;53
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;62-Erbr. von DL der Informationstechnologie;1891
2022;J - Informatione u. Kommunikation;J - Informatione u. Kommunikation;63-InformationsDL;430
2022;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;64-Erbr. von FinanzDL;576
2022;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;65-Versich.,Rückvers.,Pensionsk.(oh Sozialver.);28
2022;K - Finanz- u. VersicherungsDL;K - Finanz- u. VersicherungsDL;66-Mit Finanz-+ Versich.DL verb. Tätigkeiten;1298
2022;L - Grundstücks- u. Wohnungswesen;L - Grundstücks- u. Wohnungswesen;68-Grundstücks- und Wohnungswesen;1976
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;69-Rechts- + Steuerberatung, Wirtschaftsprüfung;440
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"70-Verw.+Führg v. Untern.+Betr.;Untern.beratung";1702
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;"71-Arch./Ing.büros;techn.,phys.+chem. Unters.";1034
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;72-Forschung und Entwicklung;143
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;73-Werbung und Marktforschung;1552
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;74-Sonst. freiber., wiss. + techn. Tätigkeiten;1466
2022;M - freiberufl.,wissensch.+techn. DL;M - freiberufl.,wissensch.+techn. DL;75-Veterinärwesen;8
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;77-Verm. von beweglichen Sachen;332
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;78-Vermittl. + Überlassung von Arbeitskräften;215
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;79-Reisebüros,-veranstalter,sonst. Reservier.DL;382
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;80-Wach- + Sicherheitsdienste sowie Detekteien;86
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;"81-Gebäudebetreuung;Garten- und Landschaftsbau";1647
2022;N - Sonst. witschaftl. DL;N - Sonst. witschaftl. DL;82-wirtsch. DL f. Untern.+Privatpersonen a.n.g.;2098
2022;S - Sonstige DL;S - Sonstige DL;94-Int.vertr., rel. Verein. (o. Sozialw.,Sport);115
2022;S - Sonstige DL;S - Sonstige DL;95-Rep. von DVgeräten und Gebrauchsgütern;50
2022;S - Sonstige DL;S - Sonstige DL;96-sonstige überwiegend persönliche DL;2401
2022;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;01-Landwirtschaft,Jagd,damit verb. Tätigkeiten;76
2022;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;02-Forstwirtschaft und Holzeinschlag;7
2022;X - übrige Wirtschaftszweige;A - Land- und Forstwirtschaft, Fischerei;03-Fischerei und Aquakultur;2
2022;X - übrige Wirtschaftszweige;B - Bergbau u. Gewinn. v. Steinen u. Erden;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;7
2022;X - übrige Wirtschaftszweige;D - Energieversorgung;35-Energieversorgung;340
2022;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;36-Wasserversorgung;1
2022;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;37-Abwasserentsorgung;12
2022;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;"38-Abfallsamml.,Behandl.,Beseitig.; Rückgewinn.";55
2022;X - übrige Wirtschaftszweige;E - Wass.vers - Abw.-/Abfallents.,Bes. v.Umw.verschm.;39-Beseit. v. Umweltverschmutz.+sonst. Entsorg.;8
2022;X - übrige Wirtschaftszweige;O - Öff. Verwaltung,Verteidigung - Sozialvers.;"84-Öff. Verw.,Verteidigung;Sozialversicherung";5
2022;X - übrige Wirtschaftszweige;P - Erziehung u. Unterricht;85-Erziehung und Unterricht;846
2022;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;86-Gesundheitswesen;371
2022;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;87-Heime (ohne Erholungs- und Ferienheime);32
2022;X - übrige Wirtschaftszweige;Q - Gesundheits- u. Sozialwesen;88-Sozialwesen (ohne Heime);527
2022;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;90-Kreative,künstler.+ unterhaltende Tätigk.;789
2022;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;91-Biblioth.,Archive,Museen,bot.+zool. Gärten;22
2022;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;92-Spiel-, Wett- und Lotteriewesen;79
2022;X - übrige Wirtschaftszweige;R - Kunst, Unterhaltung u. Erholung;93-DL des Sports, der Unterhaltung+Erholung;277
