Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;23516;0;18103
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;4094;1464;1464
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;3164;1622;811
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;1400;878;259
2020;StB 0 Altstadt;02 Johannstadt;0 Kinder;16201;0;11807
2020;StB 0 Altstadt;02 Johannstadt;1 Kind;3226;1139;1139
2020;StB 0 Altstadt;02 Johannstadt;2 Kinder;3089;1586;793
2020;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;1292;812;247
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;21420;0;16882
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6569;2352;2352
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;6859;3514;1757
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;2182;1359;429
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7424;0;5956
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2345;852;852
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;2331;1192;596
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;613;379;121
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14350;0;11104
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4530;1652;1652
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;4173;2168;1084
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1458;914;288
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17627;0;12547
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5269;1907;1907
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4764;2450;1225
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1469;924;289
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18155;0;11296
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;4909;1667;1667
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5948;3000;1500
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1981;1228;380
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19494;0;12021
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5490;1837;1837
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;6287;3172;1586
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;2266;1390;439
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;29722;0;21312
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8913;3124;3124
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;9210;4686;2343
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;2743;1681;531
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;24903;0;17601
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6025;2190;2190
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;5396;2786;1393
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;1462;908;284
2020;StB 6 Leuben;10 StB Leuben;0 Kinder;25109;0;17212
2020;StB 6 Leuben;10 StB Leuben;1 Kind;6008;2173;2173
2020;StB 6 Leuben;10 StB Leuben;2 Kinder;5736;2950;1475
2020;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;2046;1278;394
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);0 Kinder;15186;0;11266
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;2975;1100;1100
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;2668;1408;704
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1961;1291;379
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);0 Kinder;20795;0;13538
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;5409;1877;1877
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;5621;2840;1420
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1823;1135;351
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;18564;0;13458
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3715;1306;1306
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;3911;1986;993
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;2304;1453;427
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;15419;0;10528
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;3917;1356;1356
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;4168;2110;1055
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;1294;799;251
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;26204;0;19469
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;7078;2528;2528
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;6366;3250;1625
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;2198;1353;426
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;13783;0;10317
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;2776;1049;1049
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;2696;1424;712
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;2006;1304;379
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;14070;0;8797
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;3801;1292;1292
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;4424;2240;1120
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;1330;817;257
