Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;199
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;205
2020;StB 0 Altstadt;02 Johannstadt;männlich;127
2020;StB 0 Altstadt;02 Johannstadt;weiblich;140
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;282
2020;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;257
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;92
2020;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;97
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;151
2020;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;145
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;182
2020;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;134
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;97
2020;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;123
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;127
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;105
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;329
2020;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;282
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;159
2020;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;166
2020;StB 6 Leuben;10 StB Leuben;männlich;149
2020;StB 6 Leuben;10 StB Leuben;weiblich;179
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;103
2020;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;117
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;146
2020;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;141
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;197
2020;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;141
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;137
2020;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;106
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;289
2020;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;254
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;95
2020;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;81
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;91
2020;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;102
