Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2021;4. Quartal;unbekannt;299;276;11;12;276;17;1;5;299;43;344;38;335;9;334;308;232;76;267;41;63;93;89;47;16;17;29;26;1
2022;1. Quartal;StB 0 Altstadt;2935;1790;466;679;1790;387;239;485;2932;2867;5479;1654;5317;162;5288;3880;2047;1833;2011;1869;737;928;857;597;761;381;1041;1408;29
2022;1. Quartal;StB 1 Neustadt;2016;1392;302;322;1392;340;93;161;2013;1966;3208;866;3103;105;3065;2371;1327;1044;1811;560;342;597;655;408;369;332;671;694;38
2022;1. Quartal;StB 2 Pieschen;2265;1474;435;356;1474;469;136;159;2262;2174;3634;996;3477;157;3451;2671;1354;1317;2332;339;356;552;774;420;569;467;745;780;26
2022;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;408;292;61;55;292;63;25;22;407;380;608;139;584;24;575;475;279;196;431;44;63;80;114;86;132;63;116;100;9
2022;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;398;289;65;44;289;60;25;23;396;372;578;129;554;24;545;444;246;198;403;41;37;67;119;89;132;60;137;101;9
2022;1. Quartal;StB 5 Blasewitz;2054;1330;389;335;1330;352;158;175;2053;2003;3314;846;3192;122;3164;2474;1221;1253;1987;487;337;485;566;464;622;347;660;690;28
2022;1. Quartal;StB 6 Leuben;1330;798;279;253;798;306;78;129;1327;1295;2329;746;2236;93;2219;1612;773;839;1409;203;256;369;366;274;347;304;435;607;17
2022;1. Quartal;StB 7 Prohlis;3303;2049;514;740;2049;598;199;415;3302;3198;6087;2015;5804;283;5758;4182;2197;1985;2859;1323;706;978;984;687;827;592;855;1576;46
2022;1. Quartal;StB 8 Plauen;1876;1025;254;597;1025;284;120;423;1875;1825;4115;1550;3998;117;3972;2659;1423;1236;1143;1516;503;691;659;404;402;280;590;1313;26
2022;1. Quartal;StB 9 Cotta/westliche Ortschaften;4022;2473;692;857;2472;724;296;490;4017;3880;7211;2251;6912;299;6851;5052;2611;2441;3659;1393;865;1172;1201;796;1018;720;1256;1799;61
2022;1. Quartal;unbekannt;313;285;10;18;285;19;3;6;313;46;376;51;368;8;368;334;238;96;277;57;72;106;94;49;13;19;24;34;0
2022;2. Quartal;StB 0 Altstadt;3178;1849;577;752;1849;533;249;498;3174;3004;6041;1924;5862;179;5839;4198;2056;2142;1942;2256;815;942;952;672;817;526;1027;1641;23
2022;2. Quartal;StB 1 Neustadt;2253;1458;416;379;1458;486;103;173;2253;2069;3680;1068;3577;103;3546;2681;1315;1366;1696;985;419;659;744;439;420;481;679;865;31
2022;2. Quartal;StB 2 Pieschen;2341;1468;479;394;1468;537;140;164;2338;2213;3846;1114;3706;140;3666;2769;1325;1444;2194;575;370;581;815;441;562;534;707;897;40
2022;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;529;323;109;97;323;139;29;29;528;466;869;257;843;26;833;638;303;335;415;223;103;106;166;115;148;139;114;195;10
2022;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;562;353;116;93;353;147;27;30;559;477;921;290;890;31;882;652;268;384;393;259;88;109;184;109;162;146;141;230;8
2022;2. Quartal;StB 5 Blasewitz;2314;1428;480;406;1428;477;176;191;2309;2154;3828;1051;3707;121;3669;2794;1234;1560;1883;911;418;529;680;493;674;471;650;875;38
2022;2. Quartal;StB 6 Leuben;1483;849;346;288;849;382;84;144;1481;1398;2633;868;2520;113;2507;1813;783;1030;1371;442;300;410;427;305;371;380;438;694;13
2022;2. Quartal;StB 7 Prohlis;3656;2173;637;846;2173;772;224;440;3655;3461;6811;2313;6529;282;6485;4660;2239;2421;2783;1877;831;1045;1134;763;887;764;852;1825;44
2022;2. Quartal;StB 8 Plauen;2152;1132;367;653;1132;405;143;439;2150;1954;4625;1730;4493;132;4460;3007;1453;1554;1096;1911;580;737;782;447;461;399;603;1453;33
2022;2. Quartal;StB 9 Cotta/westliche Ortschaften;4308;2556;799;953;2556;878;310;510;4300;4033;7831;2521;7529;302;7467;5469;2643;2826;3489;1980;988;1236;1318;857;1070;874;1268;1998;62
2022;2. Quartal;unbekannt;475;367;56;52;367;65;14;26;475;78;688;164;682;6;682;543;290;253;267;276;119;118;156;80;70;65;34;139;0
2022;3. Quartal;StB 0 Altstadt;3081;1782;559;740;1781;516;242;495;3075;2936;5905;1907;5696;209;5664;4063;1974;2089;1863;2200;790;930;920;644;779;510;985;1601;32
2022;3. Quartal;StB 1 Neustadt;2129;1380;381;368;1380;466;88;164;2128;2017;3498;1035;3398;100;3376;2540;1262;1278;1673;867;411;582;726;417;404;459;653;836;22
2022;3. Quartal;StB 2 Pieschen;2293;1455;451;387;1455;515;130;167;2286;2184;3756;1083;3612;144;3580;2715;1298;1417;2172;543;388;577;771;442;537;512;685;865;32
2022;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;480;306;94;80;306;119;25;22;477;434;762;215;739;23;722;562;279;283;391;171;87;94;149;97;135;118;108;160;17
2022;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;487;320;90;77;320;113;24;27;484;433;784;236;755;29;749;563;248;315;376;187;75;89;148;98;153;112;127;186;6
2022;3. Quartal;StB 5 Blasewitz;2264;1397;466;401;1397;464;166;199;2259;2158;3765;1042;3618;147;3584;2733;1200;1533;1811;922;408;506;665;488;666;456;647;851;34
2022;3. Quartal;StB 6 Leuben;1447;823;340;284;823;384;80;133;1446;1386;2576;858;2477;99;2465;1772;757;1015;1331;441;290;387;413;304;378;384;409;693;12
2022;3. Quartal;StB 7 Prohlis;3683;2183;643;857;2183;771;219;461;3680;3526;6907;2362;6613;294;6559;4709;2233;2476;2670;2039;848;1049;1152;769;891;766;900;1850;54
2022;3. Quartal;StB 8 Plauen;2010;1059;343;608;1059;373;135;409;2009;1911;4332;1629;4198;134;4174;2823;1370;1453;1074;1749;544;682;733;418;446;368;604;1351;24
2022;3. Quartal;StB 9 Cotta/westliche Ortschaften;4265;2539;771;955;2539;855;306;515;4263;4055;7755;2484;7441;314;7389;5425;2618;2807;3430;1995;958;1214;1338;858;1057;850;1229;1964;52
2022;3. Quartal;unbekannt;332;284;23;25;284;17;10;19;332;70;442;77;433;9;432;374;249;125;254;120;78;95;113;57;31;17;34;58;1
2022;4. Quartal;StB 0 Altstadt;3009;1722;543;744;1721;506;238;501;3005;2903;5813;1890;5611;202;5580;3985;1932;2053;1837;2148;759;899;912;644;771;501;968;1595;31
2022;4. Quartal;StB 1 Neustadt;2071;1342;359;370;1342;426;93;177;2069;1996;3446;1021;3330;116;3295;2471;1237;1234;1646;825;379;562;716;417;397;420;630;824;35
2022;4. Quartal;StB 2 Pieschen;2196;1399;405;392;1399;502;107;166;2192;2097;3621;1074;3481;140;3456;2599;1261;1338;2083;516;356;534;759;431;519;497;659;857;25
2022;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;474;314;89;71;314;109;22;22;472;433;736;197;709;27;700;551;279;272;389;162;83;105;137;93;133;109;111;149;9
2022;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;452;304;83;65;304;98;23;24;450;411;709;203;689;20;683;515;240;275;372;143;60;83;143;85;144;98;128;168;6
2022;4. Quartal;StB 5 Blasewitz;2200;1372;444;384;1372;441;165;182;2199;2120;3628;985;3491;137;3469;2661;1183;1478;1770;891;395;482;644;486;654;437;623;808;22
2022;4. Quartal;StB 6 Leuben;1369;795;310;264;795;358;73;120;1369;1327;2415;799;2315;100;2309;1662;717;945;1252;410;257;360;381;289;375;358;351;647;6
2022;4. Quartal;StB 7 Prohlis;3678;2165;653;860;2165;775;229;466;3677;3561;6924;2367;6660;264;6605;4725;2237;2488;2649;2076;868;1051;1152;760;894;769;849;1880;55
2022;4. Quartal;StB 8 Plauen;1968;1059;319;590;1058;356;125;399;1966;1883;4188;1556;4060;128;4036;2759;1369;1390;1066;1693;545;647;701;424;442;352;575;1277;24
2022;4. Quartal;StB 9 Cotta/westliche Ortschaften;4190;2519;744;927;2515;828;287;509;4184;4020;7606;2438;7334;272;7288;5317;2581;2736;3339;1978;923;1198;1326;835;1035;822;1159;1971;46
2022;4. Quartal;unbekannt;346;300;17;29;300;16;7;20;346;75;463;80;453;10;453;391;264;127;288;103;90;99;122;57;23;16;38;62;0
2023;1. Quartal;StB 0 Altstadt;3090;1780;550;760;1780;504;248;511;3088;2977;5949;1897;5756;193;5733;4139;2023;2116;1871;2268;822;929;935;664;789;498;928;1594;23
2023;1. Quartal;StB 1 Neustadt;2192;1457;366;369;1457;422;98;175;2191;2103;3558;1000;3448;110;3419;2610;1334;1276;1736;874;408;634;727;440;401;419;659;809;29
2023;1. Quartal;StB 2 Pieschen;2232;1429;423;380;1429;485;116;168;2229;2127;3662;1060;3511;151;3482;2652;1275;1377;2117;535;385;533;767;443;524;480;664;830;29
2023;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;481;320;94;67;320;108;26;20;479;443;739;193;712;27;704;559;296;263;390;169;86;101;141;96;135;108;101;145;8
2023;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;462;315;83;64;315;95;25;23;460;420;714;195;691;23;681;522;246;276;385;137;60;86;136;89;151;95;129;159;10
2023;1. Quartal;StB 5 Blasewitz;2262;1418;448;396;1418;449;160;195;2261;2189;3745;1031;3604;141;3572;2745;1205;1540;1824;921;413;512;678;492;650;443;598;827;32
2023;1. Quartal;StB 6 Leuben;1398;801;317;280;801;358;76;138;1397;1357;2491;827;2388;103;2377;1706;734;972;1280;426;262;358;415;288;383;357;368;671;11
2023;1. Quartal;StB 7 Prohlis;3812;2262;659;891;2262;768;234;485;3809;3682;7173;2418;6902;271;6842;4936;2384;2552;2730;2206;950;1082;1208;787;909;759;836;1906;60
2023;1. Quartal;StB 8 Plauen;2009;1085;323;601;1085;362;137;395;2008;1917;4249;1554;4126;123;4098;2816;1403;1413;1096;1720;564;675;699;443;435;357;585;1282;28
2023;1. Quartal;StB 9 Cotta/westliche Ortschaften;4236;2551;740;945;2550;830;289;522;4233;4040;7694;2463;7400;294;7353;5375;2606;2769;3358;2017;936;1228;1357;860;994;827;1127;1978;47
2023;1. Quartal;unbekannt;368;324;16;28;324;18;5;19;368;90;479;83;477;2;472;406;283;123;308;98;86;112;121;57;30;18;34;66;5
2023;2. Quartal;StB 0 Altstadt;3102;1794;552;756;1794;503;241;505;3099;2998;5961;1902;5756;205;5733;4151;2028;2123;1875;2276;836;932;935;660;788;499;906;1582;23
2023;2. Quartal;StB 1 Neustadt;2253;1536;355;362;1536;405;107;173;2252;2160;3590;969;3485;105;3461;2666;1420;1246;1726;940;470;666;703;429;398;401;637;795;24
2023;2. Quartal;StB 2 Pieschen;2210;1406;422;382;1406;475;120;171;2207;2115;3632;1043;3488;144;3453;2638;1294;1344;2089;549;391;542;758;436;511;469;679;815;35
2023;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;467;307;92;68;307;103;27;22;466;436;731;195;700;31;691;545;281;264;397;148;83;93;140;94;135;103;94;146;9
2023;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;441;309;71;61;309;83;21;24;439;404;667;173;642;25;634;501;245;256;373;128;59;81;123;96;142;82;120;133;8
2023;2. Quartal;StB 5 Blasewitz;2210;1380;432;398;1380;434;156;207;2208;2147;3694;1031;3565;129;3527;2699;1214;1485;1803;896;403;513;676;484;623;429;586;828;38
2023;2. Quartal;StB 6 Leuben;1431;823;330;278;822;370;82;132;1429;1378;2526;825;2432;94;2416;1749;759;990;1289;460;298;363;427;267;394;369;362;667;16
2023;2. Quartal;StB 7 Prohlis;3835;2291;633;911;2290;757;226;499;3831;3709;7223;2433;6992;231;6929;4977;2426;2551;2693;2284;967;1109;1208;792;901;750;856;1952;63
2023;2. Quartal;StB 8 Plauen;1967;1089;303;575;1089;334;135;378;1967;1886;4109;1475;3987;122;3964;2741;1382;1359;1072;1669;554;646;696;414;431;330;554;1223;23
2023;2. Quartal;StB 9 Cotta/westliche Ortschaften;4209;2521;731;957;2519;828;275;535;4203;4043;7702;2490;7416;286;7370;5366;2621;2745;3289;2077;968;1218;1333;867;980;825;1112;2004;46
2023;2. Quartal;unbekannt;380;337;13;30;337;18;3;20;379;96;498;91;489;9;487;419;291;128;318;101;100;107;134;56;22;17;46;68;2
2023;3. Quartal;StB 0 Altstadt;3128;1832;538;758;1830;503;225;508;3123;3026;5992;1907;5806;186;5776;4180;2055;2125;1878;2302;839;938;956;662;785;497;912;1596;30
2023;3. Quartal;StB 1 Neustadt;2274;1571;346;357;1571;394;95;176;2273;2176;3605;963;3499;106;3474;2687;1458;1229;1723;964;503;669;695;429;391;389;671;787;25
2023;3. Quartal;StB 2 Pieschen;2195;1388;437;370;1388;480;126;162;2193;2112;3608;1033;3476;132;3442;2626;1275;1351;2097;529;416;523;743;441;503;473;670;816;34
2023;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;459;309;85;65;309;98;26;20;459;427;708;184;681;27;674;533;279;254;388;145;76;96;139;90;132;98;101;141;7
2023;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;435;305;74;56;305;83;21;21;433;396;657;170;629;28;620;493;241;252;377;116;60;73;124;98;138;82;110;127;9
2023;3. Quartal;StB 5 Blasewitz;2187;1363;433;391;1363;425;161;205;2186;2127;3661;1017;3530;131;3497;2686;1210;1476;1820;866;410;508;683;471;614;421;610;811;33
2023;3. Quartal;StB 6 Leuben;1420;810;326;284;809;366;86;128;1418;1365;2526;819;2432;94;2419;1763;769;994;1311;452;316;363;437;258;389;365;387;656;13
2023;3. Quartal;StB 7 Prohlis;3850;2313;641;896;2312;751;237;481;3849;3727;7194;2374;6958;236;6921;5005;2456;2549;2678;2327;1001;1121;1218;777;888;744;893;1916;37
