Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2015;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;20064;4010
2015;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;121277;5539
2015;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;153637;3310
2015;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;378250;4434
2015;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;720832;4187
2015;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2701064;5249
2015;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;8482;2667
2015;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;23175;1105
2015;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;22127;476
2015;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;42514;500
2015;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;43464;277
2015;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;2249;7
2015;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;12139;2497
2015;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;74274;3376
2015;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;117071;2496
2015;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;332910;3864
2015;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;789519;4601
2015;02 Johannstadt;Deutsche;20 Jahre und mehr;2424262;5161
2015;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;4055;860
2015;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;14917;697
2015;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;17787;377
2015;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;35309;410
2015;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;29271;191
2015;02 Johannstadt;Ausländer;20 Jahre und mehr;8080;20
2015;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;28378;5383
2015;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;170544;7619
2015;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;260960;5548
2015;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;610921;7187
2015;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1054266;6142
