Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geborene
2023;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;31
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;55
2023;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;50
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;99
2023;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;118
2023;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;128
2023;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;80
2023;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;192
2023;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;77
2023;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;79
2023;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;135
2023;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;42
2023;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;135
2023;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;136
2023;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;51
2023;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;58
2023;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;95
2023;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;89
2023;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;31
2023;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;31
2023;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;25
2023;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;26
2023;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;56
2023;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;12
2023;45 Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;24
2023;46 Gönnsdorf/Pappritz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;16
2023;47 Schönfeld/Schullwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;16
2023;51 Blasewitz;StB 5 Blasewitz;08 Blasewitz, Striesen;69
2023;52 Striesen-Ost;StB 5 Blasewitz;08 Blasewitz, Striesen;135
2023;53 Striesen-Süd;StB 5 Blasewitz;08 Blasewitz, Striesen;95
2023;54 Striesen-West;StB 5 Blasewitz;08 Blasewitz, Striesen;112
2023;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;84
2023;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;76
2023;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;81
2023;61 Leuben;StB 6 Leuben;10 StB Leuben;93
2023;62 Laubegast;StB 6 Leuben;10 StB Leuben;58
2023;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;29
2023;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;30
2023;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);40
2023;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);67
