Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Insgesamt;Männer;Frauen;Deutsche;Ausländer;nach SGB II;nach SGB III;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung
2022;3. Quartal;StB 6 Leuben;1167;560;607;924;243;831;336;102;222;293;216;334;466;616;85
2022;3. Quartal;StB 7 Prohlis;2743;1427;1316;1713;1030;2270;473;279;636;702;513;613;1519;1019;204
2022;3. Quartal;StB 8 Plauen;1712;912;800;854;858;1267;445;161;441;474;292;344;924;504;284
2022;3. Quartal;StB 9 Cotta/westliche Ortschaften;3242;1710;1532;2246;996;2398;844;344;766;845;553;734;1555;1387;300
2022;3. Quartal;unbekannt;254;182;72;195;59;207;47;36;75;79;47;17;163;80;11
2022;4. Quartal;StB 0 Altstadt;2269;1218;1051;1193;1076;1685;584;249;590;586;397;447;1154;728;387
2022;4. Quartal;StB 1 Neustadt;1675;933;742;1269;406;1076;599;125;467;509;307;267;606;611;458
2022;4. Quartal;StB 2 Pieschen;1669;922;747;1406;263;1165;504;117;381;497;307;367;621;849;199
2022;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;463;260;203;400;63;252;211;36;80;114;74;159;113;260;90
2022;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;482;255;227;408;74;248;234;21;79;113;91;178;125;237;120
2022;4. Quartal;StB 5 Blasewitz;1863;1008;855;1462;401;1154;709;124;381;477;333;548;594;940;329
2022;4. Quartal;StB 6 Leuben;1075;546;529;884;191;748;327;80;201;272;193;329;400;591;84
2022;4. Quartal;StB 7 Prohlis;2541;1364;1177;1670;871;2057;484;222;579;681;468;591;1323;997;220
2022;4. Quartal;StB 8 Plauen;1564;869;695;825;739;1145;419;125;422;422;276;319;807;493;264
2022;4. Quartal;StB 9 Cotta/westliche Ortschaften;3112;1687;1425;2249;863;2272;840;288;732;823;556;713;1410;1401;301
2022;4. Quartal;unbekannt;238;175;63;191;47;197;41;30;73;70;50;15;143;75;20
2023;1. Quartal;StB 0 Altstadt;2495;1360;1135;1288;1207;1779;716;268;661;638;424;504;1229;793;473
2023;1. Quartal;StB 1 Neustadt;1766;1010;756;1332;434;1105;661;162;501;529;304;270;669;634;463
2023;1. Quartal;StB 2 Pieschen;1836;976;860;1551;285;1211;625;136;386;573;337;404;684;922;230
2023;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;533;308;225;457;76;270;263;41;78;138;92;184;126;312;95
2023;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;494;263;231;423;71;251;243;24;68;104;113;185;123;243;128
2023;1. Quartal;StB 5 Blasewitz;1999;1061;938;1563;436;1231;768;160;407;510;363;559;623;1025;351
2023;1. Quartal;StB 6 Leuben;1169;609;560;969;200;785;384;90;218;303;206;352;414;653;101
2023;1. Quartal;StB 7 Prohlis;2763;1532;1231;1804;959;2198;565;278;609;745;511;620;1420;1100;243
2023;1. Quartal;StB 8 Plauen;1754;964;790;928;826;1232;522;158;507;453;277;359;881;562;311
2023;1. Quartal;StB 9 Cotta/westliche Ortschaften;3330;1850;1480;2400;930;2319;1011;326;814;861;576;753;1513;1496;320
2023;1. Quartal;unbekannt;269;199;70;212;57;211;58;43;84;81;42;19;160;79;30
2023;2. Quartal;StB 0 Altstadt;2424;1321;1103;1294;1130;1726;698;273;634;619;396;502;1194;761;469
2023;2. Quartal;StB 1 Neustadt;1860;1087;773;1323;537;1194;666;180;559;530;312;279;713;617;530
2023;2. Quartal;StB 2 Pieschen;1773;970;803;1506;267;1177;596;153;389;550;313;368;659;894;220
2023;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;484;257;227;402;82;256;228;36;70;121;100;157;120;269;95
2023;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;452;244;208;393;59;228;224;21;67;93;105;166;106;221;125
2023;2. Quartal;StB 5 Blasewitz;1971;1020;951;1506;465;1222;749;155;390;543;349;534;630;937;404
2023;2. Quartal;StB 6 Leuben;1121;567;554;919;202;770;351;96;213;280;201;331;409;608;103
2023;2. Quartal;StB 7 Prohlis;2829;1542;1287;1830;999;2244;585;297;635;738;538;621;1472;1093;264
2023;2. Quartal;StB 8 Plauen;1728;973;755;877;851;1226;502;145;482;455;289;357;878;543;307
2023;2. Quartal;StB 9 Cotta/westliche Ortschaften;3268;1802;1466;2274;994;2344;924;312;795;846;559;756;1529;1403;335
2023;2. Quartal;unbekannt;290;213;77;235;55;236;54;46;86;93;46;19;184;74;32
2023;3. Quartal;StB 0 Altstadt;2529;1337;1192;1322;1207;1822;707;292;639;647;432;519;1218;801;509
2023;3. Quartal;StB 1 Neustadt;1966;1169;797;1407;559;1217;749;242;585;547;307;285;713;687;566
2023;3. Quartal;StB 2 Pieschen;1855;1005;850;1560;295;1231;624;171;392;568;345;379;668;942;245
2023;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;489;263;226;413;76;256;233;48;68;126;84;163;126;263;99
2023;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;455;227;228;384;71;238;217;40;60;102;100;153;117;212;126
2023;3. Quartal;StB 5 Blasewitz;2036;1073;963;1545;491;1237;799;182;419;531;368;536;654;976;406
2023;3. Quartal;StB 6 Leuben;1221;591;630;975;246;845;376;127;229;305;203;357;452;634;135
2023;3. Quartal;StB 7 Prohlis;2959;1550;1409;1833;1126;2336;623;334;667;798;524;636;1518;1117;324
2023;3. Quartal;StB 8 Plauen;1729;943;786;908;821;1213;516;181;428;461;299;360;860;533;336
2023;3. Quartal;StB 9 Cotta/westliche Ortschaften;3347;1796;1551;2312;1035;2397;950;367;769;887;562;762;1511;1466;369
2023;3. Quartal;unbekannt;311;225;86;250;61;252;59;52;79;112;53;15;196;83;32
2023;4. Quartal;StB 0 Altstadt;2581;1399;1182;1375;1206;1862;719;270;680;647;428;556;1228;834;519
2023;4. Quartal;StB 1 Neustadt;1859;1104;755;1357;502;1195;664;172;543;533;311;300;679;671;509
2023;4. Quartal;StB 2 Pieschen;1768;1000;768;1489;279;1166;602;126;372;561;320;389;611;913;244
2023;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;472;264;208;395;77;247;225;36;70;122;79;165;115;259;98
2023;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;463;247;216;402;61;231;232;29;69;114;87;164;110;219;134
2023;4. Quartal;StB 5 Blasewitz;1997;1060;937;1527;470;1231;766;151;424;496;356;570;607;957;433
2023;4. Quartal;StB 6 Leuben;1189;596;593;984;205;790;399;117;218;294;199;361;420;657;112
2023;4. Quartal;StB 7 Prohlis;2786;1510;1276;1786;1000;2210;576;304;611;721;517;633;1407;1097;282
2023;4. Quartal;StB 8 Plauen;1674;914;760;889;785;1171;503;159;429;430;288;368;819;529;326
2023;4. Quartal;StB 9 Cotta/westliche Ortschaften;3358;1834;1524;2313;1045;2365;993;312;771;903;591;781;1515;1464;379
2023;4. Quartal;unbekannt;345;229;116;263;82;280;65;59;80;132;55;19;211;91;43
2024;1. Quartal;StB 0 Altstadt;2772;1533;1239;1449;1323;1986;786;335;729;691;437;580;1322;896;554
2024;1. Quartal;StB 1 Neustadt;1942;1156;786;1411;531;1200;742;198;562;575;310;297;673;700;569
