Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Insgesamt;Männer;Frauen;Deutsche;Ausländer;nach SGB II;nach SGB III;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung
2018;1. Quartal;StB 0 Altstadt;2283;1382;901;1514;768;1750;533;191;694;493;455;450;886;960;437
2018;1. Quartal;StB 1 Neustadt;1856;1146;710;1535;317;1249;607;134;645;482;329;266;580;761;513
2018;1. Quartal;StB 2 Pieschen;1925;1089;836;1738;187;1308;617;136;552;460;377;400;603;1099;223
2018;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;576;340;236;545;31;297;279;34;117;109;124;192;103;374;99
2018;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;529;303;226;481;46;246;283;22;119;117;114;157;96;304;129
2018;1. Quartal;StB 5 Blasewitz;2042;1138;904;1765;275;1266;776;142;498;449;445;508;561;1088;392
2018;1. Quartal;StB 6 Leuben;1115;587;528;1035;80;758;357;86;238;238;251;302;327;675;113
2018;1. Quartal;StB 7 Prohlis;2740;1657;1083;2150;583;2189;551;260;749;585;560;586;1203;1314;223
2018;1. Quartal;StB 8 Plauen;1704;1046;658;1135;562;1223;481;179;551;351;299;324;701;665;338
2018;1. Quartal;StB 9 Cotta/westliche Ortschaften;3497;2115;1382;2911;579;2539;958;309;964;775;663;786;1277;1856;364
2018;1. Quartal;unbekannt;281;225;56;267;14;246;35;49;120;73;28;11;193;83;5
2018;2. Quartal;StB 0 Altstadt;2213;1305;908;1436;772;1742;471;200;653;481;448;431;921;891;401
2018;2. Quartal;StB 1 Neustadt;1771;1103;668;1457;309;1199;572;108;637;456;333;237;569;695;507
2018;2. Quartal;StB 2 Pieschen;1786;980;806;1615;171;1277;509;106;505;447;344;384;585;979;222
2018;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;540;305;235;507;33;268;272;28;119;111;106;176;99;338;103
2018;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;495;270;225;439;56;248;247;19;98;110;121;147;91;280;124
2018;2. Quartal;StB 5 Blasewitz;1934;1046;888;1663;270;1227;707;141;476;413;429;475;539;1024;371
2018;2. Quartal;StB 6 Leuben;1036;544;492;964;72;735;301;89;229;213;232;273;308;635;93
2018;2. Quartal;StB 7 Prohlis;2587;1547;1040;1999;577;2114;473;230;716;540;549;552;1187;1198;202
2018;2. Quartal;StB 8 Plauen;1660;985;675;1052;599;1212;448;173;541;356;288;302;715;577;368
2018;2. Quartal;StB 9 Cotta/westliche Ortschaften;3265;1923;1342;2689;570;2473;792;312;877;692;620;764;1248;1664;353
2018;2. Quartal;unbekannt;247;195;52;230;17;221;26;48;106;61;26;6;173;70;4
2018;3. Quartal;StB 0 Altstadt;2189;1295;894;1361;824;1715;474;231;655;448;439;416;934;854;401
2018;3. Quartal;StB 1 Neustadt;1759;1067;692;1414;341;1148;611;147;609;467;308;228;581;705;473
2018;3. Quartal;StB 2 Pieschen;1769;953;816;1571;198;1212;557;157;484;423;326;379;576;973;220
2018;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;497;283;214;465;32;259;238;39;104;102;94;158;93;303;101
2018;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;453;252;201;410;43;224;229;31;80;104;94;144;86;248;119
2018;3. Quartal;StB 5 Blasewitz;1883;1033;850;1590;291;1185;698;165;463;396;400;459;546;970;367
2018;3. Quartal;StB 6 Leuben;1020;528;492;939;81;706;314;83;223;220;221;273;304;624;92
2018;3. Quartal;StB 7 Prohlis;2544;1532;1012;1954;580;2068;476;256;675;554;532;527;1156;1189;199
2018;3. Quartal;StB 8 Plauen;1646;995;651;994;645;1197;449;213;524;341;283;285;728;572;346
2018;3. Quartal;StB 9 Cotta/westliche Ortschaften;3141;1876;1265;2547;587;2346;795;337;879;662;542;721;1209;1604;328
2018;3. Quartal;unbekannt;231;183;48;224;7;216;15;45;93;59;28;6;168;61;2
2018;4. Quartal;StB 0 Altstadt;2112;1263;849;1319;790;1643;469;190;632;448;412;430;913;812;386
2018;4. Quartal;StB 1 Neustadt;1611;991;620;1300;306;1066;545;109;545;449;281;227;514;659;438
2018;4. Quartal;StB 2 Pieschen;1698;922;776;1495;203;1144;554;116;482;406;320;374;564;923;211
2018;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;507;298;209;477;30;259;248;31;103;108;103;162;103;311;93
2018;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;434;250;184;396;38;207;227;16;81;103;89;145;81;243;110
2018;4. Quartal;StB 5 Blasewitz;1808;973;835;1528;277;1135;673;122;455;375;400;456;528;957;323
2018;4. Quartal;StB 6 Leuben;1022;534;488;940;82;687;335;69;220;222;233;278;304;623;95
2018;4. Quartal;StB 7 Prohlis;2447;1494;953;1889;552;1970;477;219;634;560;516;518;1097;1150;200
2018;4. Quartal;StB 8 Plauen;1549;965;584;890;648;1166;383;180;477;332;276;284;731;521;297
2018;4. Quartal;StB 9 Cotta/westliche Ortschaften;3085;1867;1218;2483;595;2280;805;304;850;688;518;725;1229;1543;313
2018;4. Quartal;unbekannt;242;191;51;218;24;218;24;50;91;62;34;5;179;57;6
2019;1. Quartal;StB 0 Altstadt;2182;1309;873;1354;822;1647;535;196;637;475;428;446;950;834;398
2019;1. Quartal;StB 1 Neustadt;1683;1055;628;1330;345;1074;609;123;569;451;307;233;549;700;434
2019;1. Quartal;StB 2 Pieschen;1736;964;772;1526;210;1136;600;119;465;448;304;400;559;983;194
2019;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;527;322;205;494;33;257;270;30;101;120;106;170;98;324;105
2019;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;459;272;187;410;49;200;259;24;80;97;107;151;91;251;117
2019;1. Quartal;StB 5 Blasewitz;1887;1042;845;1603;280;1157;730;147;472;403;400;465;567;1000;320
2019;1. Quartal;StB 6 Leuben;1077;590;487;984;93;686;391;100;246;231;219;281;317;655;105
2019;1. Quartal;StB 7 Prohlis;2517;1559;958;1906;603;1958;559;240;652;572;510;543;1143;1179;195
2019;1. Quartal;StB 8 Plauen;1700;1049;651;955;735;1253;447;191;531;376;283;319;806;572;322
2019;1. Quartal;StB 9 Cotta/westliche Ortschaften;3284;1969;1315;2647;631;2333;951;317;887;753;556;771;1325;1657;302
2019;1. Quartal;unbekannt;261;200;61;236;25;230;31;58;98;63;33;9;185;68;8
2019;2. Quartal;StB 0 Altstadt;2096;1242;854;1292;794;1622;474;179;623;466;412;416;934;769;393
2019;2. Quartal;StB 1 Neustadt;1590;962;628;1259;326;1049;541;129;530;444;270;217;544;630;416
2019;2. Quartal;StB 2 Pieschen;1669;930;739;1496;173;1123;546;115;453;444;281;376;539;941;189
2019;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;472;271;201;443;29;250;222;24;99;108;92;149;92;289;91
2019;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;452;253;199;404;46;216;236;27;89;94;105;137;103;236;113
2019;2. Quartal;StB 5 Blasewitz;1816;972;844;1539;273;1148;668;117;448;416;388;447;528;940;347
2019;2. Quartal;StB 6 Leuben;1022;545;477;931;91;693;329;92;241;202;205;282;329;594;99
2019;2. Quartal;StB 7 Prohlis;2389;1484;905;1801;577;1905;484;227;651;517;478;516;1092;1102;195
2019;2. Quartal;StB 8 Plauen;1644;998;646;924;711;1208;436;176;519;389;268;292;808;539;297
2019;2. Quartal;StB 9 Cotta/westliche Ortschaften;3156;1833;1323;2527;625;2326;830;325;857;765;496;713;1313;1544;299
2019;2. Quartal;unbekannt;256;193;63;231;25;232;24;46;100;67;35;8;172;77;7
2019;3. Quartal;StB 0 Altstadt;2099;1217;882;1293;796;1589;510;217;601;449;401;431;903;783;413
2019;3. Quartal;StB 1 Neustadt;1634;975;659;1296;333;1045;589;161;545;449;275;204;546;637;450
2019;3. Quartal;StB 2 Pieschen;1669;923;746;1478;191;1113;556;128;433;446;281;381;531;917;221
2019;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;494;281;213;467;27;240;254;37;93;101;99;164;90;296;108
2019;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;438;233;205;401;37;192;246;38;81;91;98;130;92;237;109
2019;3. Quartal;StB 5 Blasewitz;1823;990;833;1557;265;1114;709;140;424;390;370;499;502;975;345
2019;3. Quartal;StB 6 Leuben;1005;525;480;908;96;663;342;86;229;217;199;274;320;588;97
2019;3. Quartal;StB 7 Prohlis;2314;1394;920;1752;555;1818;496;251;597;535;450;481;1071;1043;200
2019;3. Quartal;StB 8 Plauen;1686;1027;659;945;727;1215;471;208;517;399;271;291;827;566;293
2019;3. Quartal;StB 9 Cotta/westliche Ortschaften;3077;1790;1287;2485;587;2226;851;333;787;728;508;721;1239;1531;307
2019;3. Quartal;unbekannt;240;174;66;221;19;215;25;51;92;55;37;5;167;68;5
2019;4. Quartal;StB 0 Altstadt;1953;1139;814;1226;723;1451;502;162;545;439;390;417;841;730;382
2019;4. Quartal;StB 1 Neustadt;1474;892;582;1180;291;954;520;111;484;416;253;210;497;579;398
2019;4. Quartal;StB 2 Pieschen;1650;924;726;1468;182;1085;565;103;451;452;275;369;535;904;211
2019;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;475;275;200;442;33;248;227;34;76;103;103;159;88;297;90
2019;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;406;231;175;362;44;186;220;25;80;82;85;134;93;212;101
2019;4. Quartal;StB 5 Blasewitz;1749;976;773;1492;255;1075;674;105;416;395;353;480;484;903;361
2019;4. Quartal;StB 6 Leuben;922;498;424;832;90;604;318;59;195;223;184;261;286;554;82
2019;4. Quartal;StB 7 Prohlis;2266;1395;871;1676;580;1793;473;209;575;554;449;479;1086;1005;175
2019;4. Quartal;StB 8 Plauen;1587;975;612;892;675;1158;429;178;493;396;253;267;772;516;299
2019;4. Quartal;StB 9 Cotta/westliche Ortschaften;2981;1756;1225;2388;588;2146;835;266;760;713;501;741;1192;1475;314
2019;4. Quartal;unbekannt;236;179;57;214;21;204;32;57;86;50;31;12;161;67;8
2020;1. Quartal;StB 0 Altstadt;2122;1245;877;1334;779;1535;587;224;600;477;385;436;959;751;412
2020;1. Quartal;StB 1 Neustadt;1534;941;593;1217;313;964;570;120;491;455;265;203;519;606;409
2020;1. Quartal;StB 2 Pieschen;1696;982;714;1499;197;1088;608;112;456;448;309;371;537;951;208
2020;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;472;290;182;445;27;231;241;27;93;98;93;161;83;295;94
2020;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;423;237;186;385;38;183;240;22;79;90;96;136;89;236;98
2020;1. Quartal;StB 5 Blasewitz;1825;1020;805;1548;275;1078;747;136;450;416;349;474;516;941;367
2020;1. Quartal;StB 6 Leuben;1020;558;462;922;98;666;354;71;240;223;204;282;325;611;84
2020;1. Quartal;StB 7 Prohlis;2353;1442;911;1753;595;1788;565;225;606;567;460;495;1124;1033;196
2020;1. Quartal;StB 8 Plauen;1683;1045;638;911;757;1209;474;189;528;405;288;273;822;560;301
2020;1. Quartal;StB 9 Cotta/westliche Ortschaften;3053;1796;1257;2404;644;2124;929;298;814;717;519;705;1242;1489;322
2020;1. Quartal;unbekannt;229;166;63;208;21;201;28;49;83;55;30;12;151;69;9
2020;2. Quartal;StB 0 Altstadt;2537;1457;1080;1538;984;1712;825;277;766;585;443;466;1126;876;535
2020;2. Quartal;StB 1 Neustadt;1946;1164;782;1558;383;1121;825;189;680;552;298;227;672;726;548
2020;2. Quartal;StB 2 Pieschen;1970;1131;839;1742;228;1153;817;148;562;543;335;382;640;1062;268
2020;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;565;327;238;525;40;249;316;36;109;126;110;184;109;330;126
2020;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;532;310;222;479;53;216;316;37;113;118;123;141;118;285;129
2020;2. Quartal;StB 5 Blasewitz;2165;1176;989;1855;309;1160;1005;207;538;520;410;490;623;1076;465
2020;2. Quartal;StB 6 Leuben;1183;642;541;1074;108;721;462;95;282;270;231;305;384;689;110
2020;2. Quartal;StB 7 Prohlis;2716;1689;1027;1996;710;1975;741;285;728;641;538;524;1304;1172;240
2020;2. Quartal;StB 8 Plauen;2002;1222;780;1083;900;1349;653;227;631;508;339;297;983;652;366
2020;2. Quartal;StB 9 Cotta/westliche Ortschaften;3626;2101;1525;2852;768;2346;1280;383;985;867;605;786;1474;1703;449
2020;2. Quartal;unbekannt;237;178;59;213;24;210;27;64;74;63;30;6;166;64;7
2020;3. Quartal;StB 0 Altstadt;2539;1441;1098;1538;987;1667;872;299;764;585;437;454;1114;915;510
2020;3. Quartal;StB 1 Neustadt;2002;1205;797;1615;382;1112;890;184;692;592;295;239;671;798;533
2020;3. Quartal;StB 2 Pieschen;1957;1114;843;1724;233;1105;852;186;557;522;313;379;627;1055;275
2020;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;555;305;250;520;35;240;315;43;109;126;95;182;107;333;115
2020;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;570;316;254;525;44;198;372;45;105;133;133;154;117;317;136
2020;3. Quartal;StB 5 Blasewitz;2166;1163;1003;1866;299;1157;1009;219;500;527;405;515;618;1102;445
2020;3. Quartal;StB 6 Leuben;1187;646;541;1074;113;706;481;100;280;268;241;298;393;691;102
2020;3. Quartal;StB 7 Prohlis;2728;1706;1022;1988;724;1957;771;287;727;660;532;522;1299;1161;268
2020;3. Quartal;StB 8 Plauen;1996;1201;795;1088;891;1322;674;246;614;505;324;307;954;659;383
2020;3. Quartal;StB 9 Cotta/westliche Ortschaften;3592;2114;1478;2816;767;2244;1348;418;959;854;609;752;1440;1743;409
2020;3. Quartal;unbekannt;214;160;54;190;23;184;30;46;76;58;27;7;156;51;7
2020;4. Quartal;StB 0 Altstadt;2461;1422;1039;1488;962;1631;830;245;695;596;437;488;1071;890;500
2020;4. Quartal;StB 1 Neustadt;1858;1135;723;1510;343;1076;782;134;621;570;287;246;625;721;512
2020;4. Quartal;StB 2 Pieschen;1857;1044;813;1640;217;1075;782;155;500;505;312;385;621;996;240
2020;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;524;311;213;493;31;230;294;30;91;132;89;182;102;330;92
2020;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;523;292;231;482;41;199;324;41;81;123;118;160;109;287;127
2020;4. Quartal;StB 5 Blasewitz;2100;1134;966;1828;271;1105;995;182;497;511;389;521;590;1105;404
2020;4. Quartal;StB 6 Leuben;1132;619;513;1018;114;673;459;88;262;245;245;292;377;647;107
2020;4. Quartal;StB 7 Prohlis;2656;1645;1011;1960;683;1924;732;272;685;636;533;530;1259;1155;242
2020;4. Quartal;StB 8 Plauen;1879;1128;751;1015;846;1284;595;203;573;481;295;327;913;617;349
2020;4. Quartal;StB 9 Cotta/westliche Ortschaften;3401;1994;1407;2676;716;2181;1220;321;870;856;583;771;1378;1648;375
2020;4. Quartal;unbekannt;218;172;46;198;20;194;24;52;70;65;23;8;158;57;3
2021;1. Quartal;StB 0 Altstadt;2607;1487;1120;1548;1045;1777;830;255;742;655;455;500;1151;937;519
