Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Baujahrgr-18-45-69-90-;Gebäudeart;Anzahl Wohnungen;Anzahl leerstehende Wohnungen
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;" bis 1918";Eigenheim;7;5
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;" bis 1918";Mehrfamilienhaus;64;17
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1919 - 1945;Eigenheim;74;7
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1919 - 1945;Mehrfamilienhaus;130;18
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1946 - 1969;Eigenheim;46;0
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1946 - 1969;Mehrfamilienhaus;539;138
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1970 - 1990;Eigenheim;41;1
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1970 - 1990;Mehrfamilienhaus;1642;130
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;ab 1991;Eigenheim;32;9
2002;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;ab 1991;Mehrfamilienhaus;308;72
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;" bis 1918";Eigenheim;20;1
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;" bis 1918";Mehrfamilienhaus;129;23
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1919 - 1945;Eigenheim;153;7
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1919 - 1945;Mehrfamilienhaus;434;64
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1946 - 1969;Eigenheim;45;2
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1946 - 1969;Mehrfamilienhaus;23;4
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1970 - 1990;Eigenheim;23;2
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1970 - 1990;Mehrfamilienhaus;4552;776
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;ab 1991;Eigenheim;21;0
2002;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;ab 1991;Mehrfamilienhaus;325;58
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Eigenheim;122;16
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Mehrfamilienhaus;492;138
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Eigenheim;227;13
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Mehrfamilienhaus;223;49
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Eigenheim;19;1
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Mehrfamilienhaus;43;23
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Eigenheim;109;2
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Mehrfamilienhaus;1956;112
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Eigenheim;187;7
2002;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Mehrfamilienhaus;582;111
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Eigenheim;154;12
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Mehrfamilienhaus;1021;367
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Eigenheim;460;14
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Mehrfamilienhaus;537;131
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Eigenheim;21;0
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Mehrfamilienhaus;227;10
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Eigenheim;29;0
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Mehrfamilienhaus;6;3
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Eigenheim;165;5
2002;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Mehrfamilienhaus;462;57
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Eigenheim;102;15
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;" bis 1918";Mehrfamilienhaus;2073;497
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Eigenheim;118;3
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1919 - 1945;Mehrfamilienhaus;1104;205
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Eigenheim;35;1
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1946 - 1969;Mehrfamilienhaus;1085;75
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Eigenheim;31;0
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1970 - 1990;Mehrfamilienhaus;97;6
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Eigenheim;41;4
2002;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;ab 1991;Mehrfamilienhaus;891;95
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Eigenheim;538;31
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Mehrfamilienhaus;800;315
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Eigenheim;343;14
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Mehrfamilienhaus;334;101
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Eigenheim;69;5
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Mehrfamilienhaus;192;19
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Eigenheim;132;3
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Mehrfamilienhaus;4;0
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Eigenheim;346;16
2002;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Mehrfamilienhaus;928;136
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Eigenheim;87;18
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Mehrfamilienhaus;3481;1200
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Eigenheim;13;0
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Mehrfamilienhaus;1627;466
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Eigenheim;4;0
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Mehrfamilienhaus;350;45
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Eigenheim;2;0
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Mehrfamilienhaus;18;2
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Eigenheim;63;11
2002;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Mehrfamilienhaus;886;153
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Eigenheim;8;5
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Mehrfamilienhaus;3155;1017
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Eigenheim;1;0
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Mehrfamilienhaus;787;193
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Eigenheim;4;0
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Mehrfamilienhaus;33;4
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Eigenheim;2;0
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Mehrfamilienhaus;218;59
2002;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Mehrfamilienhaus;732;165
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Eigenheim;15;5
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Mehrfamilienhaus;4186;1135
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Eigenheim;3;0
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Mehrfamilienhaus;1048;192
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Eigenheim;6;4
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Mehrfamilienhaus;67;19
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Eigenheim;2;0
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Mehrfamilienhaus;62;54
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Eigenheim;2;0
2002;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Mehrfamilienhaus;1095;185
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Eigenheim;262;28
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;" bis 1918";Mehrfamilienhaus;1420;574
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Eigenheim;762;11
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1919 - 1945;Mehrfamilienhaus;1868;414
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Eigenheim;48;5
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1946 - 1969;Mehrfamilienhaus;60;2
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Eigenheim;91;0
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1970 - 1990;Mehrfamilienhaus;7;5
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Eigenheim;287;6
2002;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;ab 1991;Mehrfamilienhaus;312;57
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;" bis 1918";Eigenheim;23;1
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;" bis 1918";Mehrfamilienhaus;46;17
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1919 - 1945;Eigenheim;209;3
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1919 - 1945;Mehrfamilienhaus;20;4
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1946 - 1969;Eigenheim;2;0
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1970 - 1990;Eigenheim;1;0
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1970 - 1990;Mehrfamilienhaus;5292;1094
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;ab 1991;Eigenheim;14;0
2002;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;ab 1991;Mehrfamilienhaus;66;16
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;" bis 1918";Eigenheim;6;3
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;" bis 1918";Mehrfamilienhaus;4;2
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1946 - 1969;Eigenheim;1;1
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1970 - 1990;Mehrfamilienhaus;3887;855
2002;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;ab 1991;Mehrfamilienhaus;1;0
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;" bis 1918";Eigenheim;8;4
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1919 - 1945;Eigenheim;3;0
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1970 - 1990;Eigenheim;1;0
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1970 - 1990;Mehrfamilienhaus;4786;1456
2002;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;ab 1991;Mehrfamilienhaus;1;1
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Eigenheim;458;40
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Mehrfamilienhaus;1893;673
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Eigenheim;781;15
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Mehrfamilienhaus;1311;332
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Eigenheim;41;1
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Mehrfamilienhaus;52;11
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Eigenheim;86;0
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Mehrfamilienhaus;20;5
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Eigenheim;213;7
2002;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Mehrfamilienhaus;1008;166
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Eigenheim;144;19
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;" bis 1918";Mehrfamilienhaus;164;65
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Eigenheim;95;3
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1919 - 1945;Mehrfamilienhaus;34;15
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Eigenheim;35;1
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1946 - 1969;Mehrfamilienhaus;27;5
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Eigenheim;68;3
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1970 - 1990;Mehrfamilienhaus;15;2
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Eigenheim;678;22
2002;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;ab 1991;Mehrfamilienhaus;419;48
2003;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Mehrfamilienhaus;5;1
2003;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Mehrfamilienhaus;927;191
2003;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Mehrfamilienhaus;32;23
2003;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Mehrfamilienhaus;34;8
2003;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Mehrfamilienhaus;16;0
2003;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Mehrfamilienhaus;3992;872
2003;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Mehrfamilienhaus;84;0
2003;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Mehrfamilienhaus;83;5
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Eigenheim;10;2
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Mehrfamilienhaus;63;16
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Eigenheim;17;5
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Mehrfamilienhaus;37;12
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Eigenheim;4;0
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Mehrfamilienhaus;3235;554
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Eigenheim;1;0
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Mehrfamilienhaus;467;20
2003;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Mehrfamilienhaus;302;73
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Eigenheim;4;1
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Mehrfamilienhaus;301;117
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Mehrfamilienhaus;15;4
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Mehrfamilienhaus;4335;371
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Mehrfamilienhaus;78;4
2003;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Mehrfamilienhaus;191;48
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Eigenheim;8;0
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;" bis 1918";Mehrfamilienhaus;2079;835
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Eigenheim;2;0
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1919 - 1945;Mehrfamilienhaus;236;71
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Eigenheim;4;1
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1946 - 1969;Mehrfamilienhaus;144;62
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1970 - 1990;Mehrfamilienhaus;536;183
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Eigenheim;1;0
2003;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;ab 1991;Mehrfamilienhaus;1116;286
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;" bis 1918";Eigenheim;1;0
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;" bis 1918";Mehrfamilienhaus;1096;133
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;1919 - 1945;Eigenheim;3;0
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;1919 - 1945;Mehrfamilienhaus;672;254
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;1946 - 1969;Mehrfamilienhaus;50;23
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;1970 - 1990;Mehrfamilienhaus;3487;299
2003;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;ab 1991;Mehrfamilienhaus;726;106
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;" bis 1918";Mehrfamilienhaus;99;23
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1919 - 1945;Mehrfamilienhaus;22;5
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1946 - 1969;Eigenheim;1;0
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1946 - 1969;Mehrfamilienhaus;3005;128
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1970 - 1990;Mehrfamilienhaus;3765;629
2003;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;ab 1991;Mehrfamilienhaus;478;82
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;66;15
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;7304;1222
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Eigenheim;2;0
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Mehrfamilienhaus;582;69
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Eigenheim;1;1
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Mehrfamilienhaus;144;27
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Mehrfamilienhaus;467;84
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Eigenheim;5;0
2003;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Mehrfamilienhaus;1033;115
2003;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;118;11
2003;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;1219;277
