Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Baujahrgr-18-45-69-90-;Gebäudeart;Anzahl Wohnungen;Anzahl leerstehende Wohnungen
1999;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1946 - 1969;Eigenheim;1;0
1999;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1946 - 1969;Mehrfamilienhaus;3018;163
1999;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;1970 - 1990;Mehrfamilienhaus;3640;248
1999;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;ab 1991;Mehrfamilienhaus;478;117
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;70;13
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;7149;2244
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Eigenheim;2;0
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Mehrfamilienhaus;581;168
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Eigenheim;1;1
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Mehrfamilienhaus;135;69
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Mehrfamilienhaus;484;134
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Eigenheim;4;0
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Mehrfamilienhaus;877;205
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;106;17
