Jahr;Pos.-Nr. der ICD-10;Todesursache;1. Quartal;2. Quartal;3. Quartal;4. Quartal;Insgesamt
2020;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";18;10;16;10;54
2020;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";115;78;65;86;344
2020;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";46;24;19;23;112
2020;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";56;43;37;52;188
2020;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";50;59;73;69;251
2020;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";25;26;36;34;121
2020;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";14;13;9;15;51
2020;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";19;25;25;18;87
2020;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";9;11;11;6;37
2020;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";-;-;-;-;-
2020;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";4;3;-;-;12
2020;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";30;42;44;42;158
2020;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";107;62;96;107;372
2020;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";18;19;27;23;87
2020;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";17;12;13;15;57
2020;T00-T07;"Verletzungen mit Beteiligung mehrerer Körperregionen                                                                                                                           ";4;3;10;8;25
2020;T66-T78;"Sonstige und n.n.bez. Schäden durch äußere Ursachen                                                                                                                            ";22;7;14;13;56
2020;U00-U49;"KAPITEL XXII: Schlüsselnummern für besondere Zwecke                                                                                                                            ";-;6;-;425;437
2020;U07, U10;"Krankheiten in Verbindung mit Covid-19                                                                                                                                         ";-;6;-;425;437
2020;W00-W19;"Stürze                                                                                                                                                                         ";53;31;45;54;183
2020;X60-X84;"Vorsätzliche Selbstbeschädigung                                                                                                                                                ";21;14;14;18;67
2021;A00-T98;"Insgesamt                                                                                                                                                                      ";1846;1387;1333;1873;6439
2021;A00-B99;"KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten                                                                                                                     ";18;13;16;21;68
2021;A00-A09;"Infektiöse Darmkrankheiten                                                                                                                                                     ";8;4;-;-;20
2021;C00-D48;"KAPITEL II: Neubildungen                                                                                                                                                       ";330;342;375;356;1403
2021;C00-C97;"Bösartige Neubildungen                                                                                                                                                         ";323;329;368;347;1367
2021;C00-C14;"Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx                                                                                                                ";8;12;8;10;38
2021;C15-C26;"Bösartige Neubildungen der Verdauungsorgane                                                                                                                                    ";110;109;115;119;453
2021;C30-C39;"Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe                                                                                                  ";57;40;61;54;212
2021;C43-C44;"Melanom und sonstige bösartige Neubildungen der Haut                                                                                                                           ";9;7;11;7;34
2021;C50;"Bösartige Neubildung der Brustdrüse                                                                                                                                            ";26;17;28;27;98
2021;C51-C58;"Bösartige Neubildungen der weiblichen Genitalorgane                                                                                                                            ";14;16;22;20;72
2021;C60-C63;"Bösartige Neubildungen der männlichen Genitalorgane                                                                                                                            ";24;22;25;15;86
2021;C64-C68;"Bösartige Neubildungen der Harnorgane                                                                                                                                          ";31;27;30;22;110
2021;C69-C72;"Bösartige Neubildungen des Auges, des Gehirns und des Zentralnervensystems                                                                                                     ";10;9;10;12;41
2021;C81-C96;"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes                                                                                                 ";16;34;30;41;121
2021;D50-D89;"KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems                                                    ";-;-;8;4;21
2021;E00-E90;"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten                                                                                                                 ";50;43;43;51;187
2021;E10-E14;"Diabetes mellitus                                                                                                                                                              ";33;31;30;34;128
2021;F00-F99;"KAPITEL V: Psychische und Verhaltensstörungen                                                                                                                                  ";100;72;75;119;366
2021;F10-F19;"Psychische und Verhaltensstörungen durch psychotrope Substanzen                                                                                                                ";8;10;5;9;32
2021;G00-G99, H00-H95;"KAPITEL VI-VIII: Krankheiten des Nervensystems, des Auges und der Augenanhangsgebilde, des Ohres und des Warzenfortsatzes                                                      ";69;52;64;69;254
2021;I00-I99;"KAPITEL IX: Krankheiten des Kreislaufsystems                                                                                                                                   ";555;488;446;532;2021
2021;I10-I15;"Hypertonie (Hochdruckkrankheit)                                                                                                                                                ";117;80;76;107;380
2021;I20-I25;"Ischämische Herzkrankheiten                                                                                                                                                    ";199;174;153;182;708
2021;I21;"Akuter und rezidivierender Myokardinfarkt                                                                                                                                      ";67;67;53;61;248
2021;I30-I52;"Sonstige Formen der Herzkrankheit                                                                                                                                              ";121;129;107;134;491
2021;I60-I69;"Zerebrovaskuläre Krankheiten                                                                                                                                                   ";80;71;83;76;310
2021;I64;"Schlaganfall, nicht als Blutung oder Infarkt bez.                                                                                                                              ";17;10;16;13;56
2021;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";11;14;11;10;46
2021;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";65;50;54;78;247
