Jahr;Pos.-Nr. der ICD-10;Todesursache;1. Quartal;2. Quartal;3. Quartal;4. Quartal;Insgesamt
2021;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";17;10;14;21;62
2021;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";38;26;29;47;140
2021;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";63;68;57;78;266
2021;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";26;30;25;37;118
2021;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";17;12;11;18;58
2021;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";24;28;24;36;112
2021;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";17;11;12;10;50
2021;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";0;0;0;0;0
2021;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";-;-;6;4;14
2021;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";36;35;43;55;169
2021;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";103;95;101;104;403
2021;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";21;18;13;27;79
2021;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";15;12;11;13;51
2021;T00-T07;"Verletzungen mit Beteiligung mehrerer Körperregionen                                                                                                                           ";7;4;9;5;25
2021;T66-T78;"Sonstige und n.n.bez. Schäden durch äußere Ursachen                                                                                                                            ";22;18;15;12;67
2021;U00-U49;"KAPITEL XXII: Schlüsselnummern für besondere Zwecke                                                                                                                            ";408;84;10;348;850
2021;U07, U10;"Krankheiten in Verbindung mit Covid-19                                                                                                                                         ";408;84;10;348;850
2021;W00-W19;"Stürze                                                                                                                                                                         ";51;43;40;52;186
2021;X60-X84;"Vorsätzliche Selbstbeschädigung                                                                                                                                                ";26;15;18;18;77
2022;A00-T98;"Insgesamt                                                                                                                                                                      ";1523;1397;1426;1736;6082
2022;A00-B99;"KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten                                                                                                                     ";19;19;14;20;72
2022;A00-A09;"Infektiöse Darmkrankheiten                                                                                                                                                     ";8;9;-;-;23
2022;C00-D48;"KAPITEL II: Neubildungen                                                                                                                                                       ";318;346;366;365;1395
2022;C00-C97;"Bösartige Neubildungen                                                                                                                                                         ";299;334;356;354;1343
2022;C00-C14;"Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx                                                                                                                ";5;7;9;5;26
2022;C15-C26;"Bösartige Neubildungen der Verdauungsorgane                                                                                                                                    ";100;114;122;115;451
2022;C30-C39;"Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe                                                                                                  ";44;60;51;54;209
2022;C43-C44;"Melanom und sonstige bösartige Neubildungen der Haut                                                                                                                           ";-;-;4;8;18
2022;C50;"Bösartige Neubildung der Brustdrüse                                                                                                                                            ";25;22;29;26;102
2022;C51-C58;"Bösartige Neubildungen der weiblichen Genitalorgane                                                                                                                            ";12;17;12;22;63
2022;C60-C63;"Bösartige Neubildungen der männlichen Genitalorgane                                                                                                                            ";21;27;36;29;113
2022;C64-C68;"Bösartige Neubildungen der Harnorgane                                                                                                                                          ";19;30;20;26;95
2022;C69-C72;"Bösartige Neubildungen des Auges, des Gehirns und des Zentralnervensystems                                                                                                     ";10;11;11;13;45
2022;C81-C96;"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes                                                                                                 ";40;18;33;36;127
2022;D50-D89;"KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems                                                    ";7;5;11;6;29
2022;E00-E90;"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten                                                                                                                 ";39;46;50;71;206
2022;E10-E14;"Diabetes mellitus                                                                                                                                                              ";28;30;37;46;141
2022;F00-F99;"KAPITEL V: Psychische und Verhaltensstörungen                                                                                                                                  ";92;80;100;111;383
2022;F10-F19;"Psychische und Verhaltensstörungen durch psychotrope Substanzen                                                                                                                ";7;7;11;15;40
2022;G00-G99, H00-H95;"KAPITEL VI-VIII: Krankheiten des Nervensystems, des Auges und der Augenanhangsgebilde, des Ohres und des Warzenfortsatzes                                                      ";63;50;68;90;271
2022;I00-I99;"KAPITEL IX: Krankheiten des Kreislaufsystems                                                                                                                                   ";548;479;462;606;2095
2022;I10-I15;"Hypertonie (Hochdruckkrankheit)                                                                                                                                                ";116;84;83;121;404
2022;I20-I25;"Ischämische Herzkrankheiten                                                                                                                                                    ";186;153;171;176;686
2022;I21;"Akuter und rezidivierender Myokardinfarkt                                                                                                                                      ";56;44;56;54;210
2022;I30-I52;"Sonstige Formen der Herzkrankheit                                                                                                                                              ";134;128;117;156;535
2022;I60-I69;"Zerebrovaskuläre Krankheiten                                                                                                                                                   ";86;88;63;114;351
2022;I64;"Schlaganfall, nicht als Blutung oder Infarkt bez.                                                                                                                              ";4;4;15;17;40
2022;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";8;9;13;15;45
2022;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";72;76;69;102;319
2022;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";11;14;17;33;75
2022;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";49;45;39;55;188
2022;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";71;70;65;73;279
2022;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";29;31;30;35;125
2022;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";11;13;10;21;64
2022;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";16;29;31;35;111
2022;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";6;13;12;21;52
2022;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";0;0;0;0;0
2022;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";-;-;-;-;9
2022;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";52;36;38;45;171
2022;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";98;97;93;107;395
2022;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";16;24;18;21;79
2022;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";17;20;10;25;72
2022;T00-T07;"Verletzungen mit Beteiligung mehrerer Körperregionen                                                                                                                           ";5;3;10;9;27
2022;T66-T78;"Sonstige und n.n.bez. Schäden durch äußere Ursachen                                                                                                                            ";20;13;11;6;50
2022;U00-U49;"KAPITEL XXII: Schlüsselnummern für besondere Zwecke                                                                                                                            ";109;47;44;78;278
2022;U07, U10;"Krankheiten in Verbindung mit Covid-19                                                                                                                                         ";109;47;44;78;278
2022;W00-W19;"Stürze                                                                                                                                                                         ";35;33;37;51;156
2022;X60-X84;"Vorsätzliche Selbstbeschädigung                                                                                                                                                ";23;19;25;19;86
2023;A00-T98;"Insgesamt                                                                                                                                                                      ";1672;1435;1315;1606;6028
2023;A00-B99;"KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten                                                                                                                     ";13;20;16;28;77
2023;A00-A09;"Infektiöse Darmkrankheiten                                                                                                                                                     ";5;8;-;-;23
2023;C00-D48;"KAPITEL II: Neubildungen                                                                                                                                                       ";330;354;338;348;1370
2023;C00-C97;"Bösartige Neubildungen                                                                                                                                                         ";323;341;332;330;1326
2023;C00-C14;"Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx                                                                                                                ";15;14;13;17;59
2023;C15-C26;"Bösartige Neubildungen der Verdauungsorgane                                                                                                                                    ";103;119;106;111;439
2023;C30-C39;"Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe                                                                                                  ";52;46;55;47;200
2023;C43-C44;"Melanom und sonstige bösartige Neubildungen der Haut                                                                                                                           ";8;3;4;9;24
2023;C50;"Bösartige Neubildung der Brustdrüse                                                                                                                                            ";22;25;24;27;98
2023;C51-C58;"Bösartige Neubildungen der weiblichen Genitalorgane                                                                                                                            ";16;20;15;19;70
2023;C60-C63;"Bösartige Neubildungen der männlichen Genitalorgane                                                                                                                            ";29;22;26;24;101
2023;C64-C68;"Bösartige Neubildungen der Harnorgane                                                                                                                                          ";24;32;18;24;98
2023;C69-C72;"Bösartige Neubildungen des Auges, des Gehirns und des Zentralnervensystems                                                                                                     ";15;12;13;7;47
2023;C81-C96;"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes                                                                                                 ";21;29;28;30;108
2023;D50-D89;"KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems                                                    ";0;6;7;8;21
2023;E00-E90;"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten                                                                                                                 ";74;41;47;57;219
2023;E10-E14;"Diabetes mellitus                                                                                                                                                              ";45;30;31;42;148
2023;F00-F99;"KAPITEL V: Psychische und Verhaltensstörungen                                                                                                                                  ";119;116;119;123;477
2023;F10-F19;"Psychische und Verhaltensstörungen durch psychotrope Substanzen                                                                                                                ";-;-;10;11;29
2023;G00-G99, H00-H95;"KAPITEL VI-VIII: Krankheiten des Nervensystems, des Auges und der Augenanhangsgebilde, des Ohres und des Warzenfortsatzes                                                      ";78;63;82;82;308
2023;I00-I99;"KAPITEL IX: Krankheiten des Kreislaufsystems                                                                                                                                   ";602;498;432;524;2056
2023;I10-I15;"Hypertonie (Hochdruckkrankheit)                                                                                                                                                ";117;94;70;98;379
2023;I20-I25;"Ischämische Herzkrankheiten                                                                                                                                                    ";186;156;153;181;676
2023;I21-I22;"Akuter und rezidivierender Myokardinfarkt                                                                                                                                      ";56;45;59;69;229
2023;I30-I52;"Sonstige Formen der Herzkrankheit                                                                                                                                              ";150;132;106;147;535
2023;I60-I69;"Zerebrovaskuläre Krankheiten                                                                                                                                                   ";119;87;71;72;349
2023;I64;"Schlaganfall, nicht als Blutung oder Infarkt bez.                                                                                                                              ";15;6;19;10;50
2023;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";7;14;14;10;45
2023;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";118;76;44;81;319
2023;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";43;25;11;25;104
2023;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";57;34;20;43;154
2023;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";81;58;57;70;266
2023;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";36;26;22;31;115
2023;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";14;11;13;18;63
2023;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";19;24;20;36;99
2023;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";8;15;10;20;53
2023;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";0;0;0;0;0
2023;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";-;-;-;-;23
2023;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";49;37;42;47;175
2023;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";111;98;90;102;401
2023;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";29;20;25;18;92
2023;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";16;16;17;21;70
2023;T00-T07;"Verletzungen mit Beteiligung mehrerer Körperregionen                                                                                                                           ";6;5;-;-;16
2023;T66-T78;"Sonstige und n.n.bez. Schäden durch äußere Ursachen                                                                                                                            ";14;11;17;15;57
2023;U00-U49;"KAPITEL XXII: Schlüsselnummern für besondere Zwecke                                                                                                                            ";50;26;-;-;154
2023;U07, U10;"Krankheiten in Verbindung mit Covid-19                                                                                                                                         ";50;26;-;-;154
2023;W00-W19;"Stürze                                                                                                                                                                         ";58;46;41;54;199
2023;X60-X84;"Vorsätzliche Selbstbeschädigung                                                                                                                                                ";19;20;23;22;84
2024;A00-T98;"Insgesamt                                                                                                                                                                      ";1584;1357;1416;1503;5860
2024;A00-B99;"KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten                                                                                                                     ";20;16;18;19;73
2024;A00-A09;"Infektiöse Darmkrankheiten                                                                                                                                                     ";5;5;5;10;25
2024;C00-D48;"KAPITEL II: Neubildungen                                                                                                                                                       ";341;344;383;362;1430
2024;C00-C97;"Bösartige Neubildungen                                                                                                                                                         ";335;328;378;352;1393
2024;C00-C14;"Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx                                                                                                                ";9;10;9;10;38
2024;C15-C26;"Bösartige Neubildungen der Verdauungsorgane                                                                                                                                    ";99;126;136;120;481
2024;C30-C39;"Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe                                                                                                  ";60;45;47;54;206
2024;C43-C44;"Melanom und sonstige bösartige Neubildungen der Haut                                                                                                                           ";9;6;6;9;30
2024;C50;"Bösartige Neubildung der Brustdrüse                                                                                                                                            ";28;13;33;26;100
2024;C51-C58;"Bösartige Neubildungen der weiblichen Genitalorgane                                                                                                                            ";22;16;19;15;72
2024;C60-C63;"Bösartige Neubildungen der männlichen Genitalorgane                                                                                                                            ";14;28;27;30;99
2024;C64-C68;"Bösartige Neubildungen der Harnorgane                                                                                                                                          ";32;21;27;18;98
2024;C69-C72;"Bösartige Neubildungen des Auges, des Gehirns und des Zentralnervensystems                                                                                                     ";11;9;10;6;36
2024;C81-C96;"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes                                                                                                 ";31;31;35;40;137
2024;D50-D89;"KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems                                                    ";8;7;-;-;24
2024;E00-E90;"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten                                                                                                                 ";73;34;54;49;210
2024;E10-E14;"Diabetes mellitus                                                                                                                                                              ";54;19;32;32;137
2024;F00-F99;"KAPITEL V: Psychische und Verhaltensstörungen                                                                                                                                  ";118;109;129;132;488
2024;F10-F19;"Psychische und Verhaltensstörungen durch psychotrope Substanzen                                                                                                                ";10;13;5;6;34
2024;G00-G99, H00-H95;"KAPITEL VI-VIII: Krankheiten des Nervensystems, des Auges und der Augenanhangsgebilde, des Ohres und des Warzenfortsatzes                                                      ";80;61;54;74;269
2024;I00-I99;"KAPITEL IX: Krankheiten des Kreislaufsystems                                                                                                                                   ";529;492;455;501;1977
2024;I10-I15;"Hypertonie (Hochdruckkrankheit)                                                                                                                                                ";112;84;87;94;377
2024;I20-I25;"Ischämische Herzkrankheiten                                                                                                                                                    ";174;155;138;170;637
2024;I21-I22;"Akuter und rezidivierender Myokardinfarkt                                                                                                                                      ";43;53;50;52;198
2024;I30-I52;"Sonstige Formen der Herzkrankheit                                                                                                                                              ";142;157;135;133;567
2024;I60-I69;"Zerebrovaskuläre Krankheiten                                                                                                                                                   ";64;61;65;74;264
2024;I64;"Schlaganfall, nicht als Blutung oder Infarkt bez.                                                                                                                              ";6;5;6;10;27
2024;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";18;16;10;10;54
2024;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";116;58;61;66;301
2024;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";41;15;16;20;92
2024;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";60;31;29;33;153
2024;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";87;56;78;73;294
2024;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";37;27;30;35;129
2024;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";16;21;18;12;76
2024;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";25;28;29;31;113
2024;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";13;14;19;10;56
2024;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";0;0;0;0;0
2024;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";-;-;-;-;14
2024;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";33;34;43;37;147
2024;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";111;92;77;101;381
2024;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";30;23;24;22;99
2024;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";23;13;10;21;67
2024;T00-T07;"Verletzungen mit Beteiligung mehrerer Körperregionen                                                                                                                           ";-;-;-;-;12
2024;T66-T78;"Sonstige und n.n.bez. Schäden durch äußere Ursachen                                                                                                                            ";20;10;12;14;56
2024;U00-U49;"KAPITEL XXII: Schlüsselnummern für besondere Zwecke                                                                                                                            ";-;-;9;34;63
2024;U07, U10;"Krankheiten in Verbindung mit Covid-19                                                                                                                                         ";-;-;9;34;63
2024;W00-W19;"Stürze                                                                                                                                                                         ";63;43;44;52;202
2024;X60-X84;"Vorsätzliche Selbstbeschädigung                                                                                                                                                ";23;25;16;22;86
