Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Fertigstellungsjahr;Anzahl Gebäude;Wohnungen gesamt
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2018;5;37
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2019;4;18
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2020;6;13
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2021;10;82
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2022;3;7
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2023;6;17
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2024;2;16
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2025;1;7
13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;unbekannt;18;130
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1992;3;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1993;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1994;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1995;3;8
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1996;3;11
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1997;9;70
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1998;13;227
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;1999;8;114
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2000;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2002;5;15
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2004;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2005;5;5
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2006;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2007;2;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2008;6;6
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2009;10;15
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2010;4;18
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2011;9;54
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2012;3;6
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2013;3;6
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2014;2;10
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2015;3;14
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2016;5;23
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2017;3;8
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2018;10;44
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2019;6;46
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2020;22;236
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2021;11;156
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2022;9;120
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2023;8;84
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2024;15;290
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;2025;4;62
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Neubau;unbekannt;11;243
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1993;1;0
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1994;3;26
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1995;5;30
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1996;6;62
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1997;19;216
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1998;24;278
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;1999;16;190
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2000;20;184
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2001;23;259
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2002;8;58
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2003;10;77
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2004;5;57
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2005;9;48
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2006;23;210
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2007;16;90
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2008;8;68
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2009;18;148
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2010;19;146
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2011;13;111
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2012;20;165
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2013;10;91
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2014;1;8
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2015;14;82
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2016;15;146
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2017;11;104
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2018;2;24
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2019;2;18
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2020;9;91
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2021;7;37
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2022;4;37
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2023;5;17
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2024;10;65
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2025;6;64
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;2026;1;5
14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;Umbau;unbekannt;15;115
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1992;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1993;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1994;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1995;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1996;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1997;6;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1998;3;9
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;1999;15;339
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2000;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2001;5;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2002;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2003;2;1
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2005;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2006;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2007;3;72
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2009;29;44
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2010;2;2
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2011;28;58
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2012;4;21
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2013;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2014;21;19
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2015;8;7
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2016;51;84
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2017;19;21
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2018;6;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2019;5;61
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2020;5;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2021;4;45
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2022;8;55
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2023;28;290
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2024;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;2025;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Neubau;unbekannt;20;207
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1992;1;2
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1993;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1994;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1995;1;142
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1996;9;115
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1997;2;10
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;1999;6;32
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2000;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2001;3;20
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2002;2;6
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2003;6;36
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2005;4;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2006;7;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2008;5;3
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2009;5;33
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2010;3;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2011;13;233
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2012;7;7
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2013;2;20
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2014;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2015;3;11
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2016;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2017;1;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2018;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2019;4;30
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2020;2;48
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2021;2;0
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2023;5;3
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2024;14;24
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;2025;2;60
15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;Umbau;unbekannt;6;6
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1994;7;46
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1995;12;101
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1996;11;117
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1997;24;377
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1998;12;56
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;1999;9;50
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2000;3;45
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2001;2;6
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2002;8;10
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2004;5;1
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2005;5;5
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2006;2;1
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2009;2;3
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2010;2;2
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2012;2;4
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2013;4;10
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2014;11;9
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2015;3;20
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2016;6;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2017;12;153
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2018;3;8
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2019;5;16
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2020;1;6
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2021;12;66
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2022;2;29
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2023;4;14
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;2025;6;59
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Neubau;unbekannt;14;89
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1992;2;0
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1993;4;35
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1994;9;39
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1995;16;127
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1996;19;165
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1997;37;387
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1998;35;351
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;1999;22;188
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2000;15;102
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2001;15;129
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2002;13;104
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2003;6;39
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2004;8;55
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2005;28;197
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2006;7;53
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2007;22;120
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2008;7;55
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2009;16;139
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2010;13;74
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2011;4;21
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2012;8;61
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2013;9;64
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2014;12;99
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2015;8;43
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2016;9;55
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2017;13;87
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2018;7;46
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2019;2;20
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2020;8;55
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2021;1;1
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2022;1;0
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2023;4;78
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2024;4;40
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;2025;3;21
21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;Umbau;unbekannt;21;116
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1993;8;65
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1994;10;133
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1995;33;421
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1996;20;106
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1997;53;487
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1998;37;327
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;1999;22;141
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2000;9;61
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2001;10;14
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2002;4;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2003;1;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2004;2;1
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2005;12;10
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2006;5;5
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2007;7;5
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2008;7;6
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2009;12;10
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2010;11;7
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2011;9;6
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2012;7;3
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2013;2;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2014;12;8
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2015;5;14
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2016;8;5
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2017;7;37
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2018;14;108
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2019;18;96
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2020;20;218
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2021;7;24
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2022;12;188
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2023;11;31
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2024;2;0
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;2025;2;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Neubau;unbekannt;67;1158
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1992;1;2
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1993;8;52
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1994;9;31
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1995;13;54
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1996;11;87
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1997;23;262
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1998;21;184
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;1999;10;79
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2000;25;240
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2001;25;197
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2002;6;31
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2003;2;3
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2004;5;31
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2005;7;35
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2006;3;16
22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;Umbau;2007;8;66
