Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Fertigstellungsjahr;Anzahl Gebäude;Wohnungen gesamt
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;1;1
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;3;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2016;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2018;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2019;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2020;2;170
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2021;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2022;6;187
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2024;7;110
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;unbekannt;24;674
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1993;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1994;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1999;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2000;8;95
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2001;4;45
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2002;6;75
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2003;54;759
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2004;27;439
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2005;2;1
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2007;5;432
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2008;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2009;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2010;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2011;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2013;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2014;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2017;2;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2019;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2020;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2023;1;85
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2024;5;50
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2025;1;0
02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;unbekannt;9;253
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1993;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;7;44
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1995;4;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;2;22
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;17;154
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;12;96
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;2;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2001;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2003;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;3;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;3;38
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;2;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;2;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;8;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;5;5
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;2;2
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;5;13
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;4;1
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;8;10
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;5;36
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2016;16;313
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;9;281
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2018;13;301
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2019;7;94
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2022;12;90
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2024;5;20
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2025;3;1
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;unbekannt;28;526
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1992;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1994;4;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1995;4;1
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1996;3;7
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1999;3;27
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2000;14;128
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2001;9;102
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2002;27;310
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2003;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2004;1;11
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2005;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2006;3;11
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2007;2;121
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2008;3;7
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2009;3;5
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2010;3;4
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2011;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2012;2;6
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2013;4;70
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2014;5;9
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2015;2;6
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2016;4;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2017;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2018;3;2
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2019;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2020;4;229
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2022;9;221
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2023;2;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2024;4;18
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2025;4;21
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;unbekannt;7;154
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1992;1;0
