Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;730;365;365
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;369;246;123
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;148;115;33
2017;StB 0 Altstadt;02 Johannstadt;1 Kind;606;303;303
2017;StB 0 Altstadt;02 Johannstadt;2 Kinder;345;230;115
2017;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;143;109;34
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;1432;716;716
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;866;578;289
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;265;202;63
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;554;277;277
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;291;194;97
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;93;71;22
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;1098;549;549
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;618;412;206
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;296;228;68
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;1210;605;605
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;612;408;204
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;252;192;60
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;726;363;363
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;480;320;160
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;115;88;27
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;818;409;409
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;543;362;181
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;160;121;39
2017;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;1642;821;821
2017;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;969;646;323
2017;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;190;144;46
2017;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;1544;772;772
2017;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;873;582;291
2017;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;191;146;45
2017;StB 6 Leuben;10 StB Leuben;1 Kind;1452;726;726
2017;StB 6 Leuben;10 StB Leuben;2 Kinder;813;542;271
2017;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;301;231;70
2017;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;858;429;429
2017;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;648;432;216
2017;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;452;348;104
2017;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;952;476;476
2017;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;486;324;162
2017;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;180;138;42
2017;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;674;337;337
2017;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;447;298;149
2017;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;167;129;38
2017;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;642;321;321
2017;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;390;260;130
2017;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;83;63;20
2017;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;1376;688;688
2017;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;744;496;248
2017;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;204;155;49
2017;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;878;439;439
2017;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;678;452;226
2017;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;373;289;84
2017;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;562;281;281
2017;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;342;228;114
2017;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;95;73;22
