Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1557
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;561
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;314
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;14589
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;919
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;2729
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8641
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;185
2013;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;135
2013;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1756
2013;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;505
2013;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;358
2013;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;10121
2013;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;761
2013;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;1688
2013;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8528
2013;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;184
2013;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;136
