Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2189
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1297
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;1824
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16671
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;2084
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;9190
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7028
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;322
2025;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;401
2025;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1857
2025;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;798
2025;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;1102
2025;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;9561
2025;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1141
2025;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;3942
2025;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7144
2025;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;305
2025;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;279
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5328
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1085
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Ausländer;764
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;21961
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1475
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Ausländer;4733
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;4119
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;135
2025;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Ausländer;244
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1981
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;322
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Ausländer;115
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;8887
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;408
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Ausländer;1061
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;959
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;34
2025;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Ausländer;37
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;3598
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Deutsche mit Migrationshintergrund;549
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Ausländer;324
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;14646
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Deutsche mit Migrationshintergrund;668
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 64 Jahre;Ausländer;1721
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;2957
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Deutsche mit Migrationshintergrund;109
2025;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 Jahre u.älter;Ausländer;122
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4202
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Deutsche mit Migrationshintergrund;458
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 17 Jahre;Ausländer;271
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16470
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Deutsche mit Migrationshintergrund;626
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 64 Jahre;Ausländer;1494
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;5629
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Deutsche mit Migrationshintergrund;119
2025;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 Jahre u.älter;Ausländer;105
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4787
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Deutsche mit Migrationshintergrund;509
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 17 Jahre;Ausländer;244
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;15530
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Deutsche mit Migrationshintergrund;523
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 64 Jahre;Ausländer;1054
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8440
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Deutsche mit Migrationshintergrund;113
2025;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 Jahre u.älter;Ausländer;95
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5183
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Deutsche mit Migrationshintergrund;550
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Ausländer;143
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16686
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Deutsche mit Migrationshintergrund;595
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Ausländer;964
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8715
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Deutsche mit Migrationshintergrund;122
2025;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Ausländer;134
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;6897
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1298
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Ausländer;633
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;26461
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1537
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Ausländer;3482
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;10255
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Deutsche mit Migrationshintergrund;245
2025;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Ausländer;273
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4104
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Deutsche mit Migrationshintergrund;684
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Ausländer;665
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;18091
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Deutsche mit Migrationshintergrund;930
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Ausländer;2561
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;9808
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Deutsche mit Migrationshintergrund;217
2025;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Ausländer;221
2025;10 StB Leuben;StB 6 Leuben;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4904
2025;10 StB Leuben;StB 6 Leuben;00 - 17 Jahre;Deutsche mit Migrationshintergrund;542
2025;10 StB Leuben;StB 6 Leuben;00 - 17 Jahre;Ausländer;590
2025;10 StB Leuben;StB 6 Leuben;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;19146
2025;10 StB Leuben;StB 6 Leuben;18 - 64 Jahre;Deutsche mit Migrationshintergrund;600
2025;10 StB Leuben;StB 6 Leuben;18 - 64 Jahre;Ausländer;2031
2025;10 StB Leuben;StB 6 Leuben;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;10939
2025;10 StB Leuben;StB 6 Leuben;65 Jahre u.älter;Deutsche mit Migrationshintergrund;168
2025;10 StB Leuben;StB 6 Leuben;65 Jahre u.älter;Ausländer;185
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;1961
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;00 - 17 Jahre;Deutsche mit Migrationshintergrund;522
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;00 - 17 Jahre;Ausländer;2059
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;8183
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;18 - 64 Jahre;Deutsche mit Migrationshintergrund;780
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;18 - 64 Jahre;Ausländer;4906
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;5940
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;65 Jahre u.älter;Deutsche mit Migrationshintergrund;320
2025;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;65 Jahre u.älter;Ausländer;364
2025;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4744
2025;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;00 - 17 Jahre;Deutsche mit Migrationshintergrund;596
