Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;298
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;298
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;243
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;253
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;214
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;210
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;173
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;180
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;179
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;129
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;166
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;124
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;128
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;149
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;117
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;139
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;176
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;232
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;313
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;510
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;680
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;740
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22 Jahre;786
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23 Jahre;825
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;24 Jahre;830
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 Jahre;878
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;26 Jahre;1103
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;27 Jahre;1034
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;28 Jahre;884
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;29 Jahre;789
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;30 Jahre;715
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;31 Jahre;689
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;32 Jahre;583
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;33 Jahre;572
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;34 Jahre;496
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;35 Jahre;430
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;36 Jahre;438
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;37 Jahre;402
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;38 Jahre;336
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;39 Jahre;309
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;40 Jahre;256
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;41 Jahre;264
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;42 Jahre;219
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;43 Jahre;209
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44 Jahre;224
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 Jahre;254
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;46 Jahre;245
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;47 Jahre;259
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;48 Jahre;257
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;49 Jahre;240
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;50 Jahre;287
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;51 Jahre;307
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;52 Jahre;308
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;53 Jahre;319
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;54 Jahre;285
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;55 Jahre;296
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;56 Jahre;338
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;57 Jahre;306
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;58 Jahre;288
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;59 Jahre;263
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 Jahre;281
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;61 Jahre;277
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;62 Jahre;284
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;63 Jahre;223
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;64 Jahre;254
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre;256
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;66 Jahre;231
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;67 Jahre;244
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;68 Jahre;192
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;69 Jahre;194
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;70 Jahre;162
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;71 Jahre;184
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;72 Jahre;281
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;73 Jahre;265
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;74 Jahre;289
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;75 Jahre;366
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;76 Jahre;428
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;77 Jahre;472
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;78 Jahre;525
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;79 Jahre;572
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;80 Jahre;504
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;81 Jahre;561
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;82 Jahre;505
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;83 Jahre;338
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;84 Jahre;299
2016;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;85 Jahre u.älter;1789
2016;StB 0 Altstadt;02 Johannstadt;0 Jahre;211
2016;StB 0 Altstadt;02 Johannstadt;1 Jahre;206
2016;StB 0 Altstadt;02 Johannstadt;2 Jahre;222
2016;StB 0 Altstadt;02 Johannstadt;3 Jahre;207
2016;StB 0 Altstadt;02 Johannstadt;4 Jahre;193
2016;StB 0 Altstadt;02 Johannstadt;5 Jahre;218
2016;StB 0 Altstadt;02 Johannstadt;6 Jahre;163
2016;StB 0 Altstadt;02 Johannstadt;7 Jahre;178
2016;StB 0 Altstadt;02 Johannstadt;8 Jahre;142
2016;StB 0 Altstadt;02 Johannstadt;9 Jahre;155
2016;StB 0 Altstadt;02 Johannstadt;10 Jahre;160
2016;StB 0 Altstadt;02 Johannstadt;11 Jahre;120
2016;StB 0 Altstadt;02 Johannstadt;12 Jahre;162
2016;StB 0 Altstadt;02 Johannstadt;13 Jahre;119
2016;StB 0 Altstadt;02 Johannstadt;14 Jahre;128
