Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2018;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2018;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;6628;3062;2017;7005;2940;1601
2018;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;24044;-;-;27085;-;-
2018;1. Quartal;03;25-Herst. von Metallerzeugnissen;11725;1283;685;10051;1901;1252
2018;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;245913;156563;129762;307634;-;-
2018;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;28092;10768;1592;20673;7734;2733
2018;1. Quartal;03;28-Maschinenbau;72320;51426;9940;69648;52216;5541
2018;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;2. Quartal;04;Verarbeitendes Gewerbe gesamt;403991;244772;180671;378199;210586;105588
2018;2. Quartal;04;13-Herst. von Textilien;0;0;0;-;-;-
2018;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;6077;2446;1518;6008;2560;1322
2018;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;20517;-;-;21959;-;-
2018;2. Quartal;04;25-Herst. von Metallerzeugnissen;9234;-;-;9646;-;-
2018;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;246432;161076;134339;180927;91774;66169
2018;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;22103;11592;6500;24283;10955;939
2018;2. Quartal;04;28-Maschinenbau;49605;27500;14022;70076;51608;8889
2018;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;2. Quartal;05;Verarbeitendes Gewerbe gesamt;426924;267976;182378;419374;266118;178098
2018;2. Quartal;05;13-Herst. von Textilien;0;0;0;-;-;-
2018;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;6361;2928;1995;6469;3021;2099
2018;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;22636;-;-;25425;-;-
2018;2. Quartal;05;25-Herst. von Metallerzeugnissen;10508;-;-;9166;-;-
2018;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;243174;165196;136208;240790;163669;135729
2018;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;26741;13075;3458;20126;7095;1747
2018;2. Quartal;05;28-Maschinenbau;58381;35098;11261;40749;21869;2953
2018;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;2. Quartal;06;Verarbeitendes Gewerbe gesamt;495156;331485;172952;519334;353613;188117
2018;2. Quartal;06;13-Herst. von Textilien;0;0;0;-;-;-
2018;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;6369;3087;1906;6356;3082;1943
2018;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;23552;-;-;26589;-;-
2018;2. Quartal;06;25-Herst. von Metallerzeugnissen;13321;-;-;10296;-;-
2018;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;253154;168205;135008;252536;171775;136453
2018;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;23859;6264;1349;23706;8925;2008
2018;2. Quartal;06;28-Maschinenbau;139286;120223;8680;114825;97767;5537
2018;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;3. Quartal;07;Verarbeitendes Gewerbe gesamt;390438;219504;149480;350882;196185;113664
2018;3. Quartal;07;13-Herst. von Textilien;0;0;0;-;-;-
2018;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;7108;3744;2448;6650;3267;2137
2018;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;23694;-;-;25635;-;-
2018;3. Quartal;07;25-Herst. von Metallerzeugnissen;19843;-;-;10357;-;-
2018;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;224656;141240;115175;187854;107709;81087
2018;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;24283;5201;2088;21223;5806;2509
2018;3. Quartal;07;28-Maschinenbau;36209;23991;6297;52413;35964;3967
2018;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;3. Quartal;08;Verarbeitendes Gewerbe gesamt;399924;234537;151032;485069;296809;184566
2018;3. Quartal;08;13-Herst. von Textilien;0;0;0;-;-;-
2018;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;7677;2201;1573;5478;2210;1499
2018;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;22645;-;-;26017;-;-
2018;3. Quartal;08;25-Herst. von Metallerzeugnissen;7983;1999;1782;7122;1340;1167
2018;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;221518;141920;112497;249307;165374;136269
2018;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;20060;6260;3207;25640;9749;2396
2018;3. Quartal;08;28-Maschinenbau;55707;28981;5487;71717;36336;4175
2018;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;3. Quartal;09;Verarbeitendes Gewerbe gesamt;387816;236243;158642;521341;334897;229723
2018;3. Quartal;09;13-Herst. von Textilien;0;0;0;-;-;-
2018;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;5578;2204;1589;6122;2499;1732
2018;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;21257;-;-;23973;-;-
2018;3. Quartal;09;25-Herst. von Metallerzeugnissen;6849;-;-;13206;-;-
2018;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;221147;150317;119359;292163;-;-
2018;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;24527;-;-;30647;-;-
2018;3. Quartal;09;28-Maschinenbau;57443;28906;6977;65345;28790;4193
2018;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;4. Quartal;10;Verarbeitendes Gewerbe gesamt;423413;262661;171063;390141;213595;120831
2018;4. Quartal;10;13-Herst. von Textilien;0;0;0;-;-;-
2018;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;7159;2851;2124;8747;2970;1979
2018;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;31925;-;-;33931;-;-
2018;4. Quartal;10;25-Herst. von Metallerzeugnissen;16890;1428;1284;7555;-;-
2018;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;233777;156294;123096;173358;91682;57030
2018;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;17877;6656;2094;18913;8069;2231
2018;4. Quartal;10;28-Maschinenbau;61638;42549;9813;67795;48526;24796
2018;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;4. Quartal;10;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;4. Quartal;11;Verarbeitendes Gewerbe gesamt;446123;275563;180343;454399;285680;174029
2018;4. Quartal;11;13-Herst. von Textilien;0;0;0;-;-;-
2018;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;7110;2652;1749;7715;2611;1755
2018;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;30934;-;-;33191;-;-
2018;4. Quartal;11;25-Herst. von Metallerzeugnissen;7579;-;-;7782;-;-
2018;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;237478;159564;126071;225267;151600;120355
2018;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;33250;18718;3575;24699;8980;1570
2018;4. Quartal;11;28-Maschinenbau;84811;44497;14210;62537;43575;4107
2018;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;4. Quartal;12;Verarbeitendes Gewerbe gesamt;461240;309066;190920;463643;288136;188114
2018;4. Quartal;12;13-Herst. von Textilien;0;0;0;-;-;-
2018;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;5461;1995;1530;5427;2140;1479
2018;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;24897;-;-;25330;-;-
2018;4. Quartal;12;25-Herst. von Metallerzeugnissen;8363;1674;1363;14693;1795;1090
2018;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;222509;155129;125426;244700;178283;139899
2018;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;24802;12767;1493;29778;13107;1097
2018;4. Quartal;12;28-Maschinenbau;96773;71337;17050;80271;35469;6674
2018;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;1. Quartal;01;Verarbeitendes Gewerbe gesamt;461453;294221;155505;411963;250486;130848
2019;1. Quartal;01;13-Herst. von Textilien;0;0;0;-;-;-
2019;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5684;2686;1659;5444;2628;1791
2019;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;26316;-;-;28583;-;-
2019;1. Quartal;01;25-Herst. von Metallerzeugnissen;13132;-;-;7051;-;-
2019;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;236090;139777;97852;205631;113747;81741
2019;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;25163;9823;4000;17361;5967;1226
2019;1. Quartal;01;28-Maschinenbau;70793;56331;9007;68011;55167;6591
2019;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;1. Quartal;02;Verarbeitendes Gewerbe gesamt;385930;246746;147838;383013;241224;132362
2019;1. Quartal;02;13-Herst. von Textilien;0;0;0;-;-;-
2019;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;5250;1952;1344;5123;2188;1420
2019;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;24375;-;-;24629;-;-
2019;1. Quartal;02;25-Herst. von Metallerzeugnissen;7168;1507;1376;6447;-;-
2019;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;196725;130419;96871;194513;126920;93350
2019;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;20687;-;-;19111;-;-
2019;1. Quartal;02;28-Maschinenbau;64411;38457;12599;57054;40741;4345
2019;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;1. Quartal;02;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;1. Quartal;03;Verarbeitendes Gewerbe gesamt;437400;257017;137468;519089;355863;253029
2019;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2019;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;6251;2646;1706;6545;2595;1652
2019;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;24084;-;-;24683;-;-
2019;1. Quartal;03;25-Herst. von Metallerzeugnissen;6681;-;-;6755;-;-
2019;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;214657;131904;97820;329039;-;-
2019;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;31919;13395;3985;24285;9635;2970
2019;1. Quartal;03;28-Maschinenbau;73551;47068;4127;47922;28471;6036
2019;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;2. Quartal;04;Verarbeitendes Gewerbe gesamt;442520;254740;144561;442341;297528;192738
2019;2. Quartal;04;13-Herst. von Textilien;0;0;0;-;-;-
2019;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;5522;2334;1988;5758;2445;1713
2019;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;22893;-;-;24193;-;-
2019;2. Quartal;04;25-Herst. von Metallerzeugnissen;5660;-;-;5817;-;-
2019;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;200902;129920;96546;248595;-;-
2019;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;28497;12152;1349;19307;9094;4079
2019;2. Quartal;04;28-Maschinenbau;87143;47348;14018;55228;40430;6869
2019;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;2. Quartal;05;Verarbeitendes Gewerbe gesamt;403475;248830;131157;489177;318788;189334
2019;2. Quartal;05;13-Herst. von Textilien;0;0;0;-;-;-
2019;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;6187;2449;1701;5690;2191;1494
2019;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;24150;-;-;26417;-;-
2019;2. Quartal;05;25-Herst. von Metallerzeugnissen;6288;-;-;5977;-;-
2019;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;209204;131996;96029;258772;177805;137377
2019;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;16062;4650;645;20631;8716;2448
2019;2. Quartal;05;28-Maschinenbau;66792;51130;4005;89093;64406;16405
2019;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;2. Quartal;06;Verarbeitendes Gewerbe gesamt;342771;214897;127165;384860;246963;131675
2019;2. Quartal;06;13-Herst. von Textilien;0;0;0;-;-;-
2019;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;5509;2531;1578;5481;2446;1714
2019;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;22762;-;-;24990;-;-
2019;2. Quartal;06;25-Herst. von Metallerzeugnissen;5765;-;-;5385;-;-
2019;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;178768;127709;92005;179058;120292;85092
2019;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;22180;6002;1237;27380;17833;8483
2019;2. Quartal;06;28-Maschinenbau;56305;37295;7804;64077;45467;7371
2019;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;3. Quartal;07;Verarbeitendes Gewerbe gesamt;442091;259604;152127;372929;204941;124279
2019;3. Quartal;07;13-Herst. von Textilien;0;0;0;-;-;-
2019;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;6428;2391;1484;5794;2661;1736
2019;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;23298;-;-;26417;-;-
2019;3. Quartal;07;25-Herst. von Metallerzeugnissen;6702;-;-;7486;-;-
2019;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;215444;137295;99137;184657;110403;74932
2019;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;23723;13438;7206;20149;10564;3817
2019;3. Quartal;07;28-Maschinenbau;82057;51654;4601;72449;41277;14604
2019;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;33397;-;-
2019;3. Quartal;08;Verarbeitendes Gewerbe gesamt;516566;278979;140066;412008;248315;136579
2019;3. Quartal;08;13-Herst. von Textilien;0;0;0;-;-;-
2019;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;7614;2507;1530;5657;2381;1468
2019;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;22175;-;-;25892;-;-
2019;3. Quartal;08;25-Herst. von Metallerzeugnissen;6522;-;-;7728;-;-
2019;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;220006;143076;88908;213303;134675;92426
2019;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;21118;5690;1104;22540;11991;1384
2019;3. Quartal;08;28-Maschinenbau;88269;69847;13941;55544;38754;6782
2019;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;3. Quartal;09;Verarbeitendes Gewerbe gesamt;421010;283426;133435;467880;309685;149822
2019;3. Quartal;09;13-Herst. von Textilien;0;0;0;-;-;-
2019;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;6593;2339;1593;7292;2295;1560
2019;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;22595;-;-;24872;-;-
2019;3. Quartal;09;25-Herst. von Metallerzeugnissen;6418;-;-;7109;-;-
2019;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;169362;123265;90913;184501;136541;101643
2019;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;26905;9689;3906;25915;9974;3622
2019;3. Quartal;09;28-Maschinenbau;118370;93363;7498;110969;76790;11185
2019;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;4. Quartal;10;Verarbeitendes Gewerbe gesamt;374329;231203;151402;473418;332250;220403
2019;4. Quartal;10;13-Herst. von Textilien;0;0;0;-;-;-
2019;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;7498;2581;1888;9203;2791;1911
2019;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;26945;-;-;30725;-;-
2019;4. Quartal;10;25-Herst. von Metallerzeugnissen;4558;-;-;6045;-;-
2019;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;185343;130095;100858;252114;-;-
2019;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;20367;2914;796;22123;13847;4831
2019;4. Quartal;10;28-Maschinenbau;54321;39125;15507;87436;70238;19204
2019;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;4. Quartal;10;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;4. Quartal;11;Verarbeitendes Gewerbe gesamt;400631;249933;146087;455268;287133;172738
2019;4. Quartal;11;13-Herst. von Textilien;0;0;0;-;-;-
2019;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;7248;2254;1493;7131;2222;1458
2019;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;31285;-;-;33980;-;-
2019;4. Quartal;11;25-Herst. von Metallerzeugnissen;5302;-;-;5346;-;-
2019;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;192970;129116;94725;216226;152965;121825
2019;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;26415;9623;5792;19661;8820;1854
2019;4. Quartal;11;28-Maschinenbau;58528;43314;4043;67756;39374;7575
2019;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2019;4. Quartal;12;Verarbeitendes Gewerbe gesamt;390729;260981;152446;441428;296342;154324
2019;4. Quartal;12;13-Herst. von Textilien;0;0;0;-;-;-
2019;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;6100;2253;1546;5945;2114;1490
2019;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;38632;-;-
2019;4. Quartal;12;25-Herst. von Metallerzeugnissen;7060;-;-;4952;-;-
2019;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;187823;132858;95408;191809;137284;100791
2019;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;21152;10378;4489;21987;11155;4718
2019;4. Quartal;12;28-Maschinenbau;57239;41606;7514;109456;76259;7040
2019;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2019;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;1. Quartal;01;Verarbeitendes Gewerbe gesamt;410420;227807;115824;371879;198395;117115
2020;1. Quartal;01;13-Herst. von Textilien;0;0;0;-;-;-
2020;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5089;2075;1469;5909;2308;1552
2020;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;26775;-;-;28835;-;-
2020;1. Quartal;01;25-Herst. von Metallerzeugnissen;13091;-;-;7079;-;-
2020;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;172048;114313;75953;174934;118523;82188
2020;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;22717;9021;2327;16870;5195;1614
2020;1. Quartal;01;28-Maschinenbau;80891;58708;9413;56539;27841;6409
2020;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;1. Quartal;02;Verarbeitendes Gewerbe gesamt;435541;236345;107053;340231;173348;88275
2020;1. Quartal;02;13-Herst. von Textilien;0;0;0;-;-;-
2020;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;6133;-;-;5077;-;-
2020;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;23957;-;-;26222;-;-
2020;1. Quartal;02;25-Herst. von Metallerzeugnissen;16874;1192;1170;6909;-;-
2020;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;178764;114793;74028;154730;93041;54049
2020;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;54519;-;-;18963;-;-
2020;1. Quartal;02;28-Maschinenbau;56452;41750;6490;48359;31651;5795
2020;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;1. Quartal;02;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;1. Quartal;03;Verarbeitendes Gewerbe gesamt;379578;222962;130294;416907;247956;171183
2020;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2020;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;7930;3226;2183;7755;-;-
2020;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;35713;-;-;37646;-;-
2020;1. Quartal;03;25-Herst. von Metallerzeugnissen;11577;-;-;6424;-;-
2020;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;185781;129837;79520;203265;151645;112874
2020;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;35184;23704;7759;29229;6838;4822
2020;1. Quartal;03;28-Maschinenbau;56521;27048;8127;58770;40258;14315
2020;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;2. Quartal;04;Verarbeitendes Gewerbe gesamt;343442;186426;97656;333681;206315;131554
2020;2. Quartal;04;13-Herst. von Textilien;-;-;-;-;-;-
2020;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;4345;2028;1309;5242;2518;1293
2020;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;27349;-;-;26044;-;-
2020;2. Quartal;04;25-Herst. von Metallerzeugnissen;5933;-;-;6871;-;-
2020;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;172862;118823;69181;197378;142573;105062
2020;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;22487;8889;1175;21386;8848;1424
2020;2. Quartal;04;28-Maschinenbau;35274;21431;3006;47919;29036;3227
2020;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;2. Quartal;05;Verarbeitendes Gewerbe gesamt;324602;170396;99733;313681;157035;75778
2020;2. Quartal;05;13-Herst. von Textilien;-;-;-;-;-;-
2020;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;4565;1961;1256;4588;1779;1140
2020;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;25740;-;-;23340;-;-
2020;2. Quartal;05;25-Herst. von Metallerzeugnissen;3204;-;-;4071;-;-
2020;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;158570;103764;68982;139950;86015;46643
2020;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;19923;-;-;20856;-;-
2020;2. Quartal;05;28-Maschinenbau;39076;26304;4798;36395;22009;6221
2020;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;2. Quartal;06;Verarbeitendes Gewerbe gesamt;324131;192530;118343;355701;192539;126932
2020;2. Quartal;06;13-Herst. von Textilien;-;-;-;-;-;-
2020;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;5412;-;-;5625;-;-
2020;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;26838;-;-;27675;-;-
2020;2. Quartal;06;25-Herst. von Metallerzeugnissen;5054;-;-;5267;-;-
2020;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;160268;110019;77958;169009;117152;83799
2020;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;20847;13293;628;23914;9658;2595
2020;2. Quartal;06;28-Maschinenbau;45861;24083;6094;53150;22167;5190
2020;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;3. Quartal;07;Verarbeitendes Gewerbe gesamt;330227;217872;147067;326066;180224;91625
2020;3. Quartal;07;13-Herst. von Textilien;-;-;-;-;-;-
2020;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;5708;2429;1505;5520;2175;1434
2020;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;25917;-;-;26384;-;-
2020;3. Quartal;07;25-Herst. von Metallerzeugnissen;4186;-;-;3885;-;-
2020;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;189452;137196;105838;139610;87266;56297
2020;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;20733;16096;7015;23595;10359;1361
2020;3. Quartal;07;28-Maschinenbau;45593;23949;9477;68414;30036;6721
2020;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;3. Quartal;08;Verarbeitendes Gewerbe gesamt;393369;211813;111864;344389;208484;123411
2020;3. Quartal;08;13-Herst. von Textilien;-;-;-;-;-;-
2020;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;6704;2119;1226;4689;1938;1293
2020;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;23937;-;-;27366;-;-
