Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2016;2. Quartal;05;13-Herst. von Textilien;-;-;-;-;-;-
2016;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;6219;2392;1830;6135;2388;1707
2016;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;23276;-;-;24404;-;-
2016;2. Quartal;05;25-Herst. von Metallerzeugnissen;8136;840;525;7876;996;677
2016;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;237259;158356;138895;202084;121633;105276
2016;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;18031;7244;1149;28735;-;-
2016;2. Quartal;05;28-Maschinenbau;101881;82364;6390;41000;28799;2961
2016;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;2. Quartal;06;Verarbeitendes Gewerbe gesamt;362466;222157;161009;403385;259136;176535
2016;2. Quartal;06;13-Herst. von Textilien;-;-;-;-;-;-
2016;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;-;-;-;6293;2685;1614
2016;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;24089;-;-;25814;-;-
2016;2. Quartal;06;25-Herst. von Metallerzeugnissen;9762;1922;1031;14123;902;566
2016;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;225425;-;-;233289;-;-
2016;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;26654;12788;2156;31564;-;-
2016;2. Quartal;06;28-Maschinenbau;57826;30730;2851;64373;48725;5459
2016;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;3. Quartal;07;Verarbeitendes Gewerbe gesamt;419492;228683;186849;297402;163171;110378
2016;3. Quartal;07;13-Herst. von Textilien;-;-;-;-;-;-
2016;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;-;-;-;5948;2603;1758
2016;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;24380;-;-;24455;-;-
2016;3. Quartal;07;25-Herst. von Metallerzeugnissen;8422;-;-;9275;-;-
2016;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;256297;-;-;179422;-;-
2016;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;25600;12954;2115;21924;12040;1876
2016;3. Quartal;07;28-Maschinenbau;24896;14065;3235;38196;23625;4190
2016;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;3. Quartal;08;Verarbeitendes Gewerbe gesamt;397506;258125;188850;357280;210569;163624
2016;3. Quartal;08;13-Herst. von Textilien;-;-;-;-;-;-
2016;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;-;-;-;6317;2503;1348
2016;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;24906;-;-;24538;-;-
2016;3. Quartal;08;25-Herst. von Metallerzeugnissen;10254;924;572;9086;1303;940
2016;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;261139;-;-;239450;-;-
2016;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;19367;6892;2881;17407;6945;1163
2016;3. Quartal;08;28-Maschinenbau;67700;51599;4514;37028;23017;4155
2016;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;3. Quartal;09;Verarbeitendes Gewerbe gesamt;419395;280134;194867;432016;282184;190500
2016;3. Quartal;09;13-Herst. von Textilien;-;-;-;-;-;-
2016;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;-;-;-;8113;2834;1957
2016;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;24029;-;-;25186;-;-
