Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;910;455;455
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;489;326;163
2024;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;227;173;54
2024;StB 0 Altstadt;02 Johannstadt;1 Kind;714;357;357
2024;StB 0 Altstadt;02 Johannstadt;2 Kinder;402;268;134
2024;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;153;118;35
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;1532;766;766
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;951;634;317
2024;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;211;161;50
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;588;294;294
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;267;178;89
2024;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;61;47;14
2024;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;1206;603;603
2024;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;615;410;205
2024;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;195;147;48
2024;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;1244;622;622
2024;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;588;392;196
2024;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;210;160;50
2024;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;804;402;402
2024;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;546;364;182
2024;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;129;99;30
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;844;422;422
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;630;420;210
2024;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;150;114;36
2024;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;1574;787;787
2024;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;837;558;279
2024;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;122;93;29
2024;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;1446;723;723
2024;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;846;564;282
2024;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;179;137;42
2024;StB 6 Leuben;10 StB Leuben;1 Kind;1526;763;763
2024;StB 6 Leuben;10 StB Leuben;2 Kinder;927;618;309
2024;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;309;237;72
2024;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;1046;523;523
2024;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;816;544;272
2024;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;503;390;113
2024;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;956;478;478
2024;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;495;330;165
