Jahr;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;Exportquote (in Prozent)
2022;25-Herst. von Metallerzeugnissen;21;1162;38278;32941;161724;6386;139177;3,9
2022;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;37;10943;641634;58634;3960934;2553644;361961;64,5
2022;27-Herst. von elektrischen Ausrüstungen;18;1843;88328;47926;347070;143648;188318;41,4
2022;28-Maschinenbau;31;5048;247314;48992;1008598;624281;199802;61,9
2022;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;-;-;-;-;-;-
2022;30-Sonstiger Fahrzeugbau;5;-;-;-;-;-;-;-
2022;31-Herst. von Möbeln;-;-;-;-;-;-;-;-
2022;32-Herst. von sonstigen Waren;16;1022;33289;32572;83383;-;81588;-
2022;33-Rep. + Install. v. Maschinen + Ausrüstungen;31;1633;90976;55711;580909;96842;355731;16,7
2023;Verarbeitendes Gewerbe gesamt;225;31227;1689045;45074;8933646;4740761;286087;53,1
2023;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;-;-;-;-;-;-;-;-
2023;10-Herst. von Nahrungs- und Futtermitteln;25;1104;34414;25977;238316;-;215866;-
2023;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2023;12-TabakVerarb.;1;-;-;-;-;-;-;-
2023;13-Herst. von Textilien;2;-;-;-;-;-;-;-
2023;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);2;-;-;-;-;-;-;-
2023;17-Herst. von Papier, Pappe und Waren daraus;1;-;-;-;-;-;-;-
2023;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";9;1068;36013;28100;151408;-;141768;-
2023;20-Herst. von chemischen Erzeugnissen;8;359;16104;37382;187637;36193;522666;19,3
2023;21-Herst. von pharmazeutischen Erzeugnissen;6;-;-;-;-;-;-;-
2023;22-Herst. von Gummi- und Kunststoffwaren;5;-;-;-;-;-;-;-
2023;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;8;142;7194;42218;46789;0;329500;0
2023;24-Metallerzeugung und -bearbeitung;-;-;-;-;-;-;-;-
2023;25-Herst. von Metallerzeugnissen;20;1125;39979;29614;142111;9583;126321;6,7
2023;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;38;11402;704824;51513;4207290;2515194;368996;59,8
2023;27-Herst. von elektrischen Ausrüstungen;15;1575;79485;42056;417015;152735;264771;36,6
2023;28-Maschinenbau;30;5834;297382;42478;1214125;815573;208112;67,2
2023;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;-;-;-;-;-;-
2023;30-Sonstiger Fahrzeugbau;5;-;-;-;-;-;-;-
2023;31-Herst. von Möbeln;-;-;-;-;-;-;-;-
2023;32-Herst. von sonstigen Waren;16;1019;35795;29273;87638;-;86004;-
2023;33-Rep. + Install. v. Maschinen + Ausrüstungen;29;1696;102321;50276;450169;101483;265430;22,5
2024;Verarbeitendes Gewerbe gesamt;220;31516;1761681;46582;8604601;4661732;273023;54,2
2024;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;-;-;-;-;-;-;-;-
2024;10-Herst. von Nahrungs- und Futtermitteln;24;1112;35611;26687;215567;27262;193855;12,6
2024;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2024;12-TabakVerarb.;1;-;-;-;-;-;-;-
2024;13-Herst. von Textilien;2;-;-;-;-;-;-;-
2024;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);2;-;-;-;-;-;-;-
2024;17-Herst. von Papier, Pappe und Waren daraus;-;-;-;-;-;-;-;-
2024;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";9;1042;37400;29910;150680;-;144607;-
2024;20-Herst. von chemischen Erzeugnissen;8;360;16641;38521;171377;33774;476047;19,7
2024;21-Herst. von pharmazeutischen Erzeugnissen;6;1674;110373;54945;457898;215358;273535;47
2024;22-Herst. von Gummi- und Kunststoffwaren;5;378;15839;34918;71899;33836;190209;47,1
2024;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;8;131;6044;38448;39149;-;298847;-
2024;24-Metallerzeugung und -bearbeitung;-;-;-;-;-;-;-;-
2024;25-Herst. von Metallerzeugnissen;20;1100;40439;30636;120967;8516;109970;7
2024;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;36;11318;720384;53041;3910967;2405088;345553;61,5
2024;27-Herst. von elektrischen Ausrüstungen;15;1674;84981;42304;474718;199505;283583;42
2024;28-Maschinenbau;30;6038;323518;44650;1198513;857205;198495;71,5
2024;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;-;-;-;-;-;-
2024;30-Sonstiger Fahrzeugbau;5;2818;161262;47688;842723;550723;299050;65,4
2024;31-Herst. von Möbeln;-;-;-;-;-;-;-;-
2024;32-Herst. von sonstigen Waren;16;1098;39167;29726;93793;14409;85422;15,4
2024;33-Rep. + Install. v. Maschinen + Ausrüstungen;28;1738;108455;52002;462248;94382;265965;20,4
2025;Verarbeitendes Gewerbe gesamt;221;30778;1757263;47579;8683866;4572530;282145;52,7
2025;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;-;-;-;-;-;-;-;-
